citekey,title,year,venue,doi,publisherURL,peerReviewed,literatureGroup,claimSupported,verificationStatus
kaul2012realtime,Real-time status: How often should one update?,2012,IEEE INFOCOM,10.1109/INFCOM.2012.6195689,https://doi.org/10.1109/INFCOM.2012.6195689,yes,G1-AoI,AoI originates as a freshness metric for status-update systems distinct from throughput,VERIFIED
sun2017update,Update or Wait: How to Keep Your Data Fresh,2017,IEEE Transactions on Information Theory,10.1109/TIT.2017.2735804,https://doi.org/10.1109/TIT.2017.2735804,yes,G1-AoI,Minimising average age is not the same objective as transmitting as often as possible; journal version preferred over INFOCOM 2016,VERIFIED
yates2021aoisurvey,Age of Information: An Introduction and Survey,2021,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2021.3065072,https://doi.org/10.1109/JSAC.2021.3065072,yes,G1-AoI,AoI is an established and surveyed research area,VERIFIED
yang2025aoiperspective,Age of Information: A Wireless Networking Perspective,2025,Foundations and Trends in Networking,10.1561/1300000064,https://doi.org/10.1561/1300000064,yes,G1-AoI,Recent consolidated treatment of AoI from a wireless networking standpoint,VERIFIED
kaswan2025gossip,Age of Information in Gossip Networks: A Friendly Introduction and Literature Survey,2025,IEEE Transactions on Communications,10.1109/TCOMM.2024.3522043,https://doi.org/10.1109/TCOMM.2024.3522043,yes,G1-AoI,AoI has been extended to multi-node dissemination settings,VERIFIED
rajaraman2021notjustage,Not Just Age but Age and Quality of Information,2021,IEEE Journal on Selected Areas in Communications,10.1109/JSAC.2021.3065061,https://doi.org/10.1109/JSAC.2021.3065061,yes,G1-AoI,Prior work already combines age with a content/quality term; our innovation-times-age composition is not the first attempt to go beyond pure age,VERIFIED
ayan2019aoivoi,Age-of-information vs. value-of-information scheduling for cellular networked control systems,2019,ACM/IEEE ICCPS,10.1145/3302509.3311050,https://doi.org/10.1145/3302509.3311050,yes,G1-AoI,Age alone can be a poor proxy for control cost; value-of-information scheduling is an established alternative,VERIFIED
mamduhi2020freshness,Where Freshness Matters in the Control Loop: Mixed Age-of-Information and Event-Based Co-Design for Multi-Loop Networked Control Systems,2020,Journal of Sensor and Actuator Networks,10.3390/jsan9030043,https://doi.org/10.3390/jsan9030043,yes,G1-AoI,Closest prior combination of AoI with event-based triggering; used as the primary near-neighbour in the novelty review,VERIFIED
wang2021freshness,Freshness constraints of an age of information based event-triggered Kalman consensus filter algorithm over a wireless sensor network,2021,Frontiers of Information Technology & Electronic Engineering,10.1631/FITEE.2000206,https://doi.org/10.1631/FITEE.2000206,yes,G1/G2-AoI-EventTriggered,AoI-aware event triggering already appears in a distributed Kalman consensus filter; receiver-freshness inference from delayed ACKs and state-innovation versus refresh semantics are absent,VERIFIED-2026-08-28-publisher-and-Crossref
lin2023eventtriggered,Event-Triggered Load Frequency Control Based on Age-of-Information,2023,IEEE Transactions on Power Systems,10.1109/TPWRS.2022.3186333,https://doi.org/10.1109/TPWRS.2022.3186333,yes,G1/G2-AoI-EventTriggered,Direct AoI-aware event-triggered control precedent: AoI enters an event-triggered communication scheduler and LQR load-frequency controller; it is a power-system single-control application without delayed cumulative-ACK receiver confirmation or multi-agent UAV semantics,VERIFIED-2026-08-28-IEEE-Crossref-and-full-abstract
astrom2002riemann,Comparison of Riemann and Lebesgue sampling for first order stochastic systems,2002,IEEE CDC,10.1109/CDC.2002.1184824,https://doi.org/10.1109/CDC.2002.1184824,yes,G2-EventTriggered,Event-based sampling can outperform periodic sampling at equal average rate,VERIFIED-NOTE-year-from-proceedings-title-Crossref-issued-empty
tabuada2007event,Event-Triggered Real-Time Scheduling of Stabilizing Control Tasks,2007,IEEE Transactions on Automatic Control,10.1109/TAC.2007.904277,https://doi.org/10.1109/TAC.2007.904277,yes,G2-EventTriggered,Canonical state-error event-triggered formulation and the need for a minimum inter-event time,VERIFIED
heemels2012introduction,An introduction to event-triggered and self-triggered control,2012,IEEE CDC,10.1109/CDC.2012.6425820,https://doi.org/10.1109/CDC.2012.6425820,yes,G2-EventTriggered,Standard taxonomy of event-triggered versus self-triggered control,VERIFIED
dimarogonas2012distributed,Distributed Event-Triggered Control for Multi-Agent Systems,2012,IEEE Transactions on Automatic Control,10.1109/TAC.2011.2174666,https://doi.org/10.1109/TAC.2011.2174666,yes,G2-EventTriggered,Event-triggered control extends to multi-agent systems using local state error only,VERIFIED
seyboth2013eventbased,Event-based broadcasting for multi-agent average consensus,2013,Automatica,10.1016/j.automatica.2012.08.042,https://doi.org/10.1016/j.automatica.2012.08.042,yes,G2-EventTriggered,Event-based broadcasting reduces inter-agent communication in consensus,VERIFIED
girard2015dynamic,Dynamic Triggering Mechanisms for Event-Triggered Control,2015,IEEE Transactions on Automatic Control,10.1109/TAC.2014.2366855,https://doi.org/10.1109/TAC.2014.2366855,yes,G2-EventTriggered,Trigger thresholds can be made dynamic rather than static; precedent for an adaptive threshold,VERIFIED
yi2017distributed,Distributed dynamic event-triggered control for multi-agent systems,2017,IEEE CDC,10.1109/CDC.2017.8264666,https://doi.org/10.1109/CDC.2017.8264666,yes,G2-EventTriggered,Dynamic triggering has been applied in the distributed multi-agent setting,VERIFIED
nowzari2019eventtriggered,Event-triggered communication and control of networked systems for multi-agent consensus,2019,Automatica,10.1016/j.automatica.2019.03.009,https://doi.org/10.1016/j.automatica.2019.03.009,yes,G2-EventTriggered,Survey establishing the state of event-triggered multi-agent consensus,VERIFIED
kesper2023toward,Toward Multi-Agent Reinforcement Learning for Distributed Event-Triggered Control,2023,Proceedings of the 5th Annual Learning for Dynamics and Control Conference,,https://proceedings.mlr.press/v211/kesper23a.html,yes,G2-EventTriggered,Distributed multi-agent event-triggered communication and control with last-broadcast states and explicit AoI timers; timers reset on broadcast and the model has neither delayed cumulative ACK-confirmed receiver state nor new-information versus refresh in-flight suppression,VERIFIED-2026-08-28-PMLR-primary-full-paper-NO-DOI
chen2020howoften,How often should one update control and estimation: review of networked triggering techniques,2020,Science China Information Sciences,10.1007/s11432-019-2637-9,https://doi.org/10.1007/s11432-019-2637-9,yes,G2-EventTriggered,Review of triggering techniques for networked control and estimation,VERIFIED
ge2021dynamic,Dynamic Event-triggered Control and Estimation: A Survey,2021,International Journal of Automation and Computing,10.1007/s11633-021-1306-z,https://doi.org/10.1007/s11633-021-1306-z,yes,G2-EventTriggered,Recent survey of dynamic event-triggered mechanisms,VERIFIED
zhang2025overview,An overview of recent advances in event-triggered control,2025,Science China Information Sciences,10.1007/s11432-024-4437-9,https://doi.org/10.1007/s11432-024-4437-9,yes,G2-EventTriggered,Current state of the event-triggered control field,VERIFIED
li2026impulsive,Event-Triggered Impulsive Control: A Survey,2026,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2026.125930,https://doi.org/10.1109/JAS.2026.125930,yes,G3-NetworkedControl,Event-triggered mechanisms remain an active area with ongoing surveys,VERIFIED
