seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
1,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
2,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
3,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
4,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
5,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
6,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
7,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
8,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
9,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
10,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
11,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
12,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
13,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
14,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
15,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
16,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
17,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
18,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
19,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
20,5,0,0,0.0698032272932154,0.0892445743615404,0.259222651066344,0.51091460681903,1,0.0999182561307908,1,60,0,0
1,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
2,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
3,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
4,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
5,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
6,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
7,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
8,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
9,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
10,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
11,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
12,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
13,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
14,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
15,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
16,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
17,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
18,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
19,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
20,10,0,0,0.0345249153681788,0.0454982947248595,0.266728553617213,0.554876179588722,1,0.0499636693914622,1,120,0,0
1,20,0,0,0.0211627771768365,0.0306498291748195,0.271401549942449,0.572446386252435,1,0.0259854677565848,1,240,0,0
