seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
1,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
2,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
3,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
4,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
5,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
6,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
7,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
8,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
9,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
10,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
11,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
12,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
13,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
14,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
15,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
16,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
17,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
18,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
19,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
20,Periodic10Hz,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,1,0,0
1,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
2,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
3,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
4,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
5,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
6,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
7,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
8,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
9,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
10,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
11,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
12,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
13,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
14,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
15,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
16,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
17,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
18,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
19,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
20,Periodic20Hz,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0
1,Periodic10Hz,Moderate,0.0943522333306272,0.122993622642407,0.480321481007082,0.153717832273691,10,3600,0.801388888888889,0,0
2,Periodic10Hz,Moderate,0.0946218882395765,0.127019679747548,0.479269687645013,0.153240993036633,10,3600,0.804722222222222,0,0
3,Periodic10Hz,Moderate,0.0952892173024325,0.123396512434818,0.47781203113016,0.154156827126854,10,3600,0.804444444444444,0,0
4,Periodic10Hz,Moderate,0.095833190562107,0.131515203025616,0.473487278013987,0.154830457160158,10,3600,0.798333333333333,0,0
5,Periodic10Hz,Moderate,0.0961989119538076,0.125101693830303,0.479832762713462,0.156760520738723,10,3600,0.790277777777778,0,0
6,Periodic10Hz,Moderate,0.094882660612001,0.12338888241168,0.482109026689378,0.154474719951559,10,3600,0.805277777777778,0,0
7,Periodic10Hz,Moderate,0.0944279825940334,0.126991832653139,0.483086072278048,0.153589161368453,10,3600,0.812777777777778,0,0
8,Periodic10Hz,Moderate,0.0952723833177468,0.124109889287761,0.47595251680192,0.155155918861641,10,3600,0.8,0,0
9,Periodic10Hz,Moderate,0.0967798368961661,0.127396105851432,0.48060720600191,0.157736905843173,10,3600,0.789444444444444,0,0
10,Periodic10Hz,Moderate,0.0960075653857162,0.125538665775714,0.481229845683555,0.15591280653951,10,3600,0.800277777777778,0,0
11,Periodic10Hz,Moderate,0.0948838375949558,0.124302474548013,0.478303460328366,0.153982742960945,10,3600,0.800555555555556,0,0
12,Periodic10Hz,Moderate,0.0955603372801443,0.127037192708581,0.484288643497561,0.154951559188617,10,3600,0.805555555555556,0,0
13,Periodic10Hz,Moderate,0.0966328918587939,0.126897399228455,0.479431407387151,0.155428398425674,10,3600,0.790277777777778,0,0
14,Periodic10Hz,Moderate,0.0956678830122623,0.124506602027161,0.480264302259306,0.155716015743264,10,3600,0.794722222222222,0,0
15,Periodic10Hz,Moderate,0.0967255802569206,0.128998947652298,0.476393565529574,0.155579775961247,10,3600,0.800833333333333,0,0
16,Periodic10Hz,Moderate,0.096538391335798,0.127225441993788,0.482521698756036,0.156207992733878,10,3600,0.793055555555556,0,0
17,Periodic10Hz,Moderate,0.0949895287755418,0.12373346600266,0.482843970692107,0.154822888283379,10,3600,0.803055555555556,0,0
18,Periodic10Hz,Moderate,0.0950309724701908,0.122726350348363,0.477326039952521,0.154421737814108,10,3600,0.793888888888889,0,0
19,Periodic10Hz,Moderate,0.0951262840105792,0.123288873876952,0.478962812895344,0.154943990311838,10,3600,0.800833333333333,0,0
20,Periodic10Hz,Moderate,0.0954089508736172,0.1256373947857,0.481606642230923,0.154565546472904,10,3600,0.798888888888889,0,0
1,Periodic20Hz,Moderate,0.0729726478028481,0.0935875475225283,0.508992580038909,0.118655767484105,20,7200,0.798055555555556,0,0
2,Periodic20Hz,Moderate,0.0726108455612898,0.0928123981575991,0.510078305950994,0.118148652739933,20,7200,0.800416666666667,0,0
3,Periodic20Hz,Moderate,0.0729268705961684,0.0928875052820625,0.508890671347192,0.118570996064184,20,7200,0.799861111111111,0,0
4,Periodic20Hz,Moderate,0.0728878064956624,0.0944976068479878,0.507958607558909,0.118471086890705,20,7200,0.79625,0,0
5,Periodic20Hz,Moderate,0.0730115119509957,0.093118225730905,0.507216037416376,0.118487738419618,20,7200,0.792361111111111,0,0
6,Periodic20Hz,Moderate,0.0729425294192324,0.09424936624359,0.508495878637213,0.118507417499243,20,7200,0.800138888888889,0,0
7,Periodic20Hz,Moderate,0.0727441823408771,0.0939147941362093,0.506731355755494,0.118378746594005,20,7200,0.803611111111111,0,0
8,Periodic20Hz,Moderate,0.0722738842924623,0.0921536426025861,0.509102418159352,0.117582500756888,20,7200,0.804583333333333,0,0
9,Periodic20Hz,Moderate,0.073004207182786,0.095192251613768,0.507974031133128,0.118240993036633,20,7200,0.802083333333333,0,0
10,Periodic20Hz,Moderate,0.0726892479734288,0.0931139474552214,0.509032793172907,0.118390856796851,20,7200,0.800694444444444,0,0
11,Periodic20Hz,Moderate,0.0728498150363839,0.0933709599439774,0.508369654832124,0.118399939448986,20,7200,0.799305555555555,0,0
12,Periodic20Hz,Moderate,0.0729620567727363,0.0933565720694496,0.507774115245922,0.118240993036633,20,7200,0.804583333333333,0,0
13,Periodic20Hz,Moderate,0.07285113737172,0.0933413573039549,0.507735568022643,0.117665758401453,20,7200,0.799444444444444,0,0
