seed,variant,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
1,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
2,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
3,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
4,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
5,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
6,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
7,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
8,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
9,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
10,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
11,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
12,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
13,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
14,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
15,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
16,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
17,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
18,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
19,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
20,A0 Periodic10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,1,0,0,0,0
1,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
2,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
3,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
4,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
5,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
6,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
7,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
8,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
9,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
10,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
11,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
12,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
13,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
14,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
15,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
16,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
17,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
18,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
19,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
20,A1 State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1,0,0,0,0
1,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
2,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
3,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
4,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
5,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
6,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
7,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
8,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
9,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
10,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
11,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
12,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
13,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
14,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
15,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
16,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
17,A2 AoI-fixed,Clean,0.0444279179105767,0.0569849735394846,0.544052937981103,0.0700544959128065,7.42222222222222,1,0,0,0,0
