seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,STALEACKDISC,FORMFAIL,SAFEFAIL
1,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
2,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
3,P10,Clean,0.0345249153681788,0.0454982947248595,0.554876179588722,0.0499636693914622,10,3600,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
1,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
2,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
3,P20,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,0,0,1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
1,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,0,0,0
2,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,0,0,0
3,State-event,Clean,0.0792418217410357,0.0996251580418625,0.501895794781889,0.129969724492885,4.32777777777778,1558,0,0,1,0,0.9602053915276,0.0397946084724005,0,0,NaN,NaN,NaN,0,0,0
1,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,0,0,0
2,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,0,0,0
3,Ideal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,0,0,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,NaN,0,0,0
1,Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0
2,Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0
3,Causal-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,8.41111111111111,3028,1,0,0.0700132100396301,0.00858652575957728,0.921400264200793,0,0.495836109260521,0.375,0.0799945504087201,0,0,0
1,P10,Moderate,0.0969523777945888,0.127543082533519,0.476513909129293,0.156503178928247,10,3600,0,0,0.796388888888889,0,0,0,0,0,NaN,NaN,NaN,0,0,0
2,P10,Moderate,0.0949554594646728,0.126829914660447,0.483767792126555,0.154376324553436,10,3600,0,0,0.803888888888889,0,0,0,0,0,NaN,NaN,NaN,0,0,0
3,P10,Moderate,0.0953972559475564,0.123887616985907,0.479071031938161,0.154338480169543,10,3600,0,0,0.804166666666667,0,0,0,0,0,NaN,NaN,NaN,0,0,0
1,P20,Moderate,0.0734513601264548,0.0934785605590057,0.507198655493052,0.118944898577051,20,7200,0,0,0.797083333333333,0,0,0,0,0,NaN,NaN,NaN,0,0,0
2,P20,Moderate,0.0724397655366147,0.0926669674251509,0.510570540342938,0.117917045110505,20,7200,0,0,0.802361111111111,0,0,0,0,0,NaN,NaN,NaN,0,0,0
3,P20,Moderate,0.0725836968013544,0.093433731789317,0.508215493997015,0.117864062973055,20,7200,0,0,0.802638888888889,0,0,0,0,0,NaN,NaN,NaN,0,0,0
1,State-event,Moderate,0.161386908066958,0.230473917160003,0.396693360527713,0.269679079624584,4.30555555555556,1550,0,0,0.809677419354839,0,0.965161290322581,0.0348387096774194,0,0,NaN,NaN,NaN,0,1,0
2,State-event,Moderate,0.17059451007129,0.245551641818227,0.381949253243992,0.274877384196185,4.28333333333333,1542,0,0,0.802204928664073,0,0.963683527885863,0.0363164721141375,0,0,NaN,NaN,NaN,0,1,0
3,State-event,Moderate,0.165511773575896,0.223064158658266,0.386977951125989,0.272686951256433,4.30555555555556,1550,0,0,0.807096774193548,0,0.966451612903226,0.0335483870967742,0,0,NaN,NaN,NaN,0,1,0
1,Ideal-AoI,Moderate,0.0980790037462098,0.128553300740409,0.478954845945453,0.158796548592189,11.2305555555556,4043,0,0,0.797674993816473,0,0.34355676477863,0.0267128370022261,0.629730398219144,0,0.406059848989564,0.2,NaN,0,0,0
2,Ideal-AoI,Moderate,0.0973539164662624,0.125837604717496,0.476684345983613,0.157897366030881,11.2166666666667,4038,0,0,0.803615651312531,0,0.341258048538881,0.0257553244180287,0.632986627043091,0,0.407461692205199,0.2,NaN,0,0,0
3,Ideal-AoI,Moderate,0.097599563955651,0.128434704646497,0.477040811011571,0.157821677263094,11.2222222222222,4040,0,0,0.802722772277228,0,0.342079207920792,0.0267326732673267,0.631188118811881,0,0.406826004885635,0.2,NaN,0,0,0
1,Causal-AoI,Moderate,0.0913821077223172,0.120693788848946,0.48545523754401,0.148339388434756,15.9333333333333,5736,12.6972222222222,4571,0.798465829846583,0,0.628138075313807,0.0376569037656904,0.334205020920502,0,0.28156923162331,0.2,0.228339691189829,0,0,0
2,Causal-AoI,Moderate,0.0913738327564979,0.118623285058057,0.483365112499826,0.147562821677263,15.8388888888889,5702,12.6527777777778,4555,0.800596282006314,0,0.627499123114697,0.0370045598035777,0.335496317081726,0,0.281545636242453,0.2,0.227734786557676,0,0,0
3,Causal-AoI,Moderate,0.0905188499483063,0.119945694790744,0.486523801885964,0.146709052376627,15.8083333333333,5691,12.6805555555556,4565,0.803725180108944,0,0.625549112633983,0.0377789492180636,0.336671938147953,0,0.281806573395462,0.2,0.226147138964579,0,0,0
1,P10,Stressed,0.143877085456905,0.193159565284644,0.407336155114344,0.233577051165607,10,3600,0,0,0.614444444444444,0,0,0,0,0,NaN,NaN,NaN,0,1,0
2,P10,Stressed,0.144610438077087,0.190272428589163,0.42163404725138,0.233894943990312,10,3600,0,0,0.600833333333333,0,0,0,0,0,NaN,NaN,NaN,0,1,0
3,P10,Stressed,0.147893855957562,0.202031021480805,0.420581852350621,0.236763548289434,10,3600,0,0,0.599166666666667,0,0,0,0,0,NaN,NaN,NaN,0,1,0
1,P20,Stressed,0.108968564612297,0.142361477451072,0.464312895011219,0.176839237057221,20,7200,0,0,0.612083333333333,0,0,0,0,0,NaN,NaN,NaN,0,1,0
2,P20,Stressed,0.10968572641172,0.141938590199932,0.461328952111363,0.178313654253709,20,7200,0,0,0.599305555555556,0,0,0,0,0,NaN,NaN,NaN,0,1,0
3,P20,Stressed,0.111966992288473,0.150673673159564,0.45597840293404,0.180349682107175,20,7200,0,0,0.593888888888889,0,0,0,0,0,NaN,NaN,NaN,0,1,0
1,State-event,Stressed,0.256630707926307,0.367759255474741,0.294890386355851,0.426518316681804,4.20555555555556,1514,0,0,0.603698811096433,0,0.963011889035667,0.0369881109643329,0,0,NaN,NaN,NaN,0,1,0
2,State-event,Stressed,0.259781494359731,0.457269170483063,0.272523091670626,0.417476536481986,4.21111111111111,1516,0,0,0.597625329815303,0,0.95778364116095,0.0395778364116095,0,0.00263852242744063,NaN,NaN,NaN,0,1,0
3,State-event,Stressed,0.253373668113807,0.417212611086199,0.244489585952655,0.4251846805934,4.22777777777778,1522,0,0,0.611695137976347,0,0.964520367936925,0.0354796320630749,0,0,NaN,NaN,NaN,0,1,1
1,Ideal-AoI,Stressed,0.129744322781264,0.169351505272097,0.434938686951098,0.210732667272176,15.6388888888889,5630,0,0,0.614742451154529,0,0.605150976909414,0.0271758436944938,0.367673179396092,0,0.332665722851415,0.2,NaN,0,1,0
2,Ideal-AoI,Stressed,0.129897659191214,0.170583704343898,0.432721651790983,0.211624280956706,15.7277777777778,5662,0,0,0.600671140939597,0,0.612151183327446,0.0268456375838926,0.361003179088661,0,0.331158394403713,0.2,NaN,0,1,0
3,Ideal-AoI,Stressed,0.130846843033136,0.171958569329913,0.434674419812981,0.212344838026037,15.8944444444444,5722,0,0,0.593149248514505,0,0.62233484795526,0.0253407899335897,0.35232436211115,0,0.330086886520077,0.2,NaN,0,1,0
1,Causal-AoI,Stressed,0.104421384600138,0.135053699399403,0.467090631458541,0.168972146533454,26.1083333333333,9399,15.8888888888889,5720,0.610490477710395,0,0.975635705926162,0.0218108309394616,0.002553463134376,0,0.201798800799405,0.2,0.288508628519523,0,1,0
2,Causal-AoI,Stressed,0.104917648909076,0.136415787291916,0.471645345609589,0.169726006660611,26.1583333333333,9417,15.65,5634,0.600297334607625,0,0.974726558351917,0.0224062865031326,0.00286715514495062,0,0.201798800799405,0.2,0.289936421435054,0,1,0
3,Causal-AoI,Stressed,0.105314428948853,0.136870922223766,0.469499967375396,0.171388132001211,26.2944444444444,9466,15.5583333333333,5601,0.593703781956476,0,0.976442002957955,0.02091696598352,0.00264103105852525,0,0.201798800799405,0.2,0.29161852861035,0,1,0
