seed,method,ackCell,scenario,RMSE,MINEVAL,AOI,TXRATE,ACKRATE,ACKDELIV,STALEACK,DUPACK,MEANOUT,MAXOUT,MAXGAP,HARDR,ADAPTR,REFRESHR,ESTAOI,MEANSCALE,MINSCALE,VIOL,FORMFAIL,SAFEFAIL
1,P10,reliable,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,reliable,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,reliable,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,reliable,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,reliable,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,reliable,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,reliable,Moderate,0.0874733950955622,0.488584507679462,0.141365425370875,13.4,10.7333333333333,0.997153209109731,0,0,2.10620697312903,8,0.12,0.00373134328358209,0.996268656716418,0,0.220779291553135,0.283513768598666,0.2,0,0,0
2,Causal-v3,reliable,Moderate,0.0877905005840253,0.489544504115773,0.141560702391765,13.325,10.675,0.998178506375228,0,0,2.09327115256496,9,0.12,0.00375234521575985,0.99624765478424,0,0.221091734786559,0.283266711081456,0.2,0,0,0
3,Causal-v3,reliable,Moderate,0.0871731374553211,0.48991572480381,0.142606721162579,13.3972222222222,10.6222222222222,0.997907949790795,0,0,2.11542305129913,9,0.12,0.00373211693966411,0.996267883060336,0,0.221683923705724,0.282755940484075,0.2,0,0,0
1,P10,L0  D40,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L0  D40,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L0  D40,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L0  D40,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L0  D40,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L0  D40,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L0  D40,Moderate,0.0771900802187911,0.500325633292965,0.12469118982743,17.4388888888889,14.0944444444444,0.996058336618053,0,0,3.36447923606485,9,0.12,0.00286715514495062,0.997132844855049,0,0.24448501362398,0.229748223406583,0.2,0,0,0
2,Causal-v3,L0  D40,Moderate,0.0774321683930639,0.502485114354637,0.124713896457766,17.4444444444444,13.9555555555556,0.996815286624204,0,0,3.37763713080169,10,0.12,0.00286624203821656,0.997133757961783,0,0.24481198910082,0.229487286253574,0.2,0,0,0
3,Causal-v3,L0  D40,Moderate,0.0778645291658577,0.502399091885518,0.125953678474114,17.475,13.8527777777778,0.996190094245037,0,0,3.38990672884744,10,0.12,0.00286123032904149,0.997138769670958,0,0.245057220708449,0.229261048190059,0.2,0,0,0
1,P10,L0  D80,Moderate,0.0943526372196879,0.477227644001585,0.153755676657584,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P10,L0  D80,Moderate,0.0944101757928483,0.477252763812246,0.152923100211929,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P10,L0  D80,Moderate,0.0966617385244957,0.47746623255154,0.154792612776264,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,P20,L0  D80,Moderate,0.0728443440341546,0.505610677237614,0.118325764456555,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,P20,L0  D80,Moderate,0.0726546089263445,0.50701942530458,0.117832273690584,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,P20,L0  D80,Moderate,0.072580228255071,0.507545345522714,0.117673327278232,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,Causal-v3,L0  D80,Moderate,0.0779370765072501,0.500083768514637,0.125349682107175,18.3444444444444,14.6527777777778,0.994881516587678,0,0,4.26765489673551,13,0.12,0.00272562083585706,0.997274379164143,0,0.285242506811985,0.201798800799405,0.2,0,0,0
2,Causal-v3,L0  D80,Moderate,0.0774710498195199,0.5023043400031,0.124936421435059,18.3444444444444,14.6861111111111,0.995271420465292,0,0,4.26548967355097,14,0.12,0.00272562083585706,0.997274379164143,0,0.285128065395091,0.201798800799405,0.2,0,0,0
