seed,method,scenario,RMSE,MINEVAL,NDATA,NACK,NBROADCAST,MISSION,FORMFAIL,SAFEFAIL
1,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
2,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
3,P10,Clean,0.0345249153681788,0.554876179588722,3600,0,1800,30,0,0
1,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
2,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
3,P20,Clean,0.0211627771768365,0.572446386252435,7200,0,3600,30,0,0
1,State-event,Clean,0.0792418217410357,0.501895794781889,1558,0,779,30,0,0
2,State-event,Clean,0.0792418217410357,0.501895794781889,1558,0,779,30,0,0
3,State-event,Clean,0.0792418217410357,0.501895794781889,1558,0,779,30,0,0
1,Causal-v3,Clean,0.0383171251773151,0.55068721207118,3038,3038,1519,30,0,0
2,Causal-v3,Clean,0.0383171251773151,0.55068721207118,3038,3038,1519,30,0,0
3,Causal-v3,Clean,0.0383171251773151,0.55068721207118,3038,3038,1519,30,0,0
1,P10,Moderate,0.0965431423632844,0.475884601782531,3600,0,1800,30,0,0
2,P10,Moderate,0.095946207991159,0.47853292797999,3600,0,1800,30,0,0
3,P10,Moderate,0.0956982557843775,0.481814183190205,3600,0,1800,30,0,0
1,P20,Moderate,0.0730404079396569,0.507795258580939,7200,0,3600,30,0,0
2,P20,Moderate,0.0730258645859411,0.50910592416597,7200,0,3600,30,0,0
3,P20,Moderate,0.0730288765413627,0.507841929932155,7200,0,3600,30,0,0
1,State-event,Moderate,0.167133904672014,0.383638296015505,1544,0,772,30,1,0
2,State-event,Moderate,0.16742702828611,0.387909755692312,1544,0,772,30,1,0
3,State-event,Moderate,0.17366300484004,0.376796814740536,1550,0,775,30,1,0
1,Causal-v3,Moderate,0.0866287606648867,0.493159993779633,4804,3875,4185,30,0,0
2,Causal-v3,Moderate,0.0869856757214486,0.491425700130731,4778,3858,4062,30,0,0
3,Causal-v3,Moderate,0.0879562565717154,0.492451392286016,4805,3841,4070,30,0,0
1,P10,Stressed,0.145758548093162,0.409521006437282,3600,0,1800,30,1,0
2,P10,Stressed,0.142830765737557,0.423417143037834,3600,0,1800,30,1,0
3,P10,Stressed,0.144594926560983,0.412908107334147,3600,0,1800,30,1,0
1,P20,Stressed,0.110262362608692,0.463111014589338,7200,0,3600,30,1,0
2,P20,Stressed,0.109630097794018,0.463472125895392,7200,0,3600,30,1,0
3,P20,Stressed,0.109406179526079,0.462390952770104,7200,0,3600,30,1,0
1,State-event,Stressed,0.242362465559388,0.304983694626041,1524,0,762,30,1,0
2,State-event,Stressed,0.254099425635969,0.282402558955188,1518,0,759,30,1,0
3,State-event,Stressed,0.253447910398332,0.299994703497024,1516,0,758,30,1,0
1,Causal-v3,Stressed,0.115788524738548,0.456187387865005,6574,4013,3287,30,1,0
2,Causal-v3,Stressed,0.116379264987786,0.458535564756626,6562,3898,3281,30,1,0
3,Causal-v3,Stressed,0.117394960047735,0.457126529947635,6572,3946,3286,30,1,0
