seed,method,topology,N,scenario,RMSE,AOI,MINEVAL,NDATA,NACK,MISSION,VIOL,FORMFAIL,SAFEFAIL,numEdges,meanDegree,minDegree,lambda2,nChannels
1,P10,ring2,10,Moderate,0.151242943995515,0.155768668799115,0.408756224135627,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
2,P10,ring2,10,Moderate,0.150679448743525,0.155448801484816,0.413241189637332,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
3,P10,ring2,10,Moderate,0.150535049062256,0.154627413813529,0.411502226069741,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
1,P20,ring2,10,Moderate,0.114865649712807,0.118381313430478,0.453018564702923,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
2,P20,ring2,10,Moderate,0.115068439763291,0.118468980768471,0.45361950771746,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
3,P20,ring2,10,Moderate,0.114723691241135,0.118368676697074,0.455569545860116,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
1,State-event,ring2,10,Moderate,0.25881866109334,0.270233779567982,0.253831968678742,2844,0,30,0,1,0,13,2.6,2,0.644325706021918,23
2,State-event,ring2,10,Moderate,0.260647906831986,0.27483670971054,0.248900764435864,2835,0,30,0,1,1,13,2.6,2,0.644325706021918,23
3,State-event,ring2,10,Moderate,0.265130565854335,0.276026932038068,0.272061886492702,2829,0,30,0,1,0,13,2.6,2,0.644325706021918,23
1,Causal-v3,ring2,10,Moderate,0.13624724167547,0.140719109110295,0.428871534451812,9103,7332,30,0,1,0,13,2.6,2,0.644325706021918,23
2,Causal-v3,ring2,10,Moderate,0.137508166479977,0.141671602890653,0.426012325046535,9115,7276,30,0,1,0,13,2.6,2,0.644325706021918,23
3,Causal-v3,ring2,10,Moderate,0.137675203829287,0.142053864076136,0.426034544400479,9128,7279,30,0,1,0,13,2.6,2,0.644325706021918,23
1,P10,sparse4,10,Moderate,0.169022726201943,0.154117321282204,0.394107922500917,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
2,P10,sparse4,10,Moderate,0.170566215870972,0.155085399082874,0.385628347471441,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
3,P10,sparse4,10,Moderate,0.170805975585645,0.155253760439512,0.388306226447768,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
1,P20,sparse4,10,Moderate,0.127864898007117,0.118057863139939,0.440263932112241,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
2,P20,sparse4,10,Moderate,0.128437762052458,0.118428258124543,0.439386029038363,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
3,P20,sparse4,10,Moderate,0.128360629740445,0.118367116368711,0.440698760356483,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
1,State-event,sparse4,10,Moderate,0.302794945628574,0.278868655989012,0.228954402359069,4925,0,30,0,1,1,23,4.6,4,2.06456766802997,41
2,State-event,sparse4,10,Moderate,0.306880380523147,0.28244855009858,0.208982490970246,4928,0,30,0,1,1,23,4.6,4,2.06456766802997,41
3,State-event,sparse4,10,Moderate,0.30808235261931,0.28169668372433,0.228481085599467,4932,0,30,0,1,1,23,4.6,4,2.06456766802997,41
1,Causal-v3,sparse4,10,Moderate,0.157073879666331,0.142807868678142,0.406647748860742,15908,12751,30,0,1,0,23,4.6,4,2.06456766802997,41
2,Causal-v3,sparse4,10,Moderate,0.157822113978398,0.143301433286812,0.400131373069549,15989,12724,30,0,1,0,23,4.6,4,2.06456766802997,41
3,Causal-v3,sparse4,10,Moderate,0.157266588840616,0.142863693759553,0.405245151366119,15904,12693,30,0,1,0,23,4.6,4,2.06456766802997,41
1,P10,sparse6,10,Moderate,0.177908173679335,0.154432642128111,0.394354992141362,17700,0,30,0,1,0,31,6.2,6,4.38196601125011,59
