seed,controller,method,topology,N,scenario,RMSE,MINEVAL,NDATA,MISSION,SAFEFAIL
1,original,P10,ring2,10,Moderate,0.151242943995515,0.408756224135627,6900,30,0
2,original,P10,ring2,10,Moderate,0.150679448743525,0.413241189637332,6900,30,0
3,original,P10,ring2,10,Moderate,0.150535049062256,0.411502226069741,6900,30,0
1,normalized,P10,ring2,10,Moderate,0.151242943995515,0.408756224135627,6900,30,0
2,normalized,P10,ring2,10,Moderate,0.150679448743525,0.413241189637332,6900,30,0
3,normalized,P10,ring2,10,Moderate,0.150535049062256,0.411502226069741,6900,30,0
1,original,Causal-v3,ring2,10,Moderate,0.13624724167547,0.428871534451812,9103,30,0
2,original,Causal-v3,ring2,10,Moderate,0.137508166479977,0.426012325046535,9115,30,0
3,original,Causal-v3,ring2,10,Moderate,0.137675203829287,0.426034544400479,9128,30,0
1,normalized,Causal-v3,ring2,10,Moderate,0.13624724167547,0.428871534451812,9103,30,0
2,normalized,Causal-v3,ring2,10,Moderate,0.137508166479977,0.426012325046535,9115,30,0
3,normalized,Causal-v3,ring2,10,Moderate,0.137675203829287,0.426034544400479,9128,30,0
1,original,P10,sparse4,10,Moderate,0.169022726201943,0.394107922500917,12300,30,0
2,original,P10,sparse4,10,Moderate,0.170566215870972,0.385628347471441,12300,30,0
3,original,P10,sparse4,10,Moderate,0.170805975585645,0.388306226447768,12300,30,0
1,normalized,P10,sparse4,10,Moderate,0.131847313197603,0.430679668938083,12300,30,0
2,normalized,P10,sparse4,10,Moderate,0.133141765559345,0.426260135299868,12300,30,0
3,normalized,P10,sparse4,10,Moderate,0.133302016293978,0.427140369295108,12300,30,0
1,original,Causal-v3,sparse4,10,Moderate,0.157073879666331,0.406647748860742,15908,30,0
2,original,Causal-v3,sparse4,10,Moderate,0.157822113978398,0.400131373069549,15989,30,0
3,original,Causal-v3,sparse4,10,Moderate,0.157266588840616,0.405245151366119,15904,30,0
1,normalized,Causal-v3,sparse4,10,Moderate,0.121909868206752,0.44075530694139,16340,30,0
2,normalized,Causal-v3,sparse4,10,Moderate,0.12153846732875,0.440440495726657,16301,30,0
3,normalized,Causal-v3,sparse4,10,Moderate,0.121453963203874,0.44295725760195,16332,30,0
1,original,P10,sparse6,10,Moderate,0.177908173679335,0.394354992141362,17700,30,0
2,original,P10,sparse6,10,Moderate,0.179320444561344,0.392199731874089,17700,30,0
3,original,P10,sparse6,10,Moderate,0.179274776897696,0.39212007399867,17700,30,0
1,normalized,P10,sparse6,10,Moderate,0.125427024855048,0.447222162063165,17700,30,0
2,normalized,P10,sparse6,10,Moderate,0.126471921527001,0.445187829204727,17700,30,0
3,normalized,P10,sparse6,10,Moderate,0.126522611313659,0.444029609622925,17700,30,0
1,original,Causal-v3,sparse6,10,Moderate,0.167497270773482,0.406291932112824,22725,30,0
2,original,Causal-v3,sparse6,10,Moderate,0.167366562713638,0.406463667467504,22728,30,0
3,original,Causal-v3,sparse6,10,Moderate,0.167405118165081,0.408345145453001,22775,30,0
1,normalized,Causal-v3,sparse6,10,Moderate,0.115510870128695,0.458752896179724,23529,30,0
2,normalized,Causal-v3,sparse6,10,Moderate,0.115402154840067,0.457678012238157,23487,30,0
3,normalized,Causal-v3,sparse6,10,Moderate,0.115628842732298,0.459679269228295,23538,30,0
1,original,P10,geometric,10,Moderate,0.101305508710084,0.47036141246848,6900,30,0
2,original,P10,geometric,10,Moderate,0.0998323058004017,0.477682122063116,6900,30,0
3,original,P10,geometric,10,Moderate,0.100025339995272,0.474854001844179,6900,30,0
1,normalized,P10,geometric,10,Moderate,0.110739050398863,0.454535564334101,6900,30,0
2,normalized,P10,geometric,10,Moderate,0.109217080192114,0.462070519174131,6900,30,0
3,normalized,P10,geometric,10,Moderate,0.10934780534301,0.459887550029704,6900,30,0
1,original,Causal-v3,geometric,10,Moderate,0.0925751777753274,0.481905636246958,9173,30,0
2,original,Causal-v3,geometric,10,Moderate,0.0917842869593354,0.485661677770737,9092,30,0
3,original,Causal-v3,geometric,10,Moderate,0.0921247201256948,0.48581436511667,9102,30,0
1,normalized,Causal-v3,geometric,10,Moderate,0.10043921867241,0.471340122347595,9222,30,0
2,normalized,Causal-v3,geometric,10,Moderate,0.0998146268978598,0.473468201155436,9167,30,0
3,normalized,Causal-v3,geometric,10,Moderate,0.10011896828167,0.47303762979238,9187,30,0
1,original,P10,ring2,20,Moderate,0.180134527560362,0.402304076594204,14400,30,0
2,original,P10,ring2,20,Moderate,0.17904397110599,0.403532523844607,14400,30,0
3,original,P10,ring2,20,Moderate,0.178115588782607,0.403467755430382,14400,30,0
1,normalized,P10,ring2,20,Moderate,0.180134527560362,0.402304076594204,14400,30,0
2,normalized,P10,ring2,20,Moderate,0.17904397110599,0.403532523844607,14400,30,0
3,normalized,P10,ring2,20,Moderate,0.178115588782607,0.403467755430382,14400,30,0
1,original,Causal-v3,ring2,20,Moderate,0.162786812270869,0.424120683133461,18968,30,0
2,original,Causal-v3,ring2,20,Moderate,0.162530286959244,0.426150181683921,19037,30,0
3,original,Causal-v3,ring2,20,Moderate,0.162357506837989,0.419029969687125,18956,30,0
1,normalized,Causal-v3,ring2,20,Moderate,0.162786812270869,0.424120683133461,18968,30,0
2,normalized,Causal-v3,ring2,20,Moderate,0.162530286959244,0.426150181683921,19037,30,0
3,normalized,Causal-v3,ring2,20,Moderate,0.162357506837989,0.419029969687125,18956,30,0
1,original,P10,sparse4,20,Moderate,0.257347891399741,0.333887154184391,25800,30,0
2,original,P10,sparse4,20,Moderate,0.256351055276765,0.342872310847864,25800,30,0
3,original,P10,sparse4,20,Moderate,0.258556292154911,0.340448312905769,25800,30,0
1,normalized,P10,sparse4,20,Moderate,0.180025375285306,0.39544910956336,25800,30,0
2,normalized,P10,sparse4,20,Moderate,0.179072441479769,0.404789560239853,25800,30,0
3,normalized,P10,sparse4,20,Moderate,0.180920117007354,0.401553547337105,25800,30,0
1,original,Causal-v3,sparse4,20,Moderate,0.239629508094671,0.358067254846213,32520,30,0
2,original,Causal-v3,sparse4,20,Moderate,0.240616418235896,0.35244078169043,32537,30,0
3,original,Causal-v3,sparse4,20,Moderate,0.239853988896588,0.353783781771285,32507,30,0
1,normalized,Causal-v3,sparse4,20,Moderate,0.164029445521228,0.41814548917574,34154,30,0
2,normalized,Causal-v3,sparse4,20,Moderate,0.163856692177892,0.420636513164071,34143,30,0
3,normalized,Causal-v3,sparse4,20,Moderate,0.163517638596778,0.421837506615092,34050,30,0
1,original,P10,sparse6,20,Moderate,0.288990356608504,0.308403460574038,37200,30,0
2,original,P10,sparse6,20,Moderate,0.28887387130633,0.313913323669097,37200,30,0
3,original,P10,sparse6,20,Moderate,0.289859713477233,0.310185316187807,37200,30,0
1,normalized,P10,sparse6,20,Moderate,0.167941394649934,0.417665526768277,37200,30,0
2,normalized,P10,sparse6,20,Moderate,0.167973967293037,0.418918178386855,37200,30,0
3,normalized,P10,sparse6,20,Moderate,0.168544942509507,0.416425164649384,37200,30,0
1,original,Causal-v3,sparse6,20,Moderate,0.272287807655387,0.327019553910925,46217,30,0
2,original,Causal-v3,sparse6,20,Moderate,0.273051544459878,0.325975175466819,46207,30,0
3,original,Causal-v3,sparse6,20,Moderate,0.273062310095743,0.32636028931671,46343,30,0
1,normalized,Causal-v3,sparse6,20,Moderate,0.152777697765343,0.433055570220242,49274,30,0
2,normalized,Causal-v3,sparse6,20,Moderate,0.152760689873379,0.432657865358686,49289,30,0
3,normalized,Causal-v3,sparse6,20,Moderate,0.152704101335629,0.432360029126987,49294,30,0
