seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
1,P10,none,ring2,Moderate,0.179018775530783,0.402341274258675,0.24756036938145,NaN,0.226250000000001,14400,0,30,0,0.402341274258675,480,1,0,0.498132719947257
2,P10,none,ring2,Moderate,0.178473866843091,0.405301474831223,0.25521998226608,NaN,0.22625,14400,0,30,0,0.405301474831223,480,1,0,0.498132719947257
3,P10,none,ring2,Moderate,0.177892818512044,0.404773918497005,0.248440313229081,NaN,0.217916666666667,14400,0,30,0,0.404773918497005,480,1,0,0.498132719947257
4,P10,none,ring2,Moderate,0.178367574584258,0.403768608758213,0.24783409066704,NaN,0.222083333333333,14400,0,30,0,0.403768608758213,480,1,0,0.498132719947257
5,P10,none,ring2,Moderate,0.179325755561308,0.399994808577092,0.248196633307913,NaN,0.22,14400,0,30,0,0.399994808577092,480,1,0,0.498132719947257
6,P10,none,ring2,Moderate,0.178967996410309,0.406647473405037,0.2511885458467,NaN,0.224166666666666,14400,0,30,0,0.406647473405037,480,1,0,0.498132719947257
7,P10,none,ring2,Moderate,0.178271935231785,0.410412499741079,0.247843358309631,NaN,0.213750000000004,14400,0,30,0,0.410412499741079,480,1,0,0.498132719947257
8,P10,none,ring2,Moderate,0.177879246458395,0.401398804476116,0.246032477722013,NaN,0.217916666666666,14400,0,30,0,0.401398804476116,480,1,0,0.498132719947257
9,P10,none,ring2,Moderate,0.177552259442138,0.398074503345639,0.243930021944027,NaN,0.217916666666667,14400,0,30,0,0.398074503345639,480,1,0,0.498132719947257
10,P10,none,ring2,Moderate,0.179334546780009,0.404025903744871,0.24590112130082,NaN,0.22,14400,0,30,0,0.404025903744871,480,1,0,0.498132719947257
11,P10,none,ring2,Moderate,0.178533888763464,0.404998958461364,0.251201875691111,NaN,0.224166666666664,14400,0,30,0,0.404998958461364,480,1,0,0.498132719947257
