seed,method,fault,topology,N,scenario,RMSE,MINEVAL,PEAKERR,MINSEPBO,RECOVERY,PEAKAOI,TRUEAOI,ESTAOI,SAFEFAIL,DATAPRE,DATADUR,DATAPOST,ACKPRE,ACKDUR,ACKPOST,OUTMEAN,OUTMAX,PROBES,MAXGAP,CONNECTED,ISOLATED,LAMBDA2,DISCDUR
1,P10,none,ring2,N10,Moderate,0.149320705791385,0.416779825812602,0.212802807750793,0.416779825812602,NaN,0.243913043478263,0.153995577143308,NaN,0,230,230,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
2,P10,none,ring2,N10,Moderate,0.149442160039758,0.410655862912663,0.208504055205945,0.410655862912663,NaN,0.230869565217391,0.154303597520041,NaN,0,230,230,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
3,P10,none,ring2,N10,Moderate,0.149845339941172,0.409037333448061,0.214637946584993,0.409037333448061,NaN,0.226521739130435,0.154757730126762,NaN,0,230,230,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
1,P20,none,ring2,N10,Moderate,0.114455679859364,0.455374722058522,0.160644254205721,0.455374722058522,NaN,0.156956521739131,0.117932709394621,NaN,0,460,460,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
2,P20,none,ring2,N10,Moderate,0.114553792941126,0.454374402519917,0.16156252216906,0.454374402519917,NaN,0.16304347826087,0.117997472653319,NaN,0,460,460,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
3,P20,none,ring2,N10,Moderate,0.114670518539401,0.455585107081916,0.160256974047878,0.455585107081916,NaN,0.157826086956523,0.118115942028986,NaN,0,460,460,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.644325706021918,0
1,State-event,none,ring2,N10,Moderate,0.261725071867072,0.278927928985432,0.427081565595044,0.278927928985432,NaN,0.40391304347826,0.27633179323145,NaN,0,84.3333333333333,87.9090909090909,NaN,0,0,0,NaN,NaN,4,NaN,1,0,0.644325706021918,0
2,State-event,none,ring2,N10,Moderate,0.261953787712801,0.279575464153869,0.384597259515192,0.279575464153869,NaN,0.435217391304346,0.275936895312561,NaN,0,84,87.7727272727273,NaN,0,0,0,NaN,NaN,4,NaN,1,0,0.644325706021918,0
3,State-event,none,ring2,N10,Moderate,0.260583381960699,0.284075450128006,0.375022812848368,0.284075450128006,NaN,0.411739130434783,0.276967578880859,NaN,0,84.6666666666667,88,NaN,0,0,0,NaN,NaN,6,NaN,1,0,0.644325706021918,0
1,Causal-v3,none,ring2,N10,Moderate,0.136586055985255,0.426134463666044,0.192272054020804,0.426134463666044,NaN,0.174347826086956,0.141012913161948,0.220158441820574,0,291.666666666667,287.090909090909,NaN,231,230.909090909091,NaN,2.08235089650378,10,0,0.18,1,0,0.644325706021918,0
2,Causal-v3,none,ring2,N10,Moderate,0.136864443622455,0.427423111535064,0.191416207112415,0.427423111535064,NaN,0.179565217391307,0.141380958022351,0.220394590776069,0,297.666666666667,286.227272727273,NaN,234,229.272727272727,NaN,2.08895518929409,9,0,0.16,1,0,0.644325706021918,0
3,Causal-v3,none,ring2,N10,Moderate,0.136251694503176,0.430150486543567,0.191265975492194,0.430150486543567,NaN,0.178695652173912,0.14089128460293,0.220062569381377,0,291,287.272727272727,NaN,229.333333333333,230.181818181818,NaN,2.08741998088231,9,0,0.16,1,0,0.644325706021918,0
1,P10,1node 2s,ring2,N10,Moderate,0.159896398173897,0.342770315691734,0.398346773273111,0.351834949236996,3.2,0.57,0.172555779331043,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
2,P10,1node 2s,ring2,N10,Moderate,0.16329819572421,0.398222288378252,0.37511723000804,0.411851349293,3.84,0.626521739130435,0.176062472850768,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P10,1node 2s,ring2,N10,Moderate,0.160279335692434,0.346497400085395,0.39304586389214,0.35587576644504,3.12,0.55695652173913,0.173456146586107,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
1,P20,1node 2s,ring2,N10,Moderate,0.124769840253629,0.370938070568734,0.353931682344984,0.381784602921534,3.24,0.50304347826087,0.135547525964538,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
2,P20,1node 2s,ring2,N10,Moderate,0.128364430608012,0.426457020415756,0.339385165401057,0.442948622887577,3.56,0.566521739130434,0.139275362318841,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P20,1node 2s,ring2,N10,Moderate,0.125010785419676,0.372950356938653,0.35129440237779,0.383949401994517,3.24,0.495217391304348,0.135722860640524,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
1,State-event,1node 2s,ring2,N10,Moderate,0.263987379379531,0.251683767157232,0.477575544553002,0.275773532690852,4.7,0.641304347826087,0.285848043280812,NaN,0,85,75,88.5625,0,0,0,NaN,NaN,4,NaN,1,0,0.753020396282533,0
2,State-event,1node 2s,ring2,N10,Moderate,0.275703053208824,0.269729283270171,0.476263109341656,0.296387878948449,3.34,0.748260869565218,0.297916913477866,NaN,0,88.6666666666667,66.5,88.625,0,0,0,NaN,NaN,5,NaN,1,0,0.381966011250106,0
3,State-event,1node 2s,ring2,N10,Moderate,0.27161629787292,0.258677368445475,0.454399184630219,0.282885303272031,1.88,0.636086956521739,0.293667811870631,NaN,0,86.6666666666667,74.5,88.3125,0,0,0,NaN,NaN,6,NaN,1,0,0.753020396282533,0
1,Causal-v3,1node 2s,ring2,N10,Moderate,0.145625346025106,0.352856810390431,0.377280769221104,0.359760423757177,3.22,0.520434782608696,0.158062235912017,0.24445453628016,0,291.666666666667,236.5,286.5625,234.666666666667,181.5,233.875,2.08614546823857,10,0,2.12,1,0,0.753020396282533,0
2,Causal-v3,1node 2s,ring2,N10,Moderate,0.149965903428844,0.413014946807994,0.366830774235685,0.427516404881674,3.52,0.578695652173913,0.162309757927576,0.242816631345251,0,291.333333333333,215.5,289.125,233,174,230.9375,2.09046143150943,9,0,2.12,1,0,0.381966011250106,0
3,Causal-v3,1node 2s,ring2,N10,Moderate,0.145670252238769,0.360407853813665,0.363916317180544,0.36805372893545,3.22,0.497826086956522,0.157337203332938,0.242580482389757,0,287,231.5,288.375,233.666666666667,188,230.9375,2.08432059786229,9,0,2.1,1,0,0.753020396282533,0
1,P10,1node 5s,ring2,N10,Moderate,0.212763225526589,0.264449562168783,0.946868821954188,0.290407162222428,4.12,1.07434782608696,0.261782964103779,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
2,P10,1node 5s,ring2,N10,Moderate,0.229504404798179,0.302846890032572,0.912505392381323,0.385621325857809,4.06,1.27,0.283909094499072,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P10,1node 5s,ring2,N10,Moderate,0.210353261646765,0.279177857490829,0.934636956982559,0.301567264009209,3.58,1.09173913043478,0.261261698850847,NaN,0,228.666666666667,190,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
1,P20,1node 5s,ring2,N10,Moderate,0.179346790681723,0.292753823764222,0.899341944424322,0.310354604736029,3.5,1.02217391304348,0.222236306914663,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
2,P20,1node 5s,ring2,N10,Moderate,0.198528051874698,0.319985440583058,0.885269067399147,0.405521208229184,3.74,1.21956521739131,0.246041543261067,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.381966011250106,0
3,P20,1node 5s,ring2,N10,Moderate,0.179147867677282,0.291865070894285,0.896397920387869,0.309472727360224,3.54,1.03173913043478,0.221193776408798,NaN,0,458.666666666667,380,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.753020396282533,0
1,State-event,1node 5s,ring2,N10,Moderate,0.300860165509527,0.239506280304256,1.00804712754646,0.253833052901173,4.32,1.20478260869565,0.366160012636733,NaN,1,85,70.2,91.5384615384615,0,0,0,NaN,NaN,4,NaN,1,0,0.753020396282533,0
2,State-event,1node 5s,ring2,N10,Moderate,0.338202371254608,0.245316382751199,1.04203578292885,0.291633878722869,3.7,1.41434782608696,0.416739327883742,NaN,1,88.6666666666667,62.4,92.0769230769231,0,0,0,NaN,NaN,22,NaN,1,0,0.381966011250106,0
3,State-event,1node 5s,ring2,N10,Moderate,0.307086286465151,0.26728459089704,0.981772803102159,0.280785926529943,3.06,1.26478260869565,0.374099040398057,NaN,0,86.6666666666667,69.6,91.6923076923077,0,0,0,NaN,NaN,6,NaN,1,0,0.753020396282533,0
1,Causal-v3,1node 5s,ring2,N10,Moderate,0.197172081982187,0.271837090684515,0.9222295674116,0.285583044306929,3.3,1.01869565217391,0.243757453698219,0.357129881925544,0,291.666666666667,226.4,295.384615384615,234.666666666667,178.6,237.923076923077,2.11508269849086,10,0,5.12,1,0,0.753020396282533,0
2,Causal-v3,1node 5s,ring2,N10,Moderate,0.217511854288336,0.314727631897995,0.917776030775984,0.396480223064348,3.62,1.25347826086956,0.270145322434151,0.354683620950669,0,291.333333333333,203.2,300.769230769231,233,164.6,238.076923076923,2.09364771311879,9,0,5.12,1,0,0.381966011250106,0
3,Causal-v3,1node 5s,ring2,N10,Moderate,0.196139408247727,0.290936774672314,0.90619672662879,0.304667219134638,3.38,1.02565217391304,0.241730837578486,0.352525986476962,0,287,226.2,296.538461538462,233.666666666667,179.8,237.153846153846,2.09243113286794,9,0,5.1,1,0,0.753020396282533,0
1,P10,2node 2s,ring2,N10,Moderate,0.170439821956799,0.342761155309486,0.398483629757714,0.351834949236996,3.9,0.935217391304347,0.191254195790388,NaN,0,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.771532756025066,0
2,P10,2node 2s,ring2,N10,Moderate,0.178146724932772,0.397731377643529,0.46253555582852,0.411851349293,4.2,1.06130434782609,0.19878884808277,NaN,0,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,0,1,-6.07152168642174e-18,2
3,P10,2node 2s,ring2,N10,Moderate,0.174192937935477,0.345799588026678,0.471394474786495,0.35587576644504,3.96,0.939565217391305,0.194504205662836,NaN,0,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,1,1,0.771532756025066,0
1,P20,2node 2s,ring2,N10,Moderate,0.134822422818221,0.370915130734396,0.354115073449706,0.381784602921534,3.68,0.865652173913044,0.153291079256012,NaN,0,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.771532756025066,0
2,P20,2node 2s,ring2,N10,Moderate,0.142473715368255,0.425254284434736,0.409026684509323,0.442948622887577,3.9,1.00043478260869,0.161364372309758,NaN,0,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,0,1,-6.07152168642174e-18,2
3,P20,2node 2s,ring2,N10,Moderate,0.137035308652523,0.371782945032446,0.397206760399959,0.383949401994517,3.8,0.859565217391306,0.153440350669352,NaN,0,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,1,1,0.771532756025066,0
1,State-event,2node 2s,ring2,N10,Moderate,0.284283549728942,0.266552235151163,0.568929978495243,0.275773532690852,4.24,1.04913043478261,0.313044662954626,NaN,0,85,56.5,89.625,0,0,0,NaN,NaN,6,NaN,1,0,0.771532756025066,0
2,State-event,2node 2s,ring2,N10,Moderate,0.286997935912181,0.267347301638984,0.587030848630922,0.296387878948449,4.16,1.14913043478261,0.317085258460688,NaN,0,88.6666666666667,48.5,89.4375,0,0,0,NaN,NaN,8,NaN,0,1,-6.07152168642174e-18,2
3,State-event,2node 2s,ring2,N10,Moderate,0.288155593561767,0.254725119792508,0.607323700024348,0.282885303272031,3.3,0.996956521739131,0.313047032342139,NaN,0,86.6666666666667,58,89.25,0,0,0,NaN,NaN,8,NaN,1,1,0.771532756025066,0
1,Causal-v3,2node 2s,ring2,N10,Moderate,0.156081449057222,0.352849987440411,0.382735394538757,0.359760423757177,3.74,0.87,0.17583817083284,0.269205772530034,0,291.333333333333,184,289.9375,234.333333333333,140.5,234.25,2.10059960026649,10,0,2.12,1,0,0.771532756025066,0
2,Causal-v3,2node 2s,ring2,N10,Moderate,0.163101401437904,0.41166926808174,0.432539523206342,0.427516404881674,3.8,1.03869565217391,0.183904355724045,0.266748410535888,0,290.666666666667,151.5,292,232.333333333333,122,232.25,2.09628363699563,9,0,2.12,0,1,-6.07152168642174e-18,2
3,Causal-v3,2node 2s,ring2,N10,Moderate,0.157067670381002,0.359433334184985,0.415713443432851,0.36805372893545,3.74,0.849130434782609,0.174388895470521,0.266267029972764,0,286.666666666667,180.5,291.25,233.666666666667,143,231.5625,2.09613880601338,9,0,2.1,1,1,0.771532756025066,0
1,P10,2node 5s,ring2,N10,Moderate,0.26218162904918,0.016694608174817,0.946917927876325,0.016694608174817,4.52,1.96130434782609,0.366450657505035,NaN,1,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,1,0,0.771532756025066,0
2,P10,2node 5s,ring2,N10,Moderate,0.288799034336976,0.292259004510036,1.00299799752693,0.385621325857809,4.3,2.36565217391305,0.417700509418315,NaN,0,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,0,1,-6.07152168642174e-18,5
3,P10,2node 5s,ring2,N10,Moderate,0.263865560723325,0.278547934717269,0.98580465358599,0.301567264009209,4.02,1.99173913043478,0.370293014255815,NaN,0,227.333333333333,150,230,0,0,0,NaN,NaN,NaN,NaN,1,1,0.771532756025066,0
1,P20,2node 5s,ring2,N10,Moderate,0.230206998040003,0.0395118272797867,0.899402881318528,0.0395118272797867,3.84,1.90391304347826,0.326053390198634,NaN,1,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,1,0,0.771532756025066,0
2,P20,2node 5s,ring2,N10,Moderate,0.256872084035565,0.310905934203368,0.943747678677065,0.405521208229184,3.92,2.30739130434783,0.374828811752162,NaN,0,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,0,1,-6.07152168642174e-18,5
3,P20,2node 5s,ring2,N10,Moderate,0.231963788781267,0.291270098538141,0.93306620054752,0.309472727360224,3.9,1.91347826086956,0.32501796785531,NaN,0,457.333333333333,300,460,0,0,0,NaN,NaN,NaN,NaN,1,1,0.771532756025066,0
1,State-event,2node 5s,ring2,N10,Moderate,0.351386140363671,0.0387457528150889,1.033497010938,0.117270567005435,4.36,2.12304347826087,0.475862654503811,NaN,1,85,49.6,96.0769230769231,0,0,0,NaN,NaN,8,NaN,1,0,0.771532756025066,0
2,State-event,2node 5s,ring2,N10,Moderate,0.395650499885776,0.236377545750741,1.14464946405472,0.291633878722869,3.96,2.49521739130435,0.566208190182838,NaN,1,88.6666666666667,43.6,96.0769230769231,0,0,0,NaN,NaN,24,NaN,0,1,-6.07152168642174e-18,5
3,State-event,2node 5s,ring2,N10,Moderate,0.359275838547849,0.266382156183325,1.12325083648996,0.280785926529943,3.64,2.08304347826087,0.48494688622991,NaN,0,86.6666666666667,53.4,94.6923076923077,0,0,0,NaN,NaN,8,NaN,1,1,0.771532756025066,0
1,Causal-v3,2node 5s,ring2,N10,Moderate,0.244936418706456,0.0193255391636339,0.92228072905285,0.0193255391636339,3.56,1.92913043478261,0.344710737274414,0.491041477444768,1,291.333333333333,170.2,305.384615384615,234.333333333333,134.4,246.692307692308,2.13162239666309,10,0,5.12,1,0,0.771532756025066,0
2,Causal-v3,2node 5s,ring2,N10,Moderate,0.275739529861325,0.307388850425496,0.972406128122789,0.396480223064348,3.8,2.35521739130435,0.407949690005134,0.501705520234147,0,290.666666666667,142,310.384615384615,232.333333333333,116,245.307692307692,2.100309938302,9,0,5.12,0,1,-6.07152168642174e-18,5
3,Causal-v3,2node 5s,ring2,N10,Moderate,0.246064727243534,0.290228935397287,0.947225094920035,0.304667219134638,3.7,1.90130434782609,0.342647000750306,0.48612069835505,0,286.666666666667,176.8,305.769230769231,233.666666666667,138.2,243.076923076923,2.1165310083133,10,0,5.1,1,1,0.771532756025066,0
1,P10,none,sparse4,N10,Moderate,0.170182833466001,0.386961435648587,0.220312121450758,0.386961435648587,NaN,0.218780487804882,0.155479719102368,NaN,0,410,410,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,2.06456766802997,0
2,P10,none,sparse4,N10,Moderate,0.169695338178151,0.388541927266431,0.22477997716776,0.388541927266431,NaN,0.221219512195121,0.154383155003212,NaN,0,410,410,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,2.06456766802997,0
