seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
1,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.44984809215536e+15,558495175193307
2,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.27656824774691e+15,121591522271195
3,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.45003943553276e+15,544790282182747
4,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,919000135712347,8.87332134921366e+15
5,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.71321765501001e+15,1.32720714833136e+15
6,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.0511403744207e+15,1.95916053258876e+15
7,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.42142589291734e+15,1.1694130222566e+15
8,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.17681925559292e+15,1.77122241898851e+15
9,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,3.52641823707388e+15,1.43725196717923e+15
10,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.42417264048688e+15,905496342827099
11,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,8.21844410526524e+15,8.86164039925052e+15
12,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,134636756429275,1.78538751722172e+15
13,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.52837766734396e+15,8.54957230128495e+15
14,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.33492398818352e+15,1.20828425750691e+15
15,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,7.7710254396783e+15,1.20278804859696e+15
16,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.1765613730968e+15,1.17139212757552e+15
17,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,1.31328043396169e+15,1.64473200496905e+15
18,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.61649036505712e+15,9.00016583612707e+15
19,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,2.80046145338505e+15,2.22266347574588e+15
20,P10,DI,Clean,0.0546928518210383,0.0774787949980238,0.529172763164843,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,8.79143271531017e+15,726588931220955
1,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.44984809215536e+15,558495175193307
2,P20,DI,Clean,0.0332556269690729,0.0577589223681248,0.556341218468157,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,1.27656824774691e+15,121591522271195
