seed,method,arm,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,SATURATION,CONTROLEFFORT,LAGERR,DATARATE,ACKRATE,TRUEAOI,ESTAOI,MASSRATIO,DRAGRATIO,AEXTRMS,AEXTPEAK,INVARIANTS
1,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
2,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
3,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
4,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
5,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
6,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
7,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
8,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
9,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
10,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
11,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
12,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
13,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
14,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
15,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
16,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
17,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
18,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
19,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
20,P10,B0 nominal,Clean,0.0360644929479548,0.552258954099122,0,0,9.63660690664737,12.3218113420818,0,1.01541611487189,NaN,100,NaN,0.0499636693914622,NaN,1,1,0,0,0
1,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
2,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
3,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
4,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
5,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
6,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
7,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
8,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
9,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
10,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
11,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
12,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
13,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
14,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
15,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
16,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
17,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
18,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
19,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
20,P20,B0 nominal,Clean,0.0253751088131474,0.56836970877481,0,0,9.40856994244785,12.0860366953605,0,1.01545355785888,NaN,200,NaN,0.0259854677565848,NaN,1,1,0,0,0
