seed,method,arm,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,ESTERR,POSNOISERMS,VELNOISERMS,LATENCY,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH,NOISEHASH,INVARIANTS
1,P10,N0 noiseless,Clean,0.0360644929479548,0.552258954099122,0,0,0,0,0,0,100,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,7.95287306321372e+15,7.39078305327468e+15,0,0
2,P10,N0 noiseless,Clean,0.0360644929479548,0.552258954099122,0,0,0,0,0,0,100,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,7.21854148642767e+15,7.98156638980892e+15,0,0
3,P10,N0 noiseless,Clean,0.0360644929479548,0.552258954099122,0,0,0,0,0,0,100,NaN,0.0499636693914622,NaN,NaN,NaN,NaN,7.89617654887964e+15,7.34501991325977e+15,0,0
1,P20,N0 noiseless,Clean,0.0253751088131474,0.56836970877481,0,0,0,0,0,0,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,7.95287306321372e+15,7.39078305327468e+15,0,0
2,P20,N0 noiseless,Clean,0.0253751088131474,0.56836970877481,0,0,0,0,0,0,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,7.21854148642767e+15,7.98156638980892e+15,0,0
3,P20,N0 noiseless,Clean,0.0253751088131474,0.56836970877481,0,0,0,0,0,0,200,NaN,0.0259854677565848,NaN,NaN,NaN,NaN,7.89617654887964e+15,7.34501991325977e+15,0,0
1,State-event,N0 noiseless,Clean,0.0823051474578866,0.497441307228487,0,0,0,0,0,0,43.4333333333333,NaN,0.130069028156222,NaN,NaN,NaN,NaN,7.95287306321372e+15,7.39078305327468e+15,0,0
2,State-event,N0 noiseless,Clean,0.0823051474578866,0.497441307228487,0,0,0,0,0,0,43.4333333333333,NaN,0.130069028156222,NaN,NaN,NaN,NaN,7.21854148642767e+15,7.98156638980892e+15,0,0
3,State-event,N0 noiseless,Clean,0.0823051474578866,0.497441307228487,0,0,0,0,0,0,43.4333333333333,NaN,0.130069028156222,NaN,NaN,NaN,NaN,7.89617654887964e+15,7.34501991325977e+15,0,0
1,Causal-v3,N0 noiseless,Clean,0.0413792333665601,0.545626153048688,0,0,0,0,0,0,84.4666666666667,84.4666666666667,0.0600054495912808,0.080054495912807,0.085240726124704,0.900947119179163,0.0138121546961326,7.95287306321372e+15,7.39078305327468e+15,0,0
