point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
NOMINAL,6dof,5,ring2,Clean,P10,0.0361605567003791,4.25701676992815e-05,0.552155976798881,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.0499921283681503,NaN,0,1.01543012705937,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,P20,0.025379746704856,2.7465360945537e-06,0.568370462889074,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.0259957614290039,NaN,0,1.01545611668902,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,State-event,0.0823051474578866,0,0.497441307228487,0,3,0,all seeds,43.4333333333333,0,43.4333333333333,43.4333333333333,43.4333333333333,2084.8,26.0666666666667,0.130069028156222,NaN,0,1.01540075823686,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Clean,Causal-v3,0.0413792333665601,0,0.545626153048688,0,3,0,all seeds,84.4666666666667,84.4666666666667,92.9133333333333,105.583333333333,126.7,6081.6,135.166666666667,0.0600054495912808,0.080054495912807,0,1.01541068965597,NaN,0,3,3,0,1,1,1,1,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,P10,0.097605644154186,0.00144468632823804,0.477695186064958,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.154951256433545,NaN,0,1.01535013382906,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,P20,0.0750822605208074,0.000495102788249218,0.505019548963128,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.117789887980624,NaN,0,1.01535095395302,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,State-event,0.17080290383827,0.00780353453759136,0.386855866748014,0,3,0,all seeds,43.2333333333333,0,43.2333333333333,43.2333333333333,43.2333333333333,2075.2,25.9444444444444,0.273745685740236,NaN,0,1.01532479189702,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Moderate,Causal-v3,0.089011369110441,0.000400462261532691,0.488145436814871,0,3,0,all seeds,135.3,107.811111111111,146.081111111111,162.252777777778,189.205555555555,9081.86666666667,225.688888888889,0.141356342718741,0.220547229791099,0,1.0153488544358,NaN,0,3,3,0,0,0,0,1,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Stressed,P10,0.146835451030239,0.00250473864571539,0.41593123461177,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.23621374508023,NaN,0,1.01534505679682,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
NOMINAL,6dof,5,ring2,Stressed,P20,0.111961508781459,0.000938557017850895,0.460241976561254,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.178700575234635,NaN,0,1.01531020935167,NaN,0,3,3,0,0,0,0,0,EXP09A,exp09a-locked
