N,seed,forward,reverse,phase,link,blackout,extForce,noise,master
5,25000001,7.37428389003311e+15,8.18677251451721e+15,8965661206,108027002842,38694086459,5018088.52805224,119689338.073735,28843780194
5,25000002,7.91357575769785e+15,6.78473586489506e+15,13192096017,127027002842,38694086459,5549867.37050704,119155541.113888,28180953708
5,25000003,7.80972603408713e+15,7.9396000610166e+15,14218812334,96027002842,40694086459,4533206.79536634,120072270.461857,24497882348
5,25000004,7.90521779185097e+15,7.6489412899903e+15,11641862945,113027002842,37694086459,6639451.03102946,119955089.327934,26159103598
5,25000005,7.80013209657263e+15,7.71254883934319e+15,5587514349,105027002842,38694086459,5868259.56160325,120149805.054995,32773187722
5,25000006,7.35459293636722e+15,6.8989836164645e+15,13707197602,93027002842,38694086459,5698796.50519474,120581679.064732,47459919324
5,25000007,7.56884421747958e+15,7.57255047486946e+15,16714049669,105027002842,38694086459,6801657.01853736,119838330.376762,25535031122
5,25000008,7.3823896104486e+15,7.3423269568727e+15,8955281454,117027002842,37694086459,5598776.66875453,119768070.608253,29448363902
5,25000009,8.27099258402774e+15,7.94641309520508e+15,11405470773,121027002842,37694086459,6237324.03083215,119663447.962547,21786336846
5,25000010,6.71647982726502e+15,8.07580233428278e+15,13829723538,103027002842,40694086459,6340418.72528404,118828619.691198,24326335010
5,25000011,7.21836531480489e+15,8.04728482879916e+15,11552931159,125027002842,39694086459,6956482.10250211,119505750.989953,28937332316
5,25000012,7.94601328234854e+15,7.27913020366988e+15,11694063556,105027002842,39694086459,7002699.26194504,120075210.501266,22237026140
5,25000013,7.62743453152111e+15,8.78393981624521e+15,8545871437,125027002842,38694086459,4421275.25812189,120041942.10161,29999460320
5,25000014,7.37923574693039e+15,7.20749627186646e+15,6164641796,106027002842,40694086459,4993036.32466334,119867344.643682,25072115484
5,25000015,8.3095261079359e+15,7.69381869317046e+15,16470852673,106027002842,39694086459,4530542.03943496,119173310.1977,16026017842
5,25000016,7.50519233658137e+15,7.72701220783823e+15,10253529332,97027002842,40694086459,6446418.82142952,120583926.815925,25622438540
5,25000017,7.55290823945721e+15,8.02602253338959e+15,14758262246,103027002842,38694086459,4277439.2028578,119492483.59946,42631186286
5,25000018,105356525616889,8.16682168921378e+15,9044286727,109027002842,37694086459,6785288.08638088,120352877.818386,26545523134
5,25000019,7.89567605335292e+15,6.61369581868457e+15,10247113738,103027002842,38694086459,6163648.33415842,119299899.341485,35724634788
5,25000020,7.14107203812377e+15,6.82444629154332e+15,8185647731,100027002842,37694086459,6041727.31063248,120229391.282115,28373498068
5,25000021,8.06025470233506e+15,8.3743699968438e+15,9006986657,106027002842,38694086459,6480263.232253,119986252.742439,43382008880
5,25000022,8.01884782668332e+15,7.30242233756745e+15,7528692073,115027002842,37694086459,5063583.8121332,120232092.318917,39654289754
5,25000023,7.86939081808095e+15,8.1779949402654e+15,7300192180,121027002842,38694086459,6356362.15418035,120524883.714761,32658081218
5,25000024,6.95809483462716e+15,7.06654431352978e+15,8712439661,113027002842,40694086459,6074811.71595189,120666572.494291,28895080328
5,25000025,7.52104774846188e+15,8.3496702501253e+15,11860913905,102027002842,40694086459,4973187.38988609,120088529.678511,30109564884
5,25000026,7.84997480427676e+15,8.14117765462367e+15,11635105247,97027002842,37694086459,4653521.74962382,119571756.638919,23124311056
5,25000027,6.949768281531e+15,481158336326265,6864659471,105027002842,40694086459,4901287.14866629,119768255.324168,35993244956
5,25000028,7.80508998883964e+15,7.73666067189455e+15,4951545590,105027002842,40694086459,7049164.91779522,119633062.708914,28853166632
5,25000029,7.85009112321807e+15,7.21293740716527e+15,6344937507,106027002842,37694086459,6744940.04524766,120390142.6992,34057669604
5,25000030,7.53077640762975e+15,7.2779490400662e+15,9947578132,117027002842,40694086459,4484376.40817787,119902341.125167,23510332308
5,25000031,6.82303768529705e+15,8.47872782528662e+15,12380045071,115027002842,40694086459,5000932.13579099,120118583.799805,24388811964
5,25000032,7.79754395476546e+15,6.97293971937807e+15,11653942199,119027002842,40694086459,4206495.25585281,120093798.011484,35486728066
5,25000033,6.94566812261714e+15,7.1873018843615e+15,8247832076,109027002842,39694086459,4823370.2257692,119787636.312699,32453531782
5,25000034,8.24762771556185e+15,7.0113735660038e+15,10082426006,97027002842,38694086459,5155339.36419414,119760383.747332,27916946304
5,25000035,6.67798068180358e+15,7.29983518188908e+15,10716823852,103027002842,40694086459,5752127.7104211,120324661.343734,29774280272
5,25000036,8.1766698125261e+15,8.07322128447343e+15,9255596254,115027002842,39694086459,6343009.24697993,120242026.392395,33826585704
5,25000037,7.49411739007225e+15,7.30527805237628e+15,8249246583,100027002842,38694086459,5150440.78944159,120031237.017279,33218844084
5,25000038,7.91750952399212e+15,7.63957310384694e+15,13566231817,105027002842,38694086459,6037725.70504977,119803723.074077,35373178990
5,25000039,7.66769673347007e+15,6.95869922732169e+15,7291557316,127027002842,39694086459,4820828.09726066,119506837.180998,15814242094
5,25000040,7.8582163335525e+15,7.95913615070434e+15,13250885576,109027002842,40694086459,6649810.06786205,120123124.568811,27295378704
5,25000041,7.67456350270834e+15,7.3517312804374e+15,12986627187,90027002842,38694086459,5135019.66498438,120336945.604087,30472242570
5,25000042,7.52952670028764e+15,7.71430212993628e+15,5042248458,115027002842,38694086459,4648865.69399395,118940609.386694,33280156118
5,25000043,8.324214765103e+15,7.07233938577241e+15,12418379596,103027002842,38694086459,6162141.55587217,119420857.620566,38509066828
5,25000044,6.93953674977666e+15,7.77803428400143e+15,12042787123,105027002842,38694086459,5674678.46677188,120650960.083997,21458178696
5,25000045,8.62864650109641e+15,8.14485658837554e+15,16162280204,115027002842,37694086459,4577910.73432578,119748863.019212,35038798854
5,25000046,7.0513320674919e+15,7.52173492092012e+15,13155341479,106027002842,40694086459,6981090.48468627,120122699.668942,34752110886
5,25000047,8.31045119912866e+15,7.8140974701733e+15,13100967035,99027002842,39694086459,5123421.75533057,119945301.219087,18582544340
5,25000048,7.22277962050498e+15,8.22886383355919e+15,6571662652,125027002842,38694086459,7829547.64719868,120484686.338739,23121035956
5,25000049,8.14195020825218e+15,7.47217668544601e+15,4514285278,112027002842,40694086459,5532404.64295576,120738561.126497,37989017570
5,25000050,7.27711156172108e+15,6.56928364626127e+15,7526797026,100027002842,37694086459,5475792.95682639,119479819.890167,36372425812
20,25000001,1.35341945974921e+15,4.26282727473392e+15,109639854312,2673094839410,120722522164,5018088.52805224,2231612158.80065,31778298530
20,25000002,3.18057995827132e+15,3.69651780766806e+15,92528169428,3161094839410,129722522164,5549867.37050704,2236284178.8981,25795921100
20,25000003,1.04218109015894e+15,4.26408538097084e+15,97795198551,2234094839410,125722522164,4533206.79536634,2230946039.63309,34866430396
20,25000004,2.40468302766883e+15,3.85284161236617e+15,106319277342,2380094839410,127722522164,6639451.03102946,2227129816.19531,17001001518
20,25000005,3.57199985975689e+15,5.96699320118204e+15,121365111194,2846094839410,124722522164,5868259.56160325,2229206979.47452,30247220810
20,25000006,3.11873250452003e+15,764818119970140,105545195437,2510094839410,127722522164,5698796.50519474,2235638931.52982,30158132956
20,25000007,4.23791276462012e+15,3.4033996911087e+15,123979424250,2907094839410,115722522164,6801657.01853736,2226901055.11981,20973991842
20,25000008,2.58169137919318e+15,2.48452957286537e+15,137254672645,2338094839410,124722522164,5598776.66875453,2227366931.71703,30679117710
20,25000009,2.5728690835782e+15,2.53306827112995e+15,121982446019,2739094839410,115722522164,6237324.03083215,2231694101.07572,31446740142
20,25000010,3.86223705138057e+15,2.95146042302345e+15,122374904166,3052094839410,120722522164,6340418.72528404,2225843407.95254,37955694834
20,25000011,2.37889871688022e+15,1.72882692688572e+15,158707510282,3302094839410,123722522164,6956482.10250211,2226299623.41409,33640923212
20,25000012,2.25803636364272e+15,7.97935857449916e+15,123961821266,2636094839410,121722522164,7002699.26194504,2227912064.95454,33804596508
20,25000013,132958158851420,5.32475928460681e+15,100576466871,3176094839410,125722522164,4421275.25812189,2232461061.87479,32056662000
20,25000014,3.72047732018313e+15,3.25283798714403e+15,101569354067,3157094839410,128722522164,4993036.32466334,2227196752.08661,34058104620
20,25000015,7.7723688725999e+15,2.80699518336188e+15,141744399284,2463094839410,113722522164,4530542.03943496,2229664723.13746,22248157426
20,25000016,7.86212892955171e+15,2.55054297236412e+15,146648704351,2655094839410,127722522164,6446418.82142952,2231667782.57801,26517404012
20,25000017,1.6194261825432e+15,2.14293404375228e+15,132328661076,2739094839410,129722522164,4277439.2028578,2222962633.57393,39611810254
20,25000018,6.66883707509078e+15,4.59353031702563e+15,123584325762,2611094839410,121722522164,6785288.08638088,2230937547.53965,26427550462
20,25000019,3.07067988196182e+15,6.95883782075939e+15,95892049497,2445094839410,122722522164,6163648.33415842,2231903095.04792,20718557492
20,25000020,8.92689680090454e+15,3.88734325711804e+15,130568470490,2608094839410,117722522164,6041727.31063248,2230141138.15549,16898059492
20,25000021,3.43935481695216e+15,2.14301627438985e+15,124239775440,2675094839410,118722522164,6480263.232253,2229493046.03257,38812955104
20,25000022,612146984793436,2.17878368231561e+15,109027354728,2323094839410,123722522164,5063583.8121332,2233625726.34821,32953431306
20,25000023,1.53872388149846e+15,821030130774364,113763600207,2424094839410,116722522164,6356362.15418035,2231972174.32464,42649058322
20,25000024,5.28260119119088e+15,1.04205693488163e+15,102125405020,3016094839410,114722522164,6074811.71595189,2228306761.39962,24078464168
20,25000025,4.0475647990936e+15,5.13214846257699e+15,146149224282,2738094839410,119722522164,4973187.38988609,2225225303.12315,24605595476
20,25000026,2.2498992263407e+15,2.92924325441212e+15,136237524584,2928094839410,111722522164,4653521.74962382,2226583442.06217,38226033504
20,25000027,1.79307543281289e+15,4.47493817502806e+15,98687309861,3096094839410,128722522164,4901287.14866629,2234681444.29639,26885374556
20,25000028,4.6261530850246e+15,8.24137659445692e+15,94349151766,2380094839410,116722522164,7049164.91779522,2229229991.70138,27129989544
20,25000029,4.36906315785046e+15,1.49095436911548e+15,123125133283,3056094839410,127722522164,6744940.04524766,2229151568.67844,16106953748
20,25000030,2.3325338681798e+15,8.45915722924323e+15,117512549517,2697094839410,115722522164,4484376.40817787,2229789509.2305,27154787076
20,25000031,8.24324302059555e+15,7.7029394519238e+15,116834889645,2527094839410,126722522164,5000932.13579099,2229774059.49814,39214442092
20,25000032,947807972335452,7.30978991201315e+15,135780986872,2741094839410,116722522164,4206495.25585281,2228254810.62109,37188525170
20,25000033,2.51733611479126e+15,1.75676380300528e+15,130842208267,2947094839410,113722522164,4823370.2257692,2225334245.10889,35384504790
20,25000034,794559266806108,1.41809258309308e+15,133864492094,2403094839410,125722522164,5155339.36419414,2230815736.83833,37543846208
20,25000035,3.68349596130697e+15,4.44461312260438e+15,140336562659,2739094839410,124722522164,5752127.7104211,2231587317.9729,15074008480
20,25000036,1.94882981329443e+15,6.50630457052451e+15,116268037158,2258094839410,129722522164,6343009.24697993,2234052189.17169,36609708888
20,25000037,5.67694750564694e+15,4.55697006286422e+15,128862198380,2528094839410,112722522164,5150440.78944159,2234882063.55158,40086992244
20,25000038,68124144612700,3.75028181055216e+15,124463636835,2966094839410,112722522164,6037725.70504977,2231502287.58639,28747206462
