seed,method,family,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,NDATA,NACK,NBCAST,MISDUR,DATAHZ,ACKHZ,TOTW010,TOTW025,TOTW050,AIRTIME,BCASTHZ,TRUEAOI,ESTAOI,SEG1_RMSE,SEG1_DATAHZ,SEG1_ACKHZ,SEG1_W025,SEG1_AOI,SEG1_MINSEP,SEG2_RMSE,SEG2_DATAHZ,SEG2_ACKHZ,SEG2_W025,SEG2_AOI,SEG2_MINSEP,SEG3_RMSE,SEG3_DATAHZ,SEG3_ACKHZ,SEG3_W025,SEG3_AOI,SEG3_MINSEP,SEG4_RMSE,SEG4_DATAHZ,SEG4_ACKHZ,SEG4_W025,SEG4_AOI,SEG4_MINSEP,SEG5_RMSE,SEG5_DATAHZ,SEG5_ACKHZ,SEG5_W025,SEG5_AOI,SEG5_MINSEP,TR01_DATAHZ,TR01_DELTAHZ,TR01_DELTAAOI,TR01_DELTARMSE,TR02_DATAHZ,TR02_DELTAHZ,TR02_DELTAAOI,TR02_DELTARMSE,TR03_DATAHZ,TR03_DELTAHZ,TR03_DELTAAOI,TR03_DELTARMSE,TR04_DATAHZ,TR04_DELTAHZ,TR04_DELTAAOI,TR04_DELTARMSE,TR05_DATAHZ,TR05_DELTAHZ,TR05_DELTAAOI,TR05_DELTARMSE,TR06_DATAHZ,TR06_DELTAHZ,TR06_DELTAAOI,TR06_DELTARMSE,TR07_DATAHZ,TR07_DELTAHZ,TR07_DELTAAOI,TR07_DELTARMSE,TR08_DATAHZ,TR08_DELTAHZ,TR08_DELTAAOI,TR08_DELTARMSE,TR09_DATAHZ,TR09_DELTAHZ,TR09_DELTAAOI,TR09_DELTARMSE,TR10_DATAHZ,TR10_DELTAHZ,TR10_DELTAAOI,TR10_DELTARMSE,TR11_DATAHZ,TR11_DELTAHZ,TR11_DELTAAOI,TR11_DELTARMSE,TR12_DATAHZ,TR12_DELTAHZ,TR12_DELTAAOI,TR12_DELTARMSE,TR13_DATAHZ,TR13_DELTAHZ,TR13_DELTAAOI,TR13_DELTARMSE,TR14_DATAHZ,TR14_DELTAHZ,TR14_DELTAAOI,TR14_DELTARMSE,TR15_DATAHZ,TR15_DELTAHZ,TR15_DELTAAOI,TR15_DELTARMSE,TR16_DATAHZ,TR16_DELTAHZ,TR16_DELTAAOI,TR16_DELTARMSE,FWDHASH,FWDHASHX,ACKHASH,ACKHASHX,PHASEHASH,INVARIANTS,DROPCOUNT,NPERIODSW
26000001,P5,periodic,0.139518257276466,0.31666852819813,0.315822222545641,0,0,3750,0,2250,75.02,49.9866702212743,0,49.9866702212743,49.9866702212743,49.9866702212743,2399.36017062117,29.9920021327646,0.204869634764063,NaN,0.0645089462360599,50,0,50,0.1,0.517927104417861,0.132889348143625,50,0,50,0.223013333333333,0.482420209651727,0.212741005738375,50,0,50,0.36896,0.315822222545641,0.156782444952343,50,0,50,0.23216,0.413946576347909,0.0753965601034113,49.9334221038615,0,49.9334221038615,0.100354194407457,0.507980954455359,50,0,0.106,0.00560127804473586,50,0,0.1078,0.040765947161238,50,0,0.1374,0.0698845979588329,50,0,0.12488,0.0776227742044978,50,0,0.12664,0.00465455013003566,50,0,0.12484,0.0357039739576559,50,0,0.17824,0.0751815353008688,50,0,0.14692,0.083323649919011,50,0,-0.0966399999999998,0.0119047947270432,50,0,-0.13024,-0.0261623886760168,50,0,-0.13244,-0.0674178496746739,50,0,-0.12692,-0.0681845599088136,50,0,-0.12968,-0.00703181466068251,50,0,-0.13408,-0.0536725687237768,50,0,-0.13408,-0.0808134314420847,50,0,-0.13408,-0.0806725446243545,7.33259872054996e+15,130779042775,NaN,NaN,2155797,0,582,0
26000002,P5,periodic,0.140983943957541,0.354016377551066,0.253861290392034,0,0,3754,0,2252,75.02,50.039989336177,0,50.039989336177,50.039989336177,50.039989336177,2401.9194881365,30.0186616902159,0.204734737403359,NaN,0.0644300880358311,50,0,50,0.1,0.517944618078785,0.141199715665861,50,0,50,0.2384,0.4829860775506,0.22057888223416,50,0,50,0.36504,0.253861290392034,0.145661424502113,50,0,50,0.22024,0.400281973761943,0.0737612372104696,50.1997336884154,0,50.1997336884154,0.100133155792277,0.506584250257279,50,0,0.1384,0.00583567432508607,50,0,0.13,0.0504339165897087,50,0,0.1354,0.0774609428634336,50,0,0.14068,0.0865116244455849,50,0,0.1724,0.00126002529314737,50,0,0.1576,0.0561105365617831,50,0,0.213,0.0962603066422303,50,0,0.0878,0.063906626196335,50,0,-0.121759999999999,-0.00527466696479315,50,0,-0.12256,-0.0473128676168968,50,0,-0.0949599999999996,-0.0699948796287141,50,0,-0.1206,-0.0708543932591872,50,0,-0.11856,-0.00649651289562383,50,0,-0.12096,-0.0488186162750636,50,0,-0.12096,-0.0723784140809392,50,0,-0.12096,-0.0721031723433684,561847221139141,130367319328,NaN,NaN,3264544,0,611,0
26000003,P5,periodic,0.140852813957996,0.321567646043301,0.330234799452581,0,0,3752,0,2251,75.02,50.0133297787257,0,50.0133297787257,50.0133297787257,50.0133297787257,2400.63982937883,30.0053319114903,0.205363369768062,NaN,0.0645631568148191,50,0,50,0.1,0.517878542755014,0.140385278271653,50,0,50,0.237866666666667,0.479664031906695,0.217102417543021,50,0,50,0.35848,0.330234799452581,0.150741337629326,50,0,50,0.23024,0.4133107534485,0.074053215335236,50.0665778961385,0,50.0665778961385,0.10037017310253,0.506173575231778,50,0,0.1212,0.00606412824656859,50,0,0.1354,0.0490727107171528,50,0,0.1344,0.0822602841886678,50,0,0.14072,0.0844518613469132,50,0,0.10168,0.00978223735918951,50,0,0.10588,0.0394652962150112,50,0,0.126479999999999,0.0738391548469374,50,0,0.1176,0.0799469650983446,50,0,-0.13016,-0.0275037849245389,50,0,-0.12936,-0.0634219938940807,50,0,-0.0667599999999995,-0.0745060691277742,50,0,-0.12524,-0.0752374135826868,50,0,-0.11792,-0.012392297060422,50,0,-0.12392,-0.0548122176799622,50,0,-0.12392,-0.0786244466306836,50,0,-0.12392,-0.078556897376456,6.60778758728301e+15,130748273780,NaN,NaN,3423611,0,622,0
26000001,P10,periodic,0.0931800767925304,0.203568015234525,0.414573862987522,0,0,7500,0,4500,75.02,99.9733404425487,0,99.9733404425487,99.9733404425487,99.9733404425487,4798.72034124234,59.9840042655292,0.129765929085577,NaN,0.0362360101169465,100,0,100,0.05,0.552108184896847,0.0919057431375003,100,0,100,0.154733333333333,0.513538154507276,0.144065855573496,100,0,100,0.23808,0.414573862987522,0.104312412498937,100,0,100,0.15596,0.476197656419361,0.0450082777924312,99.866844207723,0,99.866844207723,0.0501624500665786,0.532312488101663,100,0,0.0931999999999999,0.00496365637075501,100,0,0.0967999999999997,0.0365037078526963,100,0,0.1017,0.0571281040270712,100,0,0.10808,0.0624809615823468,100,0,0.08824,0.00614791308009427,100,0,0.06924,0.0289731701429692,100,0,0.0802399999999995,0.0457549399868296,100,0,0.0787599999999999,0.0503364346288329,100,0,-0.0722400000000007,-0.00797862005379318,100,0,-0.0842400000000003,-0.0330201397061881,100,0,-0.0875400000000003,-0.0535391956947661,100,0,-0.07794,-0.0495166649310184,100,0,-0.1038,-0.00585807720473271,100,0,-0.1058,-0.046089328514996,100,0,-0.1058,-0.0642782663537863,100,0,-0.105799999999999,-0.0643252536310383,7.33259872054996e+15,130779042775,NaN,NaN,2155797,0,1184,0
26000002,P10,periodic,0.0928765619652288,0.207093912265924,0.402756777291144,0,0,7504,0,4502,75.02,100.026659557451,0,100.026659557451,100.026659557451,100.026659557451,4801.27965875766,60.0106638229805,0.129384697414023,NaN,0.0362188764206936,100,0,100,0.0499999999999999,0.552118203214637,0.0922549243208234,100,0,100,0.155093333333333,0.513280041640031,0.144996100875731,100,0,100,0.240053333333333,0.402756777291144,0.101809278797734,100,0,100,0.151746666666667,0.479667908670035,0.0439025479825949,100.133155792277,0,100.133155792277,0.0501358189081224,0.533653456326341,100,0,0.1026,0.00520414385575616,100,0,0.1027,0.0381815048457226,100,0,0.1094,0.0622121686487643,100,0,0.10496,0.0617470744811819,100,0,0.0913999999999996,0.00390191281597764,100,0,0.1057,0.0331880848227592,100,0,0.0754999999999999,0.0544102097752563,100,0,0.0852000000000002,0.0541404519271614,100,0,-0.0786799999999995,-0.00642161738861921,100,0,-0.08308,-0.0330354070823783,100,0,-0.0748799999999999,-0.0495743184260131,100,0,-0.08704,-0.0525518113615829,100,0,-0.09648,-0.0052521937726186,100,0,-0.0986800000000001,-0.0410811507918728,100,0,-0.0986800000000001,-0.0576888435362597,100,0,-0.0986800000000001,-0.0576979346749008,561847221139141,130367319328,NaN,NaN,3264544,0,1162,0
26000003,P10,periodic,0.091919227731174,0.183815727180783,0.421639295413308,0,0,7504,0,4502,75.02,100.026659557451,0,100.026659557451,100.026659557451,100.026659557451,4801.27965875766,60.0106638229805,0.128833910957078,NaN,0.0362223666229264,100,0,100,0.05,0.552121393063024,0.0919637828679747,100,0,100,0.15368,0.514018386002093,0.139334452199207,100,0,100,0.233133333333333,0.421639295413308,0.10515525864051,100,0,100,0.157226666666667,0.483739022076767,0.0448685660108002,100.133155792277,0,100.133155792277,0.0502343541944071,0.533586640619419,100,0,0.0973999999999999,0.00536951754156459,100,0,0.1042,0.0385095825136768,100,0,0.0976000000000001,0.0604753921512028,100,0,0.10542,0.0616197004028684,100,0,0.0949199999999999,0.00527989970700779,100,0,0.0732199999999998,0.0323746236127811,100,0,0.0822199999999997,0.0461804786769117,100,0,0.0809999999999999,0.0471480134403472,100,0,-0.0681999999999996,-0.000377544482709768,100,0,-0.0811999999999999,-0.0233270383528796,100,0,-0.0572999999999995,-0.0395583213518677,100,0,-0.0776399999999998,-0.0421050826712027,100,0,-0.10212,-0.00491854914496896,100,0,-0.10592,-0.0452785920825668,100,0,-0.10592,-0.0628790073808538,100,0,-0.10592,-0.0630144826562329,6.60778758728301e+15,130748273780,NaN,NaN,3423611,0,1185,0
26000001,P12.5,periodic,0.0837357729113643,0.186869729547118,0.439672255391567,0,0,9378,0,5627,75.02,125.006664889363,0,125.006664889363,125.006664889363,125.006664889363,6000.31991468942,75.0066648893628,0.114434017595308,NaN,0.0312976930726489,125.066666666667,0,125.066666666667,0.0400106666666667,0.558854509547218,0.0824449812483818,124.933333333333,0,124.933333333333,0.137770666666667,0.5182883482332,0.129704229835283,125.066666666667,0,125.066666666667,0.213962666666667,0.439672255391567,0.0944773127786875,124.933333333333,0,124.933333333333,0.140330666666667,0.488697786416573,0.0392405879346165,125.033288948069,0,125.033288948069,0.0401944074567243,0.536118003229761,124,-1.2,0.0881280000000003,0.00419884353580134,125,-0.200000000000003,0.098448,0.0351036990621822,125,-0.200000000000003,0.096128,0.0556054347401609,125,-0.200000000000003,0.0988800000000001,0.0566008893506545,126,1.2,0.057824,0.00300463582455539,125,0.200000000000003,0.065824,0.0245335662403611,125,0.200000000000003,0.0665439999999997,0.0376518943734553,125,0.200000000000003,0.0819040000000002,0.048385633916185,124,-1.2,-0.0578560000000005,-0.00535648803778233,125,-0.200000000000003,-0.0788960000000001,-0.0296605299311759,125,-0.200000000000003,-0.0828960000000001,-0.0520623273187672,125,-0.200000000000003,-0.075744,-0.0516212777615782,126,1.2,-0.0983680000000002,-0.00445755686874776,125,0.200000000000003,-0.101408,-0.040986816737794,125,0.200000000000003,-0.101408,-0.056758603199172,125,0.200000000000003,-0.101408,-0.0571373573085359,7.33259872054996e+15,130779042775,NaN,NaN,2155797,0,1487,0
26000002,P12.5,periodic,0.0829401074753973,0.179207743129379,0.425540618612283,0,0,9378,0,5627,75.02,125.006664889363,0,125.006664889363,125.006664889363,125.006664889363,6000.31991468942,75.0066648893628,0.114282591308984,NaN,0.0313020288775907,125.066666666667,0,125.066666666667,0.0399893333333333,0.558833128357963,0.0830262525831387,124.933333333333,0,124.933333333333,0.13872,0.51906970553664,0.128453349823897,125.066666666667,0,125.066666666667,0.212426666666667,0.425540618612283,0.0920721198285771,124.933333333333,0,124.933333333333,0.14016,0.496109966101824,0.0393915769302428,125.033288948069,0,125.033288948069,0.0402157123834887,0.534910458773021,124,-1.2,0.090592,0.00466241625308197,125,-0.200000000000003,0.097712,0.0358589329776639,125,-0.200000000000003,0.0997119999999999,0.056270043014539,125,-0.200000000000003,0.0995840000000001,0.0571532591518,126,1.2,0.0669759999999996,0.00278047625564624,125,0.200000000000003,0.0800160000000001,0.0266103629005475,125,0.200000000000003,0.0774559999999998,0.0464907358296174,125,0.200000000000003,0.072272,0.0444686331776275,124,-1.2,-0.06864,-0.00975001807252979,125,-0.200000000000003,-0.0663200000000002,-0.0316421522928213,125,-0.200000000000003,-0.06752,-0.0424760319075919,125,-0.200000000000003,-0.067648,-0.0437930708961594,126,1.2,-0.0991359999999996,-0.00402739373238525,125,0.200000000000003,-0.102336,-0.0407321189395152,125,0.200000000000003,-0.102336,-0.0568898290532172,125,0.200000000000003,-0.102336,-0.0572852362595371,561847221139141,130367319328,NaN,NaN,3264544,0,1472,0
26000003,P12.5,periodic,0.0833229236335925,0.183306093665266,0.437526382088918,0,0,9377,0,5626,75.02,124.993335110637,0,124.993335110637,124.993335110637,124.993335110637,5999.68008531058,74.9933351106372,0.114645694481471,NaN,0.0313078324648136,125.066666666667,0,125.066666666667,0.039984,0.558823857092031,0.083313766347608,124.933333333333,0,124.933333333333,0.139813333333333,0.519506627056148,0.129329456798254,125.066666666667,0,125.066666666667,0.214853333333333,0.437526382088918,0.0925594688439407,124.933333333333,0,124.933333333333,0.138544,0.492092197726318,0.0388081069249015,124.966711051931,0,124.966711051931,0.0401331557922769,0.536692756360086,124,-1.2,0.094048,0.00455437387316268,125,-0.200000000000003,0.109488,0.0388386959161357,125,-0.200000000000003,0.0973279999999999,0.0588626977201817,125,-0.200000000000003,0.0990239999999999,0.0565707176295807,126,1.2,0.0591999999999996,0.00408660773162824,125,0.200000000000003,0.08032,0.0265950588774491,125,0.200000000000003,0.0634399999999999,0.0414695852230006,125,0.200000000000003,0.0760480000000001,0.0461179760677467,124,-1.2,-0.0671040000000001,-0.00626465535193943,125,-0.200000000000003,-0.075744,-0.0305113260614136,125,-0.200000000000003,-0.0750239999999999,-0.0475858840742503,125,-0.200000000000003,-0.0749759999999999,-0.0460368169864263,126,1.2,-0.0965439999999998,-0.00561543868677329,125,0.200000000000003,-0.098384,-0.041488072006826,125,0.200000000000003,-0.098384,-0.0561360457422315,125,0.200000000000003,-0.098384,-0.0564937800506047,6.60778758728301e+15,130748273780,NaN,NaN,3423611,0,1474,0
26000001,P20,periodic,0.0706172789682989,0.14511942919493,0.458323780112476,0,0,15000,0,9000,75.02,199.946680885097,0,199.946680885097,199.946680885097,199.946680885097,9597.44068248467,119.968008531058,0.093414556118368,NaN,0.0254667059935491,200,0,200,0.026,0.568383053325292,0.0710390462540306,200,0,200,0.117970666666667,0.526238369907904,0.108273393884838,200,0,200,0.178002666666667,0.458323780112476,0.0805913999206969,200,0,200,0.11904,0.509971237645456,0.0320324933832032,199.733688415446,0,199.733688415446,0.0261491344873502,0.541032850810531,200,0,0.08584,0.00380564673707803,200,0,0.09258,0.0325191255014263,200,0,0.09278,0.0503197358656118,200,0,0.0922999999999999,0.0501443707200488,200,0,0.0504240000000001,0.0036315609730497,200,0,0.0568640000000001,0.0214111079698814,200,0,0.0557839999999998,0.0360643775562522,200,0,0.0616280000000001,0.037828328943041,200,0,-0.0478160000000004,0.000732392670219212,200,0,-0.0599160000000002,-0.0198156015975927,200,0,-0.0612760000000002,-0.0366451578481098,200,0,-0.0583040000000002,-0.0359575597519788,200,0,-0.0917999999999998,-0.00653081465658886,200,0,-0.0937599999999999,-0.0387423300642047,200,0,-0.0937599999999999,-0.0501033130041187,200,0,-0.0937599999999999,-0.0510656612710538,7.33259872054996e+15,130779042775,NaN,NaN,2155797,0,2416,0
