gate,passed,detail
micro_contracts,1,"21 kernel + 7 policy + 8 end-to-end checks executed before matrix"
causal_invariants,1,"0 total violations"
confirmed_age_conservative,1,"confirmed age dominates true AoI only where feedback belief exists"
finite_outputs,1,"RMSE, separation and true-AoI finite in every development cell"
bounded_queue,1,"max observed 2 / capacity 4"
bounded_history,1,"max observed 32 / bound 32"
recipient_accounting,1,"every attempted DATA recipient has exactly one success/loss outcome"
airtime_union,1,"busy-time union does not exceed offered airtime or mission horizon"
p1_collision_collapse,1,"synchronized periodic senders have collisions and zero DATA reception"
analytical_p_star,1,"theta=[0.06561 0.08192 0.05184 0]; unique grid maximum at p=0.20"
nondeadlock_subunit_p,1,"every p<1 development run delivers at least one DATA frame"
paired_crn_trace,1,"one absolute MAC trace hash per development seed across all cells"
feedback_semantics,1,"only Causal-Broadcast generates ACK traffic; p<1 cells confirm entries"
frame_count_order,1,"unique delivered logical DATA frames never exceed generated frames"
