stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
contention,13013001,Moderate,0.1,Periodic-P10,csma-p010,1,0.1,periodic,none,csma,0.1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0531331759960885,0.532093208109937,0,0.0781094527363183,0.18,0.24,NaN,NaN,600,737,590,0,0,1616,1169,447,139,0.188602442333786,0,0,137,0,1,32,0,0,0,0,0,0,0,0.0554166666666665,0.0614166666666667,0.737000000000001,0,0,0,0,0,0.1474,49.1666666666667,97.4166666666667,0,0.0106567164179105,0.0320000000000011,NaN,NaN,0.99985638374264,0.5459527,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-p010,1,0.1,causal-broadcast,hybrid,csma,0.1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0549225429010936,0.530849417672162,0,0.0815920398009949,0.16,0.220000000000001,0.118507462686567,0.0369154228855721,643,692,625,624,1038,1527,1250,277,114,0.0866261398176292,0,11,60,0,2,32,0,0,0,0,624,473,17,0.10483333333333,0.109666666666667,0.692000000000001,0.624,0.0302720000000002,0,0,0,0.2632,52.0833333333333,104.166666666667,86.5,0.00989893617021281,0.0312500000000004,0.0355279383429673,0.0649999999999999,0.998900410428201,0.7983705,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,csma-p020,2,0.2,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.055287592067394,0.529843008869082,0,0.0772501130710086,0.18,0.24,NaN,NaN,600,990,558,0,0,2171,1097,1074,423,0.427272727272727,0,0,390,0,1,32,0,0,0,0,0,0,0,0.0631666666666665,0.0825000000000001,0.990000000000001,0,0,0,0,0,0.198,46.5,91.4166666666667,0,0.00553939393939405,0.0159999999999999,NaN,NaN,0.999178486618317,0.4953994,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-p020,2,0.2,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0527876569756129,0.53387219257961,0,0.0756761646313883,0.16,0.219999999999999,0.11524197195839,0.0395658073270014,627,719,618,647,984,1592,1229,363,193,0.141288433382138,0,1,93,0,2,32,0,0,0,0,647,430,2,0.10558333333333,0.113833333333333,0.719000000000001,0.647,0.0275200000000001,0,0,0,0.2732,51.5,102.416666666667,82,0.00425768667642757,0.0137499999999999,0.0255975609756098,0.0410000000000003,0.995656821085013,0.428395,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,csma-p040,3,0.4,periodic,none,csma,0.4,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0796461210305503,0.502380576227648,0,0.114427860696517,0.300000000000001,0.559999999999999,NaN,NaN,600,1375,434,0,0,3021,859,2162,940,0.683636363636364,0,0,775,0,1,32,0,0,0,0,0,0,0,0.0675833333333334,0.11458333333333,1.37499999999996,0,0,0,0,0,0.274999999999992,36.1666666666667,71.5833333333333,0,0.00306618181818195,0.0080000000000009,NaN,NaN,0.999130065775515,0.3005868,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-p040,3,0.4,causal-broadcast,hybrid,csma,0.4,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0526797401664563,0.533547078926108,0,0.074364540931705,0.140000000000001,0.200000000000001,0.112709181365898,0.0383446404341927,661,998,628,642,940,2230,1266,964,533,0.325,0,0,337,0,2,32,0,0,0,0,642,567,0,0.11308333333333,0.136666666666667,0.998000000000001,0.642,0.0362880000000003,0,0,0,0.328,52.3333333333333,105.5,78.3333333333333,0.0020243902439025,0.00699999999999967,0.0211468085106384,0.032,0.997153042906627,0.4343983,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,csma-p100,4,1,periodic,none,csma,1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,1.73723982506985,0.544841883628634,0,10,11.8,11.96,NaN,NaN,600,1800,0,0,0,3960,0,3960,1800,1,0,0,1200,0,1,32,0,0,0,0,0,0,0,0.03,0.149999999999993,1.79999999999991,0,0,0,0,0,0.359999999999983,0,0,0,0.00100000000000013,0.00200000000000067,NaN,NaN,0,0.3138909,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,csma-p100,4,1,causal-broadcast,hybrid,csma,1,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.366398111541759,0.198401822007292,1,0.553966530981457,1.67,2.26,2.97251017639077,2.41854364540932,1111,3013,160,136,30,6691,320,6371,2970,0.943156557637345,0,0,1902,0,1,32,0,0,0,0,136,470,0,0.105333333333331,0.262416666666648,3.01299999999978,0.136,0.0300800000000003,0,0,0,0.629799999999956,13.3333333333333,26.6666666666667,2.5,0.000906001905366894,0.00200000000000067,0.0158333333333336,0.0220000000000002,0.953800298062593,0.4592765,0,194802916094,0
contention,13013001,Moderate,0.1,Periodic-P10,aloha-p020,5,0.2,periodic,none,aloha,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.055287592067394,0.529843008869082,0,0.0772501130710086,0.18,0.24,NaN,NaN,600,990,558,0,0,2171,1097,1074,423,0.427272727272727,0,0,390,0,1,32,0,0,0,0,0,0,0,0.0631666666666665,0.0825000000000001,0.990000000000001,0,0,0,0,0,0.198,46.5,91.4166666666667,0,0.00553939393939405,0.0159999999999999,NaN,NaN,0.999178486618317,0.2798386,0,194802916094,0
contention,13013001,Moderate,0.1,Causal-Broadcast,aloha-p020,5,0.2,causal-broadcast,hybrid,aloha,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0527876569756129,0.53387219257961,0,0.0756761646313883,0.16,0.219999999999999,0.11524197195839,0.0395658073270014,627,719,618,647,984,1592,1229,363,193,0.141288433382138,0,1,93,0,2,32,0,0,0,0,647,430,2,0.10558333333333,0.113833333333333,0.719000000000001,0.647,0.0275200000000001,0,0,0,0.2732,51.5,102.416666666667,82,0.00425768667642757,0.0137499999999999,0.0255975609756098,0.0410000000000003,0.995656821085013,0.4183303,0,194802916094,0
