stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
frontier,13013001,Clean,0,Periodic,periodic-1,1,5,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0843377539875777,0.492905613804881,0,0.121121664405246,0.220000000000001,0.360000000000001,NaN,NaN,300,517,277,0,0,1136,608,528,240,0.4642166344294,0,0,217,0,1,32,0,0,0,0,0,0,0,0.0320833333333333,0.0430833333333334,0.517,0,0,0,0,0,0.1034,23.0833333333333,50.6666666666667,0,0.00544487427466163,0.0152000000000004,NaN,NaN,0.998880426999935,0.5168124,0,194802916094,0
frontier,13013001,Clean,0,Periodic,periodic-2,2,10,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0476812926412035,0.538759727175371,0,0.0658525554047941,0.119999999999999,0.199999999999999,NaN,NaN,600,990,567,0,0,2171,1245,926,423,0.427272727272727,0,0,390,0,1,32,0,0,0,0,0,0,0,0.0631666666666665,0.0825000000000001,0.990000000000001,0,0,0,0,0,0.198,47.25,103.75,0,0.00553939393939405,0.0159999999999999,NaN,NaN,0.999359641896828,0.5947362,0,194802916094,0
frontier,13013001,Clean,0,Periodic,periodic-3,3,12.5,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.041112165315381,0.547370136290903,0,0.0553595658073269,0.100000000000001,0.16,NaN,NaN,750,1182,712,0,0,2608,1564,1044,470,0.397631133671743,0,0,432,0,1,32,0,0,0,0,0,0,0,0.0771666666666665,0.0984999999999984,1.18199999999998,0,0,0,0,0,0.236399999999996,59.3333333333333,130.333333333333,0,0.0054272419627751,0.015,NaN,NaN,0.9997909476383,0.6401205,0,194802916094,0
frontier,13013001,Clean,0,Periodic,periodic-4,4,20,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0329005556402199,0.557632586310164,0,0.0394572591587516,0.0600000000000005,0.100000000000001,NaN,NaN,1200,1933,1143,0,0,4247,2512,1735,790,0.408691153647181,0,0,733,0,1,32,0,0,0,0,0,0,0,0.125166666666662,0.161083333333325,1.9329999999999,0,0,0,0,0,0.38659999999998,95.25,209.333333333333,0,0.00543921365752724,0.0154000000000003,NaN,NaN,0.999796436101216,0.771421199999999,0,194802916094,0
frontier,13013001,Clean,0,Periodic,periodic-5,5,25,periodic,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0289417245514583,0.562447827670631,0,0.0325463591135232,0.0599999999999987,0.0800000000000001,NaN,NaN,1500,2370,1431,0,0,5214,3145,2069,939,0.39620253164557,0,0,870,0,1,32,0,0,0,0,0,0,0,0.155083333333325,0.197499999999987,2.36999999999985,0,0,0,0,0,0.47399999999997,119.25,262.083333333333,0,0.00547383966244738,0.0150000000000006,NaN,NaN,0.99988574190855,0.8168856,0,194802916094,0
frontier,13013001,Clean,0,State-event,state-1,1,0.5,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0553817141601014,0.529629267800099,0,0.0803799185888737,0.140000000000001,0.140000000000001,NaN,NaN,563,615,560,0,0,1345,1228,117,55,0.0894308943089431,0,0,52,0,1,32,0,0,0,0,0,0,0,0.0488333333333333,0.05125,0.615,0,0,0,0,0,0.123,46.6666666666667,102.333333333333,0,0.00412032520325213,0.0129999999999999,NaN,NaN,0.999330805264332,0.5025171,0,194802916094,0
frontier,13013001,Clean,0,State-event,state-2,2,0.75,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0713267422628081,0.510938888215871,0,0.110502035278155,0.199999999999999,0.200000000000001,NaN,NaN,397,421,397,0,0,925,870,55,24,0.0570071258907363,0,0,24,0,1,32,0,0,0,0,0,0,0,0.0340833333333333,0.0350833333333334,0.421,0,0,0,0,0,0.0842000000000001,33.0833333333333,72.5,0,0.00419477434679345,0.0140000000000002,NaN,NaN,0.998125455178747,0.4589408,0,194802916094,0
frontier,13013001,Clean,0,State-event,state-3,3,1,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0910202438257781,0.485639355926288,0,0.139791949344188,0.26,0.260000000000002,NaN,NaN,304,321,304,0,0,702,667,35,17,0.0529595015576324,0,0,17,0,1,32,0,0,0,0,0,0,0,0.026,0.02675,0.321,0,0,0,0,0,0.0642,25.3333333333333,55.5833333333333,0,0.00378504672897205,0.0129999999999999,NaN,NaN,0.998228559084035,0.4363236,0,194802916094,0
frontier,13013001,Clean,0,State-event,state-4,4,1.5,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.123665254737152,0.445825743362004,0,0.198986883763003,0.360000000000001,0.380000000000001,NaN,NaN,205,214,204,0,0,470,448,22,10,0.0467289719626168,0,0,9,0,1,32,0,0,0,0,0,0,0,0.0174166666666667,0.0178333333333333,0.214,0,0,0,0,0,0.0428,17,37.3333333333333,0,0.00442523364485994,0.0133500000000001,NaN,NaN,0.996790419161677,0.4565982,0,194802916094,0
frontier,13013001,Clean,0,State-event,state-5,5,2,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.168827438466944,0.389125015134688,1,0.260488466757123,0.48,0.5,NaN,NaN,155,173,153,0,0,378,336,42,20,0.115606936416185,0,0,18,0,1,32,0,0,0,0,0,0,0,0.0135833333333333,0.0144166666666667,0.173,0,0,0,0,0,0.0346,12.75,28,0,0.0039017341040463,0.0120000000000005,NaN,NaN,0.998890548325155,0.4155814,0,194802916094,0
