scenario,family,pointIndex,meanRMSE,maxRMSE,safeFailures,meanTrueAoI,meanEstimatedAoI,meanOfferedUtil,meanChannelUtil,meanDataFrames,meanAckFrames,meanEnergyProxyJ
Clean,AoCI-inspired,1,0.0539308526370951,0.0543702780324446,0,0.0774468566259609,0.104136137494346,0.104020833333333,0.0969374999999982,619,629.25,0.24965
Clean,AoCI-inspired,2,0.0610194219016932,0.0611787928460559,0,0.0866214382632294,0.118005427408412,0.0907291666666667,0.0846874999999996,508.5,580.25,0.21775
Clean,AoCI-inspired,3,0.0662707517400912,0.06719212789147,0,0.0961827227498866,0.13204658525554,0.0822916666666667,0.076895833333333,437,550.5,0.1975
Clean,AoCI-inspired,4,0.0787659231844605,0.0794070107200981,0,0.117019448213478,0.1480144730891,0.0675208333333334,0.0632916666666664,358.75,451.5,0.16205
Clean,AoCI-inspired,5,0.0900164699457335,0.0921769144202397,0,0.136056083220262,0.168706467661692,0.0606666666666667,0.0571041666666664,307,421,0.1456
Clean,Causal AoI-only,1,0.0301030205993869,0.0301776678141519,0,0.0342492085029399,0.0495612844866576,0.240187499999989,0.206104166666652,2213.25,669,0.576449999999974
Clean,Causal AoI-only,2,0.039377140650863,0.0397565159841702,0,0.0514631388511986,0.0699457259158751,0.176145833333329,0.154770833333325,1438.75,675,0.422749999999991
Clean,Causal AoI-only,3,0.0449312368830499,0.0455317886199732,0,0.0609339665309814,0.0798190863862505,0.158729166666665,0.140312499999993,1240.25,664.5,0.380949999999995
Clean,Causal AoI-only,4,0.0623839352259665,0.0649920559239269,0,0.0894527363184077,0.108903211216644,0.119770833333333,0.106354166666664,886.75,550.5,0.28745
Clean,Causal AoI-only,5,0.0792390323462319,0.081085648368321,0,0.117075983717775,0.140079149706015,0.0924583333333334,0.0829999999999995,673.25,436.25,0.2219
Clean,Causal-Broadcast,1,0.0520219917529995,0.0527481393396141,0,0.0744210764360017,0.0974332881049297,0.115604166666667,0.106187499999997,763.5,623.75,0.27745
Clean,Causal-Broadcast,2,0.0525092871381137,0.0533996956816304,0,0.0746607869742197,0.0972116689280867,0.110041666666667,0.101416666666664,684.25,636.25,0.2641
Clean,Causal-Broadcast,3,0.0525979092678015,0.0531399404277445,0,0.0749592944369062,0.0997308909995475,0.102729166666667,0.0940208333333317,644.75,588,0.24655
Clean,Causal-Broadcast,4,0.053386778068234,0.0540932699671924,0,0.0755879692446855,0.104952510176391,0.0970416666666667,0.0886249999999988,608.75,555.75,0.2329
Clean,Causal-Broadcast,5,0.053610609854285,0.0553953988095924,0,0.0760809588421527,0.104305744007236,0.0977500000000001,0.0897083333333321,578.75,594.25,0.2346
Clean,Delayed-ACK belief,1,0.0329596487834629,0.0331250161237246,0,0.0396630483943918,0.0578041610131163,0.174791666666664,0.157416666666658,1351,746.5,0.419499999999993
Clean,Delayed-ACK belief,2,0.0440829055491741,0.0442321138085208,0,0.0587222976028946,0.0822388059701493,0.107833333333333,0.0994166666666645,749.5,544.5,0.2588
Clean,Delayed-ACK belief,3,0.0498891309492144,0.0501538422319261,0,0.0683129805517864,0.0934554500226141,0.0966041666666667,0.0885208333333323,633.75,525.5,0.23185
Clean,Delayed-ACK belief,4,0.0686225125232989,0.0695796871942458,0,0.0985074626865669,0.125345997286296,0.0639791666666667,0.0587708333333331,423,344.75,0.15355
Clean,Delayed-ACK belief,5,0.087573156414328,0.0896340666132522,0,0.129565807327001,0.160128900949796,0.0538125,0.0494166666666665,321.25,324.5,0.12915
Clean,Periodic,1,0.08535460821404,0.0902823935773256,0,0.119312528267752,NaN,0.0412291666666667,0.0317083333333332,494.75,0,0.0989500000000001
Clean,Periodic,2,0.0477748290221956,0.0494891110279381,0,0.0641564902758931,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
Clean,Periodic,3,0.0408956036516115,0.0411326097513287,0,0.0546359113523292,NaN,0.0988958333333317,0.0776249999999997,1186.75,0,0.237349999999996
Clean,Periodic,4,0.0326796366591289,0.0329331391066057,0,0.0388104929895974,NaN,0.159354166666658,0.124666666666662,1912.25,0,0.38244999999998
Clean,Periodic,5,0.0290144318465701,0.029277977585239,0,0.0324559023066485,NaN,0.197312499999988,0.155166666666658,2367.75,0,0.47354999999997
Clean,State-event,1,0.0555449263649689,0.0559333588582313,0,0.0803030303030302,NaN,0.0525416666666667,0.0495416666666666,630.5,0,0.1261
Clean,State-event,2,0.0710999647270448,0.0713267422628081,0,0.110520126639529,NaN,0.0350416666666667,0.0340416666666666,420.5,0,0.0841000000000001
Clean,State-event,3,0.0910274328212462,0.0910504232678602,0,0.140126639529624,NaN,0.0264791666666667,0.0258958333333333,317.75,0,0.06355
Clean,State-event,4,0.12430932511713,0.124910954212132,0,0.198772048846675,NaN,0.017875,0.0175,214.5,0,0.0429
Clean,State-event,5,0.167447293455376,0.170003472563495,4,0.260524649479873,NaN,0.0134583333333333,0.0131666666666667,161.5,0,0.0323
Moderate,AoCI-inspired,1,0.0545394810039452,0.0555606684041009,0,0.0786024423337855,0.115282677521483,0.112145833333333,0.104958333333331,709.5,636.25,0.26915
Moderate,AoCI-inspired,2,0.0624616784822546,0.0632508067826475,0,0.0902758932609679,0.129773857982813,0.0987083333333334,0.0926458333333318,584,600.5,0.2369
Moderate,AoCI-inspired,3,0.0695586003395204,0.0706095981768597,0,0.10267526006332,0.141560379918589,0.0872916666666667,0.0821666666666662,504.75,542.75,0.2095
Moderate,AoCI-inspired,4,0.0811164670870337,0.0834693786419174,0,0.119690185436454,0.170006784260515,0.0760625000000001,0.0709999999999997,422,490.75,0.18255
Moderate,AoCI-inspired,5,0.0908185141058906,0.0932393789302264,0,0.136175938489371,0.19729986431479,0.0680000000000001,0.0640624999999998,353.75,462.25,0.1632
Moderate,Causal AoI-only,1,0.0298444588794511,0.0300113954291834,0,0.0339687924016282,0.0522501130710085,0.266958333333319,0.226833333333317,2604.5,599,0.640699999999965
Moderate,Causal AoI-only,2,0.038797606876252,0.0392781013051053,0,0.0500768882858435,0.072327001356852,0.200291666666661,0.176562499999989,1684,719.5,0.480699999999985
Moderate,Causal AoI-only,3,0.0435436693804162,0.0439483613962199,0,0.0581614654002714,0.0814088647670736,0.179187499999996,0.158604166666658,1450.25,700,0.43004999999999
Moderate,Causal AoI-only,4,0.0600463376610017,0.0605904564245402,0,0.0864767073722296,0.111130710085934,0.137041666666667,0.123541666666662,999.5,645,0.3289
Moderate,Causal AoI-only,5,0.0762565981351838,0.0780226792008798,0,0.112976028946178,0.141822704658526,0.111979166666667,0.101104166666664,798.75,545,0.26875
Moderate,Causal-Broadcast,1,0.0515729632121605,0.0523349166338394,0,0.073387607417458,0.101942559927634,0.13075,0.120416666666662,895.75,673.25,0.3138
Moderate,Causal-Broadcast,2,0.0515670922399603,0.0524557528928182,0,0.0736725463591133,0.102856173677069,0.121083333333333,0.112604166666663,788,665,0.2906
