gate,passed,detail
contract_tests,1,"23 kernel + 7 trigger + 8 end-to-end + 21 EXP13 checks"
matrix_completeness,1,"frontier=360 mechanism=60 sensitivity=39 contention=72"
finite_outputs,1,"formation, separation and true-age outputs are finite"
causal_conservatism,1,"0 total protocol violations"
bounded_memory,1,"max queue=4; max history=32"
physical_accounting,1,"recipient outcomes close and busy-time union includes external occupancy"
paired_absolute_trace,1,"one trace hash per development seed across every matrix"
feedback_information_constraint,1,"non-feedback arms emit no ACK; causal frontier cells confirm feedback"
feedback_ablation_semantics,1,"standalone, piggyback and hybrid traffic are separated"
unicast_physical_frame_order,1,"unicast generates no fewer physical DATA frames than paired hybrid broadcast"
lhs_strata,1,"12 points occupy each of nine strata exactly once"
background_load_exercised,1,"zero-load arm is inert and both external-load arms occupy airtime"
finite_history_boundary,1,"expired=46 stale=0"
declared_selection_rule,1,"selected development design 0"
