designIndex,isDefault,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange
0,1,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1
1,0,0.0570833333333333,0.1475,0.0866666666666667,0.46,0.04,0.16,0.633333333333333,0.258333333333333,1.4375
2,0,0.0779166666666667,0.105833333333333,0.113333333333333,0.68,0.06,0.12,0.533333333333333,0.225,1.1875
3,0,0.06125,0.1225,0.14,0.32,0.06,0.06,0.4,0.125,1.3125
4,0,0.0445833333333333,0.0641666666666667,0.206666666666667,0.6,0.04,0.14,0.5,0.175,0.6875
5,0,0.0320833333333333,0.114166666666667,0.153333333333333,0.28,0.06,0.18,0.733333333333333,0.275,1.9375
6,0,0.03625,0.0725,0.22,0.64,0.04,0.12,0.6,0.208333333333333,1.8125
7,0,0.0404166666666667,0.0808333333333333,0.193333333333333,0.54,0.08,0.08,0.666666666666667,0.108333333333333,0.8125
8,0,0.07375,0.130833333333333,0.1,0.74,0.04,0.2,0.7,0.241666666666667,1.0625
9,0,0.0695833333333333,0.0891666666666667,0.233333333333333,0.5,0.02,0.04,0.366666666666667,0.291666666666667,0.5625
10,0,0.04875,0.139166666666667,0.166666666666667,0.78,0.06,0.16,0.466666666666667,0.191666666666667,1.5625
11,0,0.0654166666666667,0.155833333333333,0.18,0.42,0.08,0.08,0.566666666666667,0.158333333333333,1.6875
12,0,0.0529166666666667,0.0975,0.126666666666667,0.36,0.02,0.1,0.433333333333333,0.141666666666667,0.9375
