stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
mechanism,13013001,Clean,0,Causal unicast + standalone ACK,causal-unicast,1,NaN,causal-unicast,standalone,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0522711891596586,0.534457525659883,0,0.0752057892356398,0.139999999999999,0.16,0.10969696969697,0.0344911804613297,1252,1583,1225,899,1039,1583,1225,358,492,0.198227236099919,0,3,334,0,4,32,0,0,0,0,899,0,0,0.185499999999987,0.206833333333328,1.58299999999994,0.899000000000001,0,0,0,0,0.496399999999987,102.083333333333,102.083333333333,86.5833333333333,0.007867042707494,0.0229999999999999,0.0345033686236767,0.0540000000000001,0.964018539991713,1.08877,0,194802916094,0
mechanism,13013001,Clean,0,Broadcast DATA only,broadcast-data-only,2,NaN,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0910202438257781,0.485639355926288,0,0.139791949344188,0.26,0.260000000000002,NaN,NaN,304,321,304,0,0,702,667,35,17,0.0529595015576324,0,0,17,0,1,32,0,0,0,0,0,0,0,0.026,0.02675,0.321,0,0,0,0,0,0.0642,25.3333333333333,55.5833333333333,0,0.00378504672897205,0.0129999999999999,NaN,NaN,0.998228559084035,0.2824199,0,194802916094,0
mechanism,13013001,Clean,0,Broadcast + standalone ACK,broadcast-standalone,3,NaN,causal-broadcast,standalone,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0506382000190052,0.535862796887462,0,0.0720669380370871,0.139999999999999,0.140000000000001,0.107354138398914,0.0352872003618272,579,717,574,837,1003,1587,1269,318,312,0.200772200772201,0,0,138,0,2,32,0,0,0,0,837,0,0,0.116083333333329,0.1295,0.717000000000001,0.837000000000001,0,0,0,0,0.3108,47.8333333333333,105.75,83.5833333333333,0.00463513513513517,0.0150000000000006,0.0293489531405783,0.044,0.999078173327673,0.5142971,0,194802916094,0
mechanism,13013001,Clean,0,Broadcast + piggyback ACK,broadcast-piggyback,4,NaN,causal-broadcast,piggyback,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0467259849414997,0.541067209367198,0,0.0648394391677973,0.120000000000001,0.140000000000001,0.126766169154229,0.0619267299864315,644,758,640,0,959,1672,1409,263,118,0.155672823218997,0,0,114,0,1,32,0,0,0,0,0,1108,0,0.058,0.0631666666666667,0.758000000000001,0,0.0709120000000005,0,0,0,0.1516,53.3333333333333,117.416666666667,79.9166666666667,0.00441029023746708,0.0139999999999998,0.0396548488008343,0.0879999999999993,0.999609527528309,0.3729562,0,194802916094,0
mechanism,13013001,Clean,0,Full Causal-Broadcast,broadcast-hybrid,5,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0531306186689828,0.532851901893954,0,0.0764631388511984,0.139999999999999,0.16,0.0976390773405697,0.0211759384893713,526,663,520,545,1042,1463,1147,316,217,0.179635761589404,0,0,137,0,2,32,0,0,0,0,545,488,0,0.0910833333333322,0.100666666666667,0.663,0.545,0.0312320000000001,0,0,0,0.2416,43.3333333333333,95.5833333333333,86.8333333333333,0.00443543046357616,0.0136499999999999,0.0251218809980806,0.0400000000000009,0.998744182610623,0.4298794,0,194802916094,0
mechanism,13013001,Moderate,0.1,Causal unicast + standalone ACK,causal-unicast,1,NaN,causal-unicast,standalone,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0532428987128625,0.532943560333433,0,0.0746087743102667,0.140000000000001,0.199999999999999,0.124441429217548,0.0498326549072818,1510,1866,1339,994,985,1866,1339,527,563,0.196853146853147,0,9,365,0,4,32,0,0,0,0,994,0,0,0.213749999999984,0.238333333333326,1.86599999999991,0.994000000000001,0,0,0,0,0.571999999999981,111.583333333333,111.583333333333,82.0833333333333,0.00798951048951054,0.024,0.034610152284264,0.0540000000000002,0.944181809085715,0.579667900000001,0,194802916094,0
mechanism,13013001,Moderate,0.1,Broadcast DATA only,broadcast-data-only,2,NaN,state-event,none,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.103912357226074,0.468445071373395,0,0.165454545454545,0.399999999999999,0.52,NaN,NaN,304,327,303,0,0,714,596,118,23,0.0703363914373089,0,0,23,0,1,32,0,0,0,0,0,0,0,0.02625,0.02725,0.327,0,0,0,0,0,0.0654000000000001,25.25,49.6666666666667,0,0.0045504587155964,0.014,NaN,NaN,0.998412266869665,0.2468001,0,194802916094,0
mechanism,13013001,Moderate,0.1,Broadcast + standalone ACK,broadcast-standalone,3,NaN,causal-broadcast,standalone,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0515716952112014,0.535928922356769,0,0.0739484396200813,0.140000000000001,0.200000000000001,0.12322026232474,0.0492718227046585,664,781,652,958,942,1729,1304,425,292,0.167912593444508,0,2,119,0,2,32,0,0,0,0,958,0,0,0.132416666666661,0.144916666666667,0.781000000000001,0.958000000000001,0,0,0,0,0.3478,54.3333333333333,108.666666666667,78.5,0.00449511213341004,0.0149999999999997,0.0289394904458599,0.0440000000000005,0.998271651324441,0.4711751,0,194802916094,0
mechanism,13013001,Moderate,0.1,Broadcast + piggyback ACK,broadcast-piggyback,4,NaN,causal-broadcast,piggyback,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0489588908548677,0.537593841881795,0,0.0682225237449118,0.140000000000001,0.180000000000001,0.134364540931705,0.0661420171867934,721,835,712,0,884,1842,1434,408,117,0.140119760479042,0,0,114,0,1,32,0,0,0,0,0,1111,0,0.0645,0.0695833333333334,0.835000000000001,0,0.0711040000000006,0,0,0,0.167,59.3333333333333,119.5,73.6666666666667,0.00455329341317373,0.0149999999999997,0.039358597285068,0.0900000000000006,0.998569937163906,0.3650883,0,194802916094,0
mechanism,13013001,Moderate,0.1,Full Causal-Broadcast,broadcast-hybrid,5,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0527876569756129,0.53387219257961,0,0.0756761646313883,0.16,0.219999999999999,0.11524197195839,0.0395658073270014,627,719,618,647,984,1592,1229,363,193,0.141288433382138,0,1,93,0,2,32,0,0,0,0,647,430,2,0.10558333333333,0.113833333333333,0.719000000000001,0.647,0.0275200000000001,0,0,0,0.2732,51.5,102.416666666667,82,0.00425768667642757,0.0137499999999999,0.0255975609756098,0.0410000000000003,0.995656821085013,0.4271368,0,194802916094,0
