scenario,family,meanRMSE,maxRMSE,safeFailures,meanTrueAoI,meanEstimatedAoI,meanOfferedUtil,meanChannelUtil,meanDataFrames,meanAckFrames,meanEnergyProxyJ
Clean,Broadcast + piggyback ACK,0.046639955546233,0.0467259849414997,0,0.0649457259158751,0.128048394391678,0.0639166666666667,0.0586874999999999,767,0,0.1534
Clean,Broadcast + standalone ACK,0.0500374417252129,0.0506382000190052,0,0.0711035730438714,0.110092718227046,0.130020833333333,0.117604166666662,692,868.25,0.31205
Clean,Broadcast DATA only,0.0910274328212462,0.0910504232678602,0,0.140126639529624,NaN,0.0264791666666667,0.0258958333333333,317.75,0,0.06355
Clean,Causal unicast + standalone ACK,0.0524034916675668,0.0530601919888731,0,0.0753143374038895,0.107756671189507,0.207499999999995,0.18708333333332,1583,907,0.497999999999987
Clean,Full Causal-Broadcast,0.0525979092678015,0.0531399404277445,0,0.0749592944369062,0.0997308909995475,0.102729166666667,0.0940208333333317,644.75,588,0.24655
Moderate,Broadcast + piggyback ACK,0.049506515422539,0.0501289271981158,0,0.069262777023971,0.137096336499321,0.0704166666666667,0.0652291666666666,845,0,0.169
Moderate,Broadcast + standalone ACK,0.0522320835142166,0.052727473909777,0,0.0740185436454092,0.119088647670737,0.143354166666667,0.131062499999994,769.25,951,0.34405
Moderate,Broadcast DATA only,0.107508334122324,0.112761517811137,0,0.162901402080507,NaN,0.0268958333333334,0.0260833333333333,322.75,0,0.0645500000000001
Moderate,Causal unicast + standalone ACK,0.0528046082008303,0.0532428987128625,0,0.0751062867480777,0.124389416553595,0.238229166666659,0.213249999999984,1871.25,987.5,0.571749999999981
Moderate,Full Causal-Broadcast,0.0528010755657803,0.0539451340557658,0,0.074791949344188,0.112971506105834,0.114625,0.10602083333333,725.75,649.75,0.2751
Stressed,Broadcast + piggyback ACK,0.0575810070035373,0.0587022148044969,0,0.0825938489371324,0.174724106739032,0.0860416666666664,0.0792499999999998,1032.5,0,0.206499999999999
Stressed,Broadcast + standalone ACK,0.0595735405934506,0.0608260670407163,0,0.0855223880597013,0.171191768430574,0.168895833333333,0.152499999999992,1056.75,970,0.405349999999999
Stressed,Broadcast DATA only,0.165914384031286,0.19273092807012,2,0.261214382632293,NaN,0.0262916666666667,0.0255416666666667,315.5,0,0.0631
Stressed,Causal unicast + standalone ACK,0.0583405405745915,0.0626608578588242,0,0.0842537313432835,0.172449118046133,0.298395833333319,0.260187499999978,2581.25,999.5,0.716149999999965
Stressed,Full Causal-Broadcast,0.0586185138492499,0.0598206487810952,0,0.085151515151515,0.156099050203528,0.131479166666667,0.120833333333329,984.75,593,0.31555
