designIndex,safeFailures,worstRMSE,worstOfferedUtil,minimumFailureSet,withinFivePercent,selected
0,0,0.0539451340557658,0.114666666666667,1,1,1
1,0,0.0581975488253969,0.108,1,0,0
2,0,0.0616633810084219,0.101916666666667,1,0,0
3,0,0.0613529338242364,0.101083333333333,1,0,0
4,0,0.0750618901136195,0.0942500000000001,1,0,0
5,0,0.0636264333261084,0.100083333333333,1,0,0
6,0,0.0683930490114485,0.0959166666666667,1,0,0
7,0,0.0720574641411439,0.0924166666666667,1,0,0
8,0,0.0647387023399355,0.0967500000000001,1,0,0
9,0,0.085970354398659,0.0756666666666667,1,0,0
10,0,0.0670976399878162,0.0938333333333334,1,0,0
11,0,0.0752419581413053,0.0819166666666667,1,0,0
12,0,0.0573204301590829,0.117416666666667,1,0,0
