stage,seed,scenario,residualLoss,family,arm,pointIndex,parameterValue,method,feedbackMode,macType,pAccess,backgroundLoad,historySize,ackDeadline,posThreshold,velThreshold,aoiThreshold,maxSilence,minInterTx,aoiMinInterTx,scaleBase,scaleMin,adaptRange,RMSE,MINSEP,SAFEFAIL,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_UTIL,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,BELIEF_UPDATES
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-00,0,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.05,0.1,0.12,0.5,0.02,0.1,0.5,0.2,1,0.0527876569756129,0.53387219257961,0,0.0756761646313883,0.16,0.219999999999999,0.11524197195839,0.0395658073270014,627,719,618,647,984,1592,1229,363,193,0.141288433382138,0,1,93,0,2,32,0,0,0,0,647,430,2,0.10558333333333,0.113833333333333,0.719000000000001,0.647,0.0275200000000001,0,0,0,0.2732,51.5,102.416666666667,82,0.00425768667642757,0.0137499999999999,0.0255975609756098,0.0410000000000003,0.995656821085013,0.748120200000001,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-01,1,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0570833333333333,0.1475,0.0866666666666667,0.46,0.04,0.16,0.633333333333333,0.258333333333333,1.4375,0.0556167266189111,0.531062846946773,0,0.0806331976481229,0.16,0.220000000000001,0.118661239258254,0.0380280416101312,572,645,566,651,914,1424,1140,284,174,0.134259259259259,0,0,73,0,2,32,0,0,0,0,651,371,0,0.100583333333331,0.108,0.645,0.651,0.0237440000000001,0,0,0,0.2592,47.1666666666667,95,76.1666666666667,0.00425694444444451,0.0130000000000003,0.0258194748358864,0.0410000000000004,0.999020800199582,0.729572099999999,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-02,2,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0779166666666667,0.105833333333333,0.113333333333333,0.68,0.06,0.12,0.533333333333333,0.225,1.1875,0.057859629661195,0.525601087569751,0,0.0854907281772952,0.199999999999999,0.24,0.126024423337856,0.0405336951605609,531,634,523,589,882,1400,1045,355,172,0.140637775960752,0,0,103,0,2,32,0,0,0,0,589,372,0,0.0945833333333317,0.101916666666667,0.634,0.589,0.0238080000000001,0,0,0,0.2446,43.5833333333333,87.0833333333333,73.5,0.00445053147996734,0.0139999999999998,0.0266009070294785,0.0429999999999993,0.999685689746542,0.674263899999999,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-03,3,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.06125,0.1225,0.14,0.32,0.06,0.06,0.4,0.125,1.3125,0.0574800103149383,0.527827281590828,0,0.0833921302578017,0.16,0.239999999999999,0.124477611940298,0.0410854816824966,520,592,511,614,823,1307,1034,273,170,0.140961857379768,0,0,72,0,2,32,0,0,0,0,614,285,0,0.0932499999999986,0.1005,0.592,0.614,0.01824,0,0,0,0.2412,42.5833333333333,86.1666666666667,68.5833333333333,0.00424295190713106,0.0140000000000009,0.0259538274605104,0.0410000000000004,0.999640143177076,0.6728947,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-04,4,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0445833333333333,0.0641666666666667,0.206666666666667,0.6,0.04,0.14,0.5,0.175,0.6875,0.0750045466816462,0.505517181477538,0,0.111062867480778,0.220000000000001,0.279999999999999,0.148683853459973,0.0376209859791949,453,500,446,553,751,1101,906,195,113,0.107312440645774,0,0,47,0,2,32,0,0,0,0,553,249,0,0.0829999999999997,0.0877500000000001,0.5,0.553,0.015936,0,0,0,0.2106,37.1666666666667,75.5,62.5833333333333,0.00438746438746444,0.0140000000000002,0.0260572569906792,0.0410000000000004,0.998774854388431,0.6351665,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-05,5,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0320833333333333,0.114166666666667,0.153333333333333,0.28,0.06,0.18,0.733333333333333,0.275,1.9375,0.0619547864628058,0.523792197867245,0,0.0890456806874717,0.16,0.24,0.130646766169154,0.0416010854816825,530,586,521,599,856,1287,1050,237,136,0.114767932489451,0,0,56,0,2,32,0,0,0,0,599,323,0,0.0929999999999987,0.0987500000000001,0.586,0.599,0.020672,0,0,0,0.237,43.4166666666667,87.5,71.3333333333333,0.0041797468354431,0.0129999999999999,0.025927570093458,0.0390000000000006,0.998624064161286,0.671359399999999,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-06,6,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.03625,0.0725,0.22,0.64,0.04,0.12,0.6,0.208333333333333,1.8125,0.0676390293829942,0.51535916337415,0,0.10150158299412,0.200000000000001,0.299999999999999,0.150203527815468,0.0487019448213478,487,565,472,586,753,1245,956,289,168,0.145960034752389,0,0,78,0,2,32,0,0,0,0,586,277,0,0.0886666666666658,0.0959166666666667,0.565,0.586,0.017728,0,0,0,0.2302,39.3333333333333,79.6666666666667,62.75,0.00437966985230241,0.0140000000000001,0.0268698539176628,0.0430000000000001,0.99912099739887,0.684611500000001,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-07,7,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0404166666666667,0.0808333333333333,0.193333333333333,0.54,0.08,0.08,0.666666666666667,0.108333333333333,0.8125,0.0704197146551628,0.511676913729572,0,0.104549977385798,0.200000000000001,0.299999999999999,0.144604251469923,0.0400542740841248,460,515,450,549,730,1134,896,238,115,0.108082706766917,0,0,55,0,2,32,0,0,0,0,549,278,0,0.0837499999999998,0.0886666666666667,0.515,0.549,0.017792,0,0,0,0.2128,37.5,74.6666666666667,60.8333333333333,0.00438157894736849,0.014,0.026978082191781,0.0430000000000001,0.999506416584403,0.673541599999999,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-08,8,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.07375,0.130833333333333,0.1,0.74,0.04,0.2,0.7,0.241666666666667,1.0625,0.0647387023399355,0.517424912028319,0,0.0965626413387606,0.180000000000001,0.26,0.136128448665762,0.0395658073270014,489,555,482,600,805,1229,974,255,125,0.108225108225108,0,0,66,0,2,32,0,0,0,0,600,274,0,0.0909999999999989,0.0962500000000001,0.555,0.6,0.017536,0,0,0,0.231,40.1666666666667,81.1666666666667,67.0833333333333,0.00447272727272733,0.0139999999999993,0.0267540372670808,0.0419999999999998,0.998470001719099,0.6991923,0,194802916094,0
sensitivity,13013001,Moderate,0.1,Causal-Broadcast,design-09,9,NaN,causal-broadcast,hybrid,csma,0.2,0,32,0.02,0.0695833333333333,0.0891666666666667,0.233333333333333,0.5,0.02,0.04,0.366666666666667,0.291666666666667,0.5625,0.085970354398659,0.492957290060817,0,0.127797376752601,0.24,0.340000000000001,0.166901854364541,0.0391044776119403,369,408,365,482,593,898,724,174,93,0.104494382022472,0,0,39,0,2,32,0,0,0,0,482,176,0,0.0702499999999999,0.0741666666666667,0.408,0.482,0.011264,0,0,0,0.178,30.4166666666667,60.3333333333333,49.4166666666667,0.0044404494382023,0.0140000000000001,0.0272242833052278,0.0420000000000016,0.999175010312371,0.6139973,0,194802916094,0
