calibration,macType,pAccess,methodLabel,meanRMSE,safeFailures,meanTrueAoI,meanCollisions,meanDelivered,meanOfferedUtil,meanChannelUtil
multi-slot,aloha,0.1,Causal-Broadcast,0.0679272151357721,0,0.102254635911352,1399.5,517.25,0.641208333333304,0.465354166666676
multi-slot,aloha,0.1,Periodic-P10,0.126047448315593,0,0.179364540931705,1219.25,320,0.51449999999998,0.333958333333302
multi-slot,aloha,0.2,Causal-Broadcast,0.0804068505625865,0,0.133213478064224,2019.25,439.25,0.813291666666618,0.522729166666695
multi-slot,aloha,0.2,Periodic-P10,0.337205363840904,4,0.566813658977838,1642.5,119.5,0.587666666666639,0.277979166666642
multi-slot,aloha,0.4,Causal-Broadcast,0.122017333549828,0,0.197668475802804,2610,330.5,0.958499999999935,0.541916666666705
multi-slot,aloha,0.4,Periodic-P10,0.733349903344788,3,1.58768656716418,1756.75,40.75,0.599333333333304,0.198437499999986
multi-slot,csma,0.1,Causal-Broadcast,0.056427021387532,0,0.0816689280868384,123.5,629.75,0.298416666666667,0.285812499999974
multi-slot,csma,0.1,Periodic-P10,0.0587955903172838,0,0.0850180913613749,155.75,591.5,0.251,0.224166666666649
multi-slot,csma,0.2,Causal-Broadcast,0.0546747395489733,0,0.0787403889642694,202,610.5,0.3128125,0.290458333333308
multi-slot,csma,0.2,Periodic-P10,0.0594223295302001,0,0.0854816824966078,369.75,570.5,0.315083333333334,0.248833333333312
multi-slot,csma,0.4,Causal-Broadcast,0.0537169750474175,0,0.07736092265943,406,617.25,0.366625,0.315374999999973
multi-slot,csma,0.4,Periodic-P10,0.0791760582454255,0,0.123948439620081,976.75,416.5,0.465416666666652,0.272333333333309
one-slot,aloha,0.1,Causal-Broadcast,0.0552491431139865,0,0.0797693351424693,120.25,620,0.109958333333333,0.104874999999996
one-slot,aloha,0.1,Periodic-P10,0.0529579625432965,0,0.0758480325644504,140.5,592,0.0615625,0.0555416666666664
one-slot,aloha,0.2,Causal-Broadcast,0.0528010755657803,0,0.074791949344188,203,610.5,0.114625,0.10602083333333
one-slot,aloha,0.2,Periodic-P10,0.0546356424152424,0,0.0759497964721844,378.25,564.5,0.0791250000000001,0.0621458333333332
one-slot,aloha,0.4,Causal-Broadcast,0.0528873784882524,0,0.0753618272274987,468,622.75,0.131416666666667,0.110812499999997
one-slot,aloha,0.4,Periodic-P10,0.0811337859364189,0,0.123043871551334,992,406,0.116729166666663,0.0675416666666667
one-slot,csma,0.1,Causal-Broadcast,0.0552491431139865,0,0.0797693351424693,120.25,620,0.109958333333333,0.104874999999996
one-slot,csma,0.1,Periodic-P10,0.0529579625432965,0,0.0758480325644504,140.5,592,0.0615625,0.0555416666666664
one-slot,csma,0.2,Causal-Broadcast,0.0528010755657803,0,0.074791949344188,203,610.5,0.114625,0.10602083333333
one-slot,csma,0.2,Periodic-P10,0.0546356424152424,0,0.0759497964721844,378.25,564.5,0.0791250000000001,0.0621458333333332
one-slot,csma,0.4,Causal-Broadcast,0.0528873784882524,0,0.0753618272274987,468,622.75,0.131416666666667,0.110812499999997
one-slot,csma,0.4,Periodic-P10,0.0811337859364189,0,0.123043871551334,992,406,0.116729166666663,0.0675416666666667
