cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,RMSE,0.053984764135364,0.0536072186620123,0.704281032993128,0.000377545473351701,-0.000438945451407628,0.00119403639811103,8,0,1
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,MEAN_TRUE_AOI,0.0713571033720286,0.0709950248756218,0.5100054504399,0.000362078496406838,-0.00108702326037819,0.00181118025319187,8,0,1
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,OFFERED_UTIL,0.282145833333334,0.280583333333334,0.556875556875485,0.00156249999999987,-0.00636350923118854,0.00948850923118828,8,0,1
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,CHANNEL_UTIL,0.261833333333312,0.25799999999998,1.48578811369487,0.00383333333333249,-0.00115951538625524,0.00882618205292022,8,0,1
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,COLLISION_FRAMES,123.75,131.125,-5.62440419447092,-7.375,-28.949882449361,14.199882449361,8,0,1
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,DATA_ATTEMPTED,814.625,841.75,-3.22245322245322,-27.125,-50.8363384267205,-3.41366157327946,8,0,0
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,ACK_ATTEMPTED,66.25,0,NaN,66.25,61.319197486767,71.180802513233,8,0,0
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,RMSE,0.0540619630209665,0.053984764135364,0.143001246442356,7.7198885602538e-05,-0.000847763135845056,0.00100216090705013,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,MEAN_TRUE_AOI,0.0722346600331674,0.0713571033720286,1.22980981523803,0.000877556661138751,-0.00120135450650405,0.00295646782878155,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,OFFERED_UTIL,0.285208333333334,0.282145833333334,1.08543158827441,0.0030625,-0.00135954323150458,0.00748454323150458,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,CHANNEL_UTIL,0.262739583333312,0.261833333333312,0.346117122851671,0.000906249999999879,-0.00134955536469632,0.00316205536469608,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,COLLISION_FRAMES,134.125,123.75,8.38383838383838,10.375,-4.63974889012409,25.3897488901241,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,DATA_ATTEMPTED,826.125,814.625,1.41169249654749,11.5,-4.70488674570913,27.7048867457091,8,0,1
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,ACK_ATTEMPTED,61.25,66.25,-7.54716981132075,-5,-13.0436956320629,3.04369563206295,8,0,1
n5-csma,access_scaling_given_hybrid,access-only,frozen-hybrid,RMSE,0.0576599513377573,0.0576599513377573,0,0,0,0,8,0,1
n5-csma,access_scaling_given_hybrid,access-only,frozen-hybrid,MEAN_TRUE_AOI,0.0788571033720286,0.0788571033720286,0,0,0,0,8,0,1
n5-csma,access_scaling_given_hybrid,access-only,frozen-hybrid,OFFERED_UTIL,0.2934375,0.2934375,0,0,0,0,8,0,1
