cell,effect,armA,armB,failuresA,failuresB,seedsImproved,seedsWorsened,seedsEqual,nPairs
n5-csma,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,0,0,0,0,8,8
n5-csma,load_guard_given_adaptive,guarded-adaptive,adaptive-only,0,0,0,0,8,8
n5-csma,access_scaling_given_hybrid,access-only,frozen-hybrid,0,0,0,0,8,8
n5-csma,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,0,0,0,0,8,8
n5-csma,adaptive_guard_given_scaled_access,full-v2,access-only,0,0,0,0,8,8
n5-csma,full_v2_vs_hybrid,full-v2,frozen-hybrid,0,0,0,0,8,8
n5-aloha,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,0,0,0,0,8,8
n5-aloha,load_guard_given_adaptive,guarded-adaptive,adaptive-only,0,0,0,0,8,8
n5-aloha,access_scaling_given_hybrid,access-only,frozen-hybrid,0,0,0,0,8,8
n5-aloha,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,0,0,0,0,8,8
n5-aloha,adaptive_guard_given_scaled_access,full-v2,access-only,0,0,0,0,8,8
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,0,0,0,0,8,8
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,0,0,0,0,8,8
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,0,0,0,0,8,8
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,0,0,0,0,8,8
n5-background030,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,0,0,0,0,8,8
n5-background030,adaptive_guard_given_scaled_access,full-v2,access-only,0,0,0,0,8,8
n5-background030,full_v2_vs_hybrid,full-v2,frozen-hybrid,0,0,0,0,8,8
n5-hidden,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,0,0,0,0,8,8
n5-hidden,load_guard_given_adaptive,guarded-adaptive,adaptive-only,0,0,0,0,8,8
n5-hidden,access_scaling_given_hybrid,access-only,frozen-hybrid,0,0,0,0,8,8
n5-hidden,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,0,0,0,0,8,8
n5-hidden,adaptive_guard_given_scaled_access,full-v2,access-only,0,0,0,0,8,8
n5-hidden,full_v2_vs_hybrid,full-v2,frozen-hybrid,0,0,0,0,8,8
n10-ring2,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,0,0,0,0,8,8
n10-ring2,load_guard_given_adaptive,guarded-adaptive,adaptive-only,0,0,0,0,8,8
n10-ring2,access_scaling_given_hybrid,access-only,frozen-hybrid,0,0,0,0,8,8
n10-ring2,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,0,0,0,0,8,8
n10-ring2,adaptive_guard_given_scaled_access,full-v2,access-only,0,0,0,0,8,8
n10-ring2,full_v2_vs_hybrid,full-v2,frozen-hybrid,0,0,0,0,8,8
n20-ring2,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,8,8,0,0,8,8
n20-ring2,load_guard_given_adaptive,guarded-adaptive,adaptive-only,8,8,0,0,8,8
n20-ring2,access_scaling_given_hybrid,access-only,frozen-hybrid,0,8,8,0,0,8
n20-ring2,access_scaling_given_guarded_adaptive,full-v2,guarded-adaptive,5,8,3,0,5,8
n20-ring2,adaptive_guard_given_scaled_access,full-v2,access-only,5,0,0,5,3,8
n20-ring2,full_v2_vs_hybrid,full-v2,frozen-hybrid,5,8,3,0,5,8
