scenario,scenarioLabel,arm,methodLabel,n,meanRMSE,safeFailures,divergences,meanTrueAoI,meanOfferedUtil,meanChannelUtil,meanCollisions,meanDataAttempts,meanAckAttempts,meanLocalBusy,meanGuardBlocked,meanAdaptiveAckPermitted,meanAdaptiveAckDeferred,actualPAccess
n10-ring2,N10 ring2,access-only,Access scaling only,8,0.0976877783819246,0,0,0.0877606017531389,0.728124999999966,0.618770833333387,871.875,1914.75,816.375,0.586423753691643,0,0,0,0.1
n10-ring2,N10 ring2,adaptive-only,Adaptive ACK only,8,0.0861198192281701,0,0,0.076491945036721,0.794010416666618,0.607510416666721,1018.625,2338.75,88.125,0.541253400124734,0,88.125,8.25,0.2
n10-ring2,N10 ring2,frozen-hybrid,Frozen hybrid,8,0.0919913893858122,0,0,0.0815357735133854,0.969791666666607,0.712947916666711,1735.25,2615.125,901.25,0.654058484561657,0,0,0,0.2
n10-ring2,N10 ring2,frozen-piggyback,Frozen piggyback,8,0.0853176838121563,0,0,0.0761377635631366,0.788333333333283,0.594812500000051,1033.25,2365,0,0.525126095747434,0,0,0,0.2
n10-ring2,N10 ring2,full-v2,Full MAC-aware v2,8,0.0911889810530974,0,0,0.0825657427149963,0.655041666666633,0.562937500000038,539,1928.5,74.625,0.517390666975272,274.625,74.625,0.75,0.1
n10-ring2,N10 ring2,guarded-adaptive,Adaptive ACK + guard,8,0.0861459186835015,0,0,0.0768911395403931,0.77441666666662,0.598041666666718,967.625,2278.625,90.875,0.533520561170175,268.875,91,7.875,0.2
n20-ring2,N20 ring2,access-only,Access scaling only,8,0.204330273173146,0,0,0.161114536015575,1.15739583333325,0.82178124999998,1987.625,3373.875,314.25,0.826092893345962,0,0,0,0.05
n20-ring2,N20 ring2,adaptive-only,Adaptive ACK only,8,0.501570967457433,8,0,0.491186999783689,2.86245833333356,0.977104166666561,8072.875,8587.25,0.375,0.98598616084971,0,0.375,3.375,0.2
n20-ring2,N20 ring2,frozen-hybrid,Frozen hybrid,8,0.497757643678763,8,0,0.519678780012978,2.85459375000024,0.978020833333227,8156.25,8527.375,135,0.986465133762112,0,0,0,0.2
n20-ring2,N20 ring2,frozen-piggyback,Frozen piggyback,8,0.501570967457433,8,0,0.491186999783689,2.86245833333356,0.977104166666561,8072.625,8587.375,0,0.98598616084971,0,0,0,0.2
n20-ring2,N20 ring2,full-v2,Full MAC-aware v2,8,0.242258023090256,5,0,0.198190028120269,1.10698958333325,0.791249999999997,1689,3320.375,1.25,0.795357386476752,5541.375,1.25,64.75,0.05
n20-ring2,N20 ring2,guarded-adaptive,Adaptive ACK + guard,8,0.386789561718849,8,0,0.359762600043262,2.1452395833335,0.803197916666658,5677.5,6435.375,0.875,0.802937737964679,4623.625,0.875,37.375,0.2
n5-aloha,N5 ALOHA,access-only,Access scaling only,8,0.0739977669421914,0,0,0.104169430624654,0.757614583333291,0.491270833333352,1835.875,2168.375,333.25,0.393466632062565,0,0,0,0.2
n5-aloha,N5 ALOHA,adaptive-only,Adaptive ACK only,8,0.0797561258910369,0,0,0.116567164179104,0.76092708333329,0.488854166666685,1849.375,2185,314,0.391561657379284,0,314.125,12,0.2
n5-aloha,N5 ALOHA,frozen-hybrid,Frozen hybrid,8,0.0739977669421914,0,0,0.104169430624654,0.757614583333291,0.491270833333352,1835.875,2168.375,333.25,0.393466632062565,0,0,0,0.2
n5-aloha,N5 ALOHA,frozen-piggyback,Frozen piggyback,8,0.084371104132719,0,0,0.123114980652294,0.779999999999951,0.490395833333353,1867.375,2340,0,0.397895604752842,0,0,0,0.2
n5-aloha,N5 ALOHA,full-v2,Full MAC-aware v2,8,0.076317844126175,0,0,0.108718905472637,0.738177083333293,0.474635416666681,1786.125,2116.75,311.375,0.383953524595869,67.125,311.875,5.625,0.2
n5-aloha,N5 ALOHA,guarded-adaptive,Adaptive ACK + guard,8,0.076317844126175,0,0,0.108718905472637,0.738177083333293,0.474635416666681,1786.125,2116.75,311.375,0.383953524595869,67.125,311.875,5.625,0.2
n5-background030,N5 30% background,access-only,Access scaling only,8,0.0906444624564583,0,0,0.128135710337203,0.712072916666627,0.752177083333353,1691.75,2081.375,176.125,0.722763012216304,0,0,0,0.2
n5-background030,N5 30% background,adaptive-only,Adaptive ACK only,8,0.0864817309684081,0,0,0.123587617468214,0.719291666666625,0.752864583333353,1686.25,2152.75,11.25,0.728489053432481,0,11.25,2.5,0.2
n5-background030,N5 30% background,frozen-hybrid,Frozen hybrid,8,0.0906444624564583,0,0,0.128135710337203,0.712072916666627,0.752177083333353,1691.75,2081.375,176.125,0.722763012216304,0,0,0,0.2
n5-background030,N5 30% background,frozen-piggyback,Frozen piggyback,8,0.0896625008233538,0,0,0.128771420674406,0.72508333333329,0.752979166666686,1708.125,2175.25,0,0.726749136366589,0,0,0,0.2
n5-background030,N5 30% background,full-v2,Full MAC-aware v2,8,0.0889138310681796,0,0,0.127976782752902,0.712177083333292,0.747260416666689,1676.625,2129.875,14.625,0.72978453546231,331.375,14.625,4.5,0.2
n5-background030,N5 30% background,guarded-adaptive,Adaptive ACK + guard,8,0.0889138310681796,0,0,0.127976782752902,0.712177083333292,0.747260416666689,1676.625,2129.875,14.625,0.72978453546231,331.375,14.625,4.5,0.2
n5-csma,N5 CSMA,access-only,Access scaling only,8,0.0576599513377573,0,0,0.0788571033720286,0.2934375,0.273916666666644,170,713,515.625,0.24878053568384,0,0,0,0.2
n5-csma,N5 CSMA,adaptive-only,Adaptive ACK only,8,0.053984764135364,0,0,0.0713571033720286,0.282145833333334,0.261833333333312,123.75,814.625,66.25,0.228605973154624,0,66.25,0,0.2
n5-csma,N5 CSMA,frozen-hybrid,Frozen hybrid,8,0.0576599513377573,0,0,0.0788571033720286,0.2934375,0.273916666666644,170,713,515.625,0.24878053568384,0,0,0,0.2
n5-csma,N5 CSMA,frozen-piggyback,Frozen piggyback,8,0.0536072186620123,0,0,0.0709950248756218,0.280583333333334,0.25799999999998,131.125,841.75,0,0.223997216163624,0,0,0,0.2
n5-csma,N5 CSMA,full-v2,Full MAC-aware v2,8,0.0540619630209665,0,0,0.0722346600331674,0.285208333333334,0.262739583333312,134.125,826.125,61.25,0.236425393345482,16,61.25,0,0.2
n5-csma,N5 CSMA,guarded-adaptive,Adaptive ACK + guard,8,0.0540619630209665,0,0,0.0722346600331674,0.285208333333334,0.262739583333312,134.125,826.125,61.25,0.236425393345482,16,61.25,0,0.2
n5-hidden,N5 hidden terminals,access-only,Access scaling only,8,0.0610070214851845,0,0,0.083680210060807,0.511718749999986,0.39703124999999,947.125,1400.875,421.625,0.20537679584023,0,0,0,0.2
n5-hidden,N5 hidden terminals,adaptive-only,Adaptive ACK only,8,0.058925412147772,0,0,0.0816721945826423,0.482739583333318,0.376729166666651,807.625,1425.375,48.25,0.20269723510647,0,48.25,0,0.2
n5-hidden,N5 hidden terminals,frozen-hybrid,Frozen hybrid,8,0.0610070214851845,0,0,0.083680210060807,0.511718749999986,0.39703124999999,947.125,1400.875,421.625,0.20537679584023,0,0,0,0.2
n5-hidden,N5 hidden terminals,frozen-piggyback,Frozen piggyback,8,0.0610123936592695,0,0,0.0842371475953565,0.499333333333315,0.38364583333332,876.375,1498,0,0.221257920267496,0,0,0,0.2
n5-hidden,N5 hidden terminals,full-v2,Full MAC-aware v2,8,0.0605695427487749,0,0,0.0859038142620231,0.508031249999982,0.393624999999989,886,1501.25,48.375,0.216768486727641,73.125,48.375,0,0.2
n5-hidden,N5 hidden terminals,guarded-adaptive,Adaptive ACK + guard,8,0.0605695427487749,0,0,0.0859038142620231,0.508031249999982,0.393624999999989,886,1501.25,48.375,0.216768486727641,73.125,48.375,0,0.2
