cell,contrast,armA,armB,failuresA,failuresB,seedsImproved,seedsWorsened,seedsEqual,nPairs
n5-csma,selected_vs_access,a1-g0-s1,a0-g0-s1,0,0,0,0,12,12
n5-csma,selected_vs_full,a1-g0-s1,a1-g1-s1,0,0,0,0,12,12
n5-csma,selected_vs_frozen,a1-g0-s1,a0-g0-s0,0,0,0,0,12,12
n5-csma,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,0,0,0,0,12,12
n5-csma,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,0,0,0,0,12,12
n5-aloha,selected_vs_access,a1-g0-s1,a0-g0-s1,0,0,0,0,12,12
n5-aloha,selected_vs_full,a1-g0-s1,a1-g1-s1,0,0,0,0,12,12
n5-aloha,selected_vs_frozen,a1-g0-s1,a0-g0-s0,0,0,0,0,12,12
n5-aloha,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,0,0,0,0,12,12
n5-aloha,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,0,0,0,0,12,12
n10-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,0,0,0,0,12,12
n10-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,0,0,0,0,12,12
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,0,0,0,0,12,12
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,0,0,0,0,12,12
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,0,0,0,0,12,12
n20-ring2,selected_vs_access,a1-g0-s1,a0-g0-s1,0,0,0,0,12,12
n20-ring2,selected_vs_full,a1-g0-s1,a1-g1-s1,0,6,6,0,6,12
n20-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,0,12,12,0,0,12
n20-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,6,0,0,6,6,12
n20-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,9,0,0,9,3,12
