cell,effect,metric,meanEffect,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-csma,A,RMSE,-0.00354336601070567,-0.00394757461745164,-0.0031391574039597,12,0,0
n5-csma,A,MEAN_TRUE_AOI,-0.00608623548922052,-0.00713345974601528,-0.00503901123242576,12,0,0
n5-csma,A,OFFERED_UTIL,-0.00801388888888887,-0.0122552085951202,-0.00377256918265752,12,0,0
n5-csma,A,CHANNEL_UTIL,-0.00942361111110969,-0.0120141993236828,-0.00683302289853662,12,0,0
n5-csma,A,COLLISION_FRAMES,-44.0833333333333,-55.3232183033428,-32.8434483633239,12,0,0
n5-csma,A,DATA_ATTEMPTED,113.791666666667,100.345841671121,127.237491662212,12,0,0
n5-csma,A,ACK_ATTEMPTED,-458.875,-464.020968531252,-453.729031468748,12,0,0
n5-csma,G,RMSE,6.7153927772202e-06,-0.000354965238940594,0.000368396024495035,12,0,1
n5-csma,G,MEAN_TRUE_AOI,0.000431177446102816,-0.00013060615966751,0.000992961051873142,12,0,1
n5-csma,G,OFFERED_UTIL,0.00288194444444455,-0.00194224686798581,0.00770613575687492,12,0,1
n5-csma,G,CHANNEL_UTIL,0.00104861111111105,-0.00185178931208786,0.00394901153430996,12,0,1
n5-csma,G,COLLISION_FRAMES,11.8333333333333,-1.80212954358265,25.4687962102493,12,0,1
n5-csma,G,DATA_ATTEMPTED,10.4583333333333,-2.956066430316,23.8727330969827,12,0,1
n5-csma,G,ACK_ATTEMPTED,-6.20833333333333,-15.0667738526348,2.65010718596814,12,0,1
n5-csma,S,RMSE,0,0,0,12,0,1
n5-csma,S,MEAN_TRUE_AOI,0,0,0,12,0,1
n5-csma,S,OFFERED_UTIL,0,0,0,12,0,1
n5-csma,S,CHANNEL_UTIL,0,0,0,12,0,1
n5-csma,S,COLLISION_FRAMES,0,0,0,12,0,1
n5-csma,S,DATA_ATTEMPTED,0,0,0,12,0,1
n5-csma,S,ACK_ATTEMPTED,0,0,0,12,0,1
n5-csma,AxG,RMSE,9.54259422182371e-05,-0.000340289309076323,0.000531141193512797,12,0,1
n5-csma,AxG,MEAN_TRUE_AOI,-0.000152017689331118,-0.000919381697128809,0.000615346318466572,12,0,1
n5-csma,AxG,OFFERED_UTIL,-5.5555555555642e-05,-0.0025447865541049,0.00243367544299362,12,0,1
n5-csma,AxG,CHANNEL_UTIL,0.00014583333333322,-0.00124289707055774,0.00153456373722418,12,0,1
n5-csma,AxG,COLLISION_FRAMES,-1.25,-8.94093229566105,6.44093229566105,12,0,1
n5-csma,AxG,DATA_ATTEMPTED,-0.208333333333333,-8.31392017317669,7.89725350651002,12,0,1
n5-csma,AxG,ACK_ATTEMPTED,3.125,-5.7837030430604,12.0337030430604,12,0,1
n5-csma,AxS,RMSE,-5.78241158658936e-19,-1.85094136782145e-18,6.94459050503576e-19,12,0,1
n5-csma,AxS,MEAN_TRUE_AOI,0,-5.31716805948808e-18,5.31716805948808e-18,12,0,1
n5-csma,AxS,OFFERED_UTIL,0,-2.12686722379523e-17,2.12686722379523e-17,12,0,1
n5-csma,AxS,CHANNEL_UTIL,-9.25185853854297e-18,-2.29807274341319e-17,4.47701035704591e-18,12,0,1
n5-csma,AxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-csma,AxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-csma,AxS,ACK_ATTEMPTED,0,0,0,12,0,1
n5-csma,GxS,RMSE,5.78241158658936e-19,-1.6919571463372e-18,2.84843946365507e-18,12,0,1
n5-csma,GxS,MEAN_TRUE_AOI,-1.15648231731787e-18,-7.05150898922101e-18,4.73854435458527e-18,12,0,1
n5-csma,GxS,OFFERED_UTIL,-9.25185853854297e-18,-2.96150618851432e-17,1.11113448080572e-17,12,0,1
n5-csma,GxS,CHANNEL_UTIL,0,-1.50392223662901e-17,1.50392223662901e-17,12,0,1
n5-csma,GxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-csma,GxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-csma,GxS,ACK_ATTEMPTED,0,0,0,12,0,1
n5-csma,AxGxS,RMSE,0,0,0,12,0,1
n5-csma,AxGxS,MEAN_TRUE_AOI,0,-3.75980559157253e-18,3.75980559157253e-18,12,0,1
n5-csma,AxGxS,OFFERED_UTIL,0,0,0,12,0,1
n5-csma,AxGxS,CHANNEL_UTIL,0,-2.12686722379523e-17,2.12686722379523e-17,12,0,1
n5-csma,AxGxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-csma,AxGxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-csma,AxGxS,ACK_ATTEMPTED,0,0,0,12,0,1
n5-aloha,A,RMSE,0.0013920480384161,-0.00406686238601862,0.00685095846285083,12,0,1
n5-aloha,A,MEAN_TRUE_AOI,0.00577529021558861,-0.0020259448292483,0.0135765252604255,12,0,1
n5-aloha,A,OFFERED_UTIL,0.00587847222222146,-0.00605394995604294,0.0178108944004859,12,0,1
n5-aloha,A,CHANNEL_UTIL,0.00307291666666734,-0.00128987347740928,0.00743570681074395,12,0,1
n5-aloha,A,COLLISION_FRAMES,18.875,-23.2894018920127,61.0394018920127,12,0,1
n5-aloha,A,DATA_ATTEMPTED,21.4583333333333,-16.5340158190736,59.4506824857403,12,0,1
n5-aloha,A,ACK_ATTEMPTED,-14.2916666666667,-28.0671245778685,-0.516208755464806,12,0,0
n5-aloha,G,RMSE,-0.00468764426918317,-0.0106946012340493,0.00131931269568298,12,0,1
n5-aloha,G,MEAN_TRUE_AOI,-0.00531555187027822,-0.0147839126377541,0.00415280889719761,12,0,1
n5-aloha,G,OFFERED_UTIL,-0.020454861111109,-0.0407454170509384,-0.000164305171279532,12,0,0
n5-aloha,G,CHANNEL_UTIL,-0.0124062500000037,-0.0218566704323412,-0.00295582956766617,12,0,0
n5-aloha,G,COLLISION_FRAMES,-62.875,-136.998453362514,11.2484533625138,12,0,1
n5-aloha,G,DATA_ATTEMPTED,-61.125,-125.165973101109,2.91597310110895,12,0,1
n5-aloha,G,ACK_ATTEMPTED,3.45833333333333,-9.43574293393028,16.3524096005969,12,0,1
n5-aloha,S,RMSE,0,0,0,12,0,1
n5-aloha,S,MEAN_TRUE_AOI,0,0,0,12,0,1
n5-aloha,S,OFFERED_UTIL,0,0,0,12,0,1
n5-aloha,S,CHANNEL_UTIL,0,0,0,12,0,1
n5-aloha,S,COLLISION_FRAMES,0,0,0,12,0,1
n5-aloha,S,DATA_ATTEMPTED,0,0,0,12,0,1
n5-aloha,S,ACK_ATTEMPTED,0,0,0,12,0,1
n5-aloha,AxG,RMSE,-0.00159791555941741,-0.00583305354447583,0.00263722242564102,12,0,1
n5-aloha,AxG,MEAN_TRUE_AOI,-0.0016477796204165,-0.0112211866653868,0.00792562742455376,12,0,1
n5-aloha,AxG,OFFERED_UTIL,-0.00196180555555546,-0.0190649664251526,0.0151413553140417,12,0,1
n5-aloha,AxG,CHANNEL_UTIL,0.000642361111111239,-0.00676463987337999,0.00804936209560247,12,0,1
n5-aloha,AxG,COLLISION_FRAMES,-8.375,-67.8712077855791,51.1212077855791,12,0,1
n5-aloha,AxG,DATA_ATTEMPTED,-5.125,-60.463893466082,50.213893466082,12,0,1
n5-aloha,AxG,ACK_ATTEMPTED,-2.70833333333333,-16.9514006537266,11.53473398706,12,0,1
n5-aloha,AxS,RMSE,2.31296463463574e-18,-1.11925258926148e-18,5.74518185853296e-18,12,0,1
n5-aloha,AxS,MEAN_TRUE_AOI,-1.15648231731787e-18,-7.05150898922101e-18,4.73854435458527e-18,12,0,1
n5-aloha,AxS,OFFERED_UTIL,0,-4.25373444759046e-17,4.25373444759046e-17,12,0,1
n5-aloha,AxS,CHANNEL_UTIL,0,-2.12686722379523e-17,2.12686722379523e-17,12,0,1
n5-aloha,AxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-aloha,AxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-aloha,AxS,ACK_ATTEMPTED,0,0,0,12,0,1
n5-aloha,GxS,RMSE,0,-3.75980559157253e-18,3.75980559157253e-18,12,0,1
n5-aloha,GxS,MEAN_TRUE_AOI,1.15648231731787e-18,-5.83547574526156e-18,8.1484403798973e-18,12,0,1
n5-aloha,GxS,OFFERED_UTIL,-1.85037170770859e-17,-4.59614548682637e-17,8.95402071409182e-18,12,0,1
n5-aloha,GxS,CHANNEL_UTIL,1.85037170770859e-17,-4.46907455184653e-18,4.14765087060184e-17,12,0,1
n5-aloha,GxS,COLLISION_FRAMES,0,0,0,12,0,1
n5-aloha,GxS,DATA_ATTEMPTED,0,0,0,12,0,1
n5-aloha,GxS,ACK_ATTEMPTED,0,0,0,12,0,1
n5-aloha,AxGxS,RMSE,3.46944695195361e-18,-5.18429092662442e-19,7.45732299656967e-18,12,0,1
n5-aloha,AxGxS,MEAN_TRUE_AOI,-1.15648231731787e-18,-5.69687892731014e-18,3.3839142926744e-18,12,0,1
