gate,passed,detail
contract_hash,1,"hash 8052507"
matrix_completeness,1,"384 development runs"
unique_cells,1,"one row per seed/cell/factor arm"
finite_outputs,1,"control, AoI and medium outputs are finite"
complete_factorial_cube,1,"all eight binary combinations occur once per seed/cell"
causal_conservatism,1,"0 protocol violations"
bounded_memory,1,"max queue=2 max history=32"
physical_accounting,1,"terminal DATA/ACK accounting and busy union close"
paired_absolute_trace,1,"one trace and channel-state realization per seed/cell"
adaptive_factor_semantics,1,"adaptive feedback and decisions occur iff A=1"
guard_factor_semantics,1,"guard blocks iff G=1 and method contracts match factors"
access_factor_semantics,1,"actual access equals declared S factor"
n5_scaling_negative_control,0,"S=0/S=1 physical rows are bit-identical when p=1/N"
local_busy_contract,1,"causal local busy estimates remain in [0,1]"
divergence_accounting,1,"0 divergences retained"
