stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,factorAdaptiveAck,factorLoadGuard,factorAccessScaling,basePAccess
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a0-g0-s0,1,NaN,causal-broadcast,A0 G0 S0,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0590029170237913,0.525524853961255,0,0,9.54594223045542,12.3315530492193,0,1.03662151193627,0.0804090657821999,0.16,0.219999999999999,0.279999999999999,0.114018794914317,0.0336097291321172,593,682,558,515,812,1255,963,292,988,812,176,0,0,0,138,0.115288220551378,0,1,90,0,2,32,32,0,0,0,0,517,328,2,0.265166666666646,0,0,0,0.244948450926934,0.298436592556901,0,0,0,0,0,0.28175,2.728,0.653,0.0839680000000002,0,0,0.676200000000001,46.5,80.25,67.6666666666667,0.00573517126148707,0.0179999999999999,0.0319002463054188,0.0499999999999998,0.987109659829439,1374,660,0.102620087336245,0.1,0.0979136810531578,0.0958273621063156,2.0936403,0,666946941248,21184114599,105363559,0,134591212,0,0,0,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a1-g0-s0,2,NaN,mac-aware-broadcast,A1 G0 S0,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0532568545593792,0.532580398583117,0,0,9.54594223045542,12.416504600511,0,1.03667786744228,0.0716970702045329,0.140000000000001,0.2,0.239999999999998,0.134991708126036,0.0632946379215036,703,808,676,70,746,1489,1184,305,932,746,186,0,0,0,113,0.12870159453303,0,0,106,0,2,32,32,0,0,0,0,70,784,0,0.262499999999979,70,0,0,0.230725418517648,0.300120318021644,0,0,0,0,0,0.280416666666667,3.232,0.133,0.200704000000002,0,0,0.673,56.3333333333333,98.6666666666667,62.1666666666667,0.00673576309794999,0.02,0.0436045576407508,0.0939999999999994,0.989896889351009,1793,148,0.0953708867819297,0.0675675675675676,0.0979136810531578,0.0958273621063156,1.7869081,0,666946941248,21184114599,105363559,0,134593199,1,0,0,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a0-g1-s0,3,NaN,load-guarded-broadcast,A0 G1 S0,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0587660611091026,0.522884984103835,0,0,9.54594223045542,12.3315530492193,0,1.03665145361089,0.0792371475953563,0.151999999999997,0.219999999999999,0.279999999999999,0.113764510779436,0.0345273631840796,588,669,559,522,813,1231,971,260,990,813,177,0,0,0,139,0.116708648194794,0,0,81,0,2,32,32,0,0,0,0,522,323,0,0.262666666666645,0,0,0,0.23838016603686,0.301890215258433,16,0,16,13,3,0.278083333333334,2.676,0.661,0.0826880000000001,0,0,0.667400000000001,46.5833333333333,80.9166666666667,67.75,0.00556926952141062,0.0179999999999989,0.0309766297662977,0.0479999999999999,0.991169333735112,1347,667,0.103192279138827,0.100449775112444,0.0979136810531578,0.0958273621063156,1.1978765,0,666946941248,21184114599,105363559,0,134591222,0,1,0,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a1-g1-s0,4,NaN,mac-aware-broadcast,A1 G1 S0,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0546893527159001,0.528994847193162,0,0,9.54594223045542,12.416504600511,0,1.03667874650446,0.071520176893311,0.140000000000001,0.200000000000001,0.34,0.132592592592592,0.0610724156992814,701,799,671,68,746,1467,1164,303,907,746,161,0,0,0,102,0.117647058823529,0,0,98,0,2,32,32,0,0,0,0,68,768,0,0.260583333333313,68,0,0,0.223736480700359,0.280576548667343,11,0,11,7,4,0.276916666666667,3.196,0.127,0.196608000000002,0,0,0.664600000000001,55.9166666666667,97,62.1666666666667,0.00660438292964253,0.0190000000000001,0.043892761394102,0.104,0.989529785386974,1749,139,0.0931961120640366,0.107913669064748,0.0979136810531578,0.0958273621063156,1.0168658,0,666946941248,21184114599,105363559,0,134593209,1,1,0,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a0-g0-s1,5,NaN,causal-broadcast,A0 G0 S1,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0590029170237913,0.525524853961255,0,0,9.54594223045542,12.3315530492193,0,1.03662151193627,0.0804090657821999,0.16,0.219999999999999,0.279999999999999,0.114018794914317,0.0336097291321172,593,682,558,515,812,1255,963,292,988,812,176,0,0,0,138,0.115288220551378,0,1,90,0,2,32,32,0,0,0,0,517,328,2,0.265166666666646,0,0,0,0.244948450926934,0.298436592556901,0,0,0,0,0,0.28175,2.728,0.653,0.0839680000000002,0,0,0.676200000000001,46.5,80.25,67.6666666666667,0.00573517126148707,0.0179999999999999,0.0319002463054188,0.0499999999999998,0.987109659829439,1374,660,0.102620087336245,0.1,0.0979136810531578,0.0958273621063156,1.0539549,0,666946941248,21184114599,105363559,0,134591225,0,0,1,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a1-g0-s1,6,NaN,mac-aware-broadcast,A1 G0 S1,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0532568545593792,0.532580398583117,0,0,9.54594223045542,12.416504600511,0,1.03667786744228,0.0716970702045329,0.140000000000001,0.2,0.239999999999998,0.134991708126036,0.0632946379215036,703,808,676,70,746,1489,1184,305,932,746,186,0,0,0,113,0.12870159453303,0,0,106,0,2,32,32,0,0,0,0,70,784,0,0.262499999999979,70,0,0,0.230725418517648,0.300120318021644,0,0,0,0,0,0.280416666666667,3.232,0.133,0.200704000000002,0,0,0.673,56.3333333333333,98.6666666666667,62.1666666666667,0.00673576309794999,0.02,0.0436045576407508,0.0939999999999994,0.989896889351009,1793,148,0.0953708867819297,0.0675675675675676,0.0979136810531578,0.0958273621063156,0.967558399999999,0,666946941248,21184114599,105363559,0,134593212,1,0,1,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a0-g1-s1,7,NaN,load-guarded-broadcast,A0 G1 S1,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0587660611091026,0.522884984103835,0,0,9.54594223045542,12.3315530492193,0,1.03665145361089,0.0792371475953563,0.151999999999997,0.219999999999999,0.279999999999999,0.113764510779436,0.0345273631840796,588,669,559,522,813,1231,971,260,990,813,177,0,0,0,139,0.116708648194794,0,0,81,0,2,32,32,0,0,0,0,522,323,0,0.262666666666645,0,0,0,0.23838016603686,0.301890215258433,16,0,16,13,3,0.278083333333334,2.676,0.661,0.0826880000000001,0,0,0.667400000000001,46.5833333333333,80.9166666666667,67.75,0.00556926952141062,0.0179999999999989,0.0309766297662977,0.0479999999999999,0.991169333735112,1347,667,0.103192279138827,0.100449775112444,0.0979136810531578,0.0958273621063156,0.9911948,0,666946941248,21184114599,105363559,0,134591235,0,1,1,0.2
development,16017001,n5-csma,N5 CSMA,EXP14D factorial,a1-g1-s1,8,NaN,mac-aware-broadcast,A1 G1 S1,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0546893527159001,0.528994847193162,0,0,9.54594223045542,12.416504600511,0,1.03667874650446,0.071520176893311,0.140000000000001,0.200000000000001,0.34,0.132592592592592,0.0610724156992814,701,799,671,68,746,1467,1164,303,907,746,161,0,0,0,102,0.117647058823529,0,0,98,0,2,32,32,0,0,0,0,68,768,0,0.260583333333313,68,0,0,0.223736480700359,0.280576548667343,11,0,11,7,4,0.276916666666667,3.196,0.127,0.196608000000002,0,0,0.664600000000001,55.9166666666667,97,62.1666666666667,0.00660438292964253,0.0190000000000001,0.043892761394102,0.104,0.989529785386974,1749,139,0.0931961120640366,0.107913669064748,0.0979136810531578,0.0958273621063156,0.962497100000001,0,666946941248,21184114599,105363559,0,134593222,1,1,1,0.2
development,16017001,n5-aloha,N5 ALOHA,EXP14D factorial,a0-g0-s0,1,NaN,causal-broadcast,A0 G0 S0,hybrid,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0780375000387706,0.487606481257616,0,0,9.61073395840429,12.3627175636048,0,1.03613344702559,0.114770591487009,0.300000000000001,0.498400000000002,0.620000000000001,0.230337202874516,0.115566611387507,932,2195,427,307,403,4068,745,3323,1153,403,750,0,0,0,1844,0.737010391686651,0,27,1291,3,2,32,32,0,0,0,0,307,772,6,0.489166666666686,0,0,0,0.402151476032791,0.513213355085197,0,0,0,0,0,0.76308333333329,8.77999999999948,0.377,0.197632000000003,0,0,1.8313999999999,35.5833333333333,62.0833333333333,33.5833333333333,0.00903477218225426,0.024,0.0349875930521093,0.0549999999999997,0.98415243030254,4388,381,0.11098450319052,0.10498687664042,0.0979136810531578,0.0958273621063156,2.3515725,0,666946941248,21184114599,105363559,0,135031812,0,0,0,0.2
development,16017001,n5-aloha,N5 ALOHA,EXP14D factorial,a1-g0-s0,2,NaN,mac-aware-broadcast,A1 G0 S0,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0780375000387706,0.487606481257616,0,0,9.61073395840429,12.3627175636048,0,1.03613344702559,0.114770591487009,0.300000000000001,0.498400000000002,0.620000000000001,0.230337202874516,0.115566611387507,932,2195,427,305,401,4068,745,3323,1157,401,756,0,0,0,1844,0.7376,0,27,1291,3,2,32,32,0,0,0,0,305,778,6,0.489000000000019,305,3,0,0.402151476032754,0.513213355085197,0,0,0,0,0,0.762916666666623,8.77999999999948,0.375,0.199168000000003,0,0,1.8309999999999,35.5833333333333,62.0833333333333,33.4166666666667,0.00903760000000006,0.024,0.0348952618453866,0.0549999999999997,0.98415243030254,4391,379,0.111591892507402,0.105540897097625,0.0979136810531578,0.0958273621063156,2.0252103,0,666946941248,21184114599,105363559,0,135033799,1,0,0,0.2
