stage,seed,scenario,scenarioLabel,arm,role,method,methodLabel,feedbackMode,N,plant,macType,horizon,pAccess,historySize,RMSE,MINSEP,SAFEFAIL,DIVERGED,MEAN_TRUE_AOI,MEAN_EST_AOI,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,MAX_QUEUE,MAX_HISTORY,ACK_STANDALONE,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,ENERGY_PROXY_J,CONFIRMATION_EVENTS,STANDALONE_CONFIRMATION_EVENTS,PIGGYBACK_CONFIRMATION_EVENTS,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
development,16018001,n5-csma,N5 CSMA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,csma,12,0.2,32,0.0544099942620862,0.528884547592769,0,0,0.071453841901603,0.136561636263129,723,850,684,57,757,1566,1180,386,988,757,231,0,0,137,2,32,57,0.269666666666645,0.2925,3.4,0.11,0.222464000000002,0.702000000000001,757,101,656,3.3099183,0,667141392705,21196991276,141655134
development,16018001,n5-csma,N5 CSMA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,csma,12,0.2,32,0.0525755151023213,0.531708152815318,0,0,0.0695854063018242,0.140585959093422,715,838,677,0,710,1535,1176,359,923,710,213,0,0,130,1,32,0,0.257333333333313,0.279333333333334,3.352,0,0.236288000000002,0.670400000000001,710,0,710,2.4388623,0,667141392705,21196991276,111946897
development,16018001,n10-ring2,N10 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,10,di,csma,12,0.1,32,0.0916088475197978,0.507354171166718,0,0,0.0825065150438283,0.154731106372897,1555,1893,1354,79,1715,4062,2734,1326,2570,1715,853,2,2,518,2,32,79,0.555250000000035,0.644166666666634,7.57199999999961,0.158,0.611071999999999,1.54599999999992,1715,136,1579,4.5607281,0,2586664649596,84898085720,150605050
development,16018001,n10-ring2,N10 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,10,di,csma,12,0.1,32,0.0876182227402625,0.511950439822266,0,0,0.0772897417673536,0.146737739872068,1564,1874,1373,0,1697,4044,2746,1296,2469,1697,771,2,1,460,1,32,0,0.544250000000032,0.624666666666635,7.49599999999962,0,0.632063999999997,1.49919999999992,1697,0,1697,3.7183311,0,2586664649596,84898085720,121174256
development,16018001,n20-ring2,N20 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,20,di,csma,12,0.05,32,0.192354675202593,0.437151787008163,0,0,0.148135409906988,0.28137356694787,3986,3424,1611,1,1898,7943,3482,4461,4357,1898,2459,0,0,1792,1,32,1,0.807999999999988,1.14149999999991,13.6959999999989,0.002,1.11488000000001,2.73959999999979,1898,0,1898,5.1659557,0,10202380100164,339874602046,176416911
development,16018001,n20-ring2,N20 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,20,di,csma,12,0.05,32,0.192354675202593,0.437151787008163,0,0,0.148135409906988,0.28137356694787,3986,3424,1611,0,1898,7943,3482,4461,4357,1898,2459,0,0,1791,1,32,0,0.807999999999988,1.14133333333324,13.6959999999989,0,1.11539200000001,2.73919999999979,1898,0,1898,2.2069518,0,10202380100164,339874602046,146600552
development,16018001,n5-aloha,N5 ALOHA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,aloha,12,0.2,32,0.0640632408479836,0.514703063243175,0,0,0.0873300165837478,0.150724156992813,927,2105,444,327,451,3847,781,3066,1150,451,699,0,0,1740,2,32,327,0.481500000000017,0.737833333333293,8.41999999999952,0.434,0.182016000000002,1.7707999999999,451,273,178,3.8939459,0,667141392705,21196991276,142096688
development,16018001,n5-aloha,N5 ALOHA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,aloha,12,0.2,32,0.0865551075943673,0.48247925885755,0,0,0.123327805417358,0.282752902155887,1029,2416,448,0,322,4449,761,3688,1429,322,1107,0,0,1949,1,32,0,0.50716666666669,0.805333333333282,9.66399999999938,0,0.365824000000001,1.93279999999988,322,0,322,2.9563904,0,667141392705,21196991276,112388451
development,16018002,n5-csma,N5 CSMA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,csma,12,0.2,32,0.053289257766889,0.533709913447958,0,0,0.0725041459369816,0.139358761746821,703,780,663,61,756,1432,1158,274,912,756,156,0,0,88,2,32,61,0.254916666666647,0.26975,3.12,0.117,0.201984000000002,0.647400000000001,756,98,658,3.2872109,0,666677839911,21209039657,141655136
development,16018002,n5-csma,N5 CSMA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,csma,12,0.2,32,0.0541894197544525,0.530769950505326,0,0,0.0720287451630734,0.14636815920398,718,845,670,0,715,1544,1162,382,944,715,229,0,0,137,1,32,0,0.258666666666646,0.281666666666667,3.38,0,0.241664000000002,0.676000000000001,715,0,715,2.3732321,0,666677839911,21209039657,111946899
