seed,scenario,scenarioLabel,N,candidateOrdinal,selectionRank,decisionTime,windowEnd,realizedHorizon,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,actualTargetReached,shadowTargetReached,actualTargetAdmitted,shadowTargetAdmitted,suppressedEntries,actualConfirmedEntries,shadowConfirmedEntries,positiveLeadEntries,actualCensoredEntries,shadowCensoredEntries,meanLeadSeconds,maxLeadSeconds,ackAirtimeCost,dataAirtimeSaved,netAirtimeBenefit,accountingResidual,dataAttemptsSaved,collisionsSaved,trueAoIIntegralBenefit,estimatedAoIIntegralBenefit,controlLossIntegralBenefit,minimumSeparationBenefit,actualInvariantViolations,shadowInvariantViolations,actualDiverged,shadowDiverged,TRACE_HASH_EXACT,CHANNEL_STATE_HASH
16019003,n5-csma,N5 CSMA,5,30,1,8.191,8.96,0.769,5,2,1931945,0.100000000000001,0.213787378999647,0,0,359146650,622291035,1,1,1,0,2,2,2,2,0,0,0.0459999999999994,0.0459999999999994,0.004,0,-0.004,0,0,0,0.000399999999999959,0.00188888888888887,-1.3182386605604e-05,-2.58962892097925e-05,0,0,0,0,666646591799,21189915343
16019002,n5-csma,N5 CSMA,5,35,2,8.025,8.78,0.754999999999999,2,2,2274702,0.100000000000001,0.217448273983802,0,0,351508231,630043529,1,1,1,0,2,2,2,2,0,0,0.020999999999999,0.020999999999999,0.002,0,-0.00199999999999978,2.22044604925031e-16,0,0,0,0.000311111111111132,0,0,0,0,0,0,667023125528,21178836516
16019008,n5-csma,N5 CSMA,5,31,3,8.289,9.04,0.750999999999999,2,2,2549684,0.0999999999999996,0.251948828064829,0,0,347716745,634988507,1,1,1,0,2,2,2,2,0,0,0.027000000000001,0.027000000000001,0,0.016,0.016,0,4,4,-0.00142222222222228,-0.000311111111111168,-1.2177451456033e-05,-4.15328450510399e-05,0,0,0,0,667211050936,21200392219
16019001,n5-csma,N5 CSMA,5,37,4,8.009,8.76,0.750999999999999,5,2,2588865,0.100000000000001,0.229580292873603,0,0,360998930,631858866,1,1,1,0,2,2,2,2,0,0,0.0299999999999994,0.0299999999999994,0,-0.024,-0.024,0,-6,-6,-0.00231111111111114,-0.000622222222222365,1.33643897893968e-06,0.000231297159359545,0,0,0,0,666864329165,21201494833
16019004,n5-csma,N5 CSMA,5,36,5,8.012,8.78,0.767999999999999,5,2,1565584,0.100000000000001,0.222481725260256,0,0,382276090,626401026,1,1,1,0,2,2,2,2,0,0,0.0619999999999994,0.0619999999999994,0.003,0.032,0.0290000000000004,3.33066907387547e-16,8,7,0.000777777777777837,0.00431111111111107,5.4622407333212e-06,-7.90079504628949e-05,0,0,0,0,666726676103,21188261430
16019014,n5-csma,N5 CSMA,5,30,6,8.267,9.02,0.753,2,1,1798287,0.0999999999999996,0.225921930022774,0,0,359421032,631676786,1,1,1,0,1,1,1,1,0,0,0.0199999999999996,0.0199999999999996,0.001,0,-0.00099999999999989,1.11022302462516e-16,0,0,0,0.000222222222222238,0,0,0,0,0,0,666251768613,21188447081
16019006,n5-csma,N5 CSMA,5,37,7,8.016,8.78,0.763999999999999,3,2,1956788,0.0999999999999996,0.23511722006856,0,0,351236129,621394577,1,1,1,0,2,2,2,2,0,0,0.032,0.032,-0.001,0.02,0.0210000000000004,3.33066907387547e-16,5,8,-0.000777777777777779,-0.000644444444444454,1.0231061688827e-05,-5.07911420549734e-05,0,0,0,0,667056448649,21204558394
16019010,n5-csma,N5 CSMA,5,34,8,8.248,9,0.752000000000001,5,2,2827195,0.0999999999999996,0.251563887461898,0,0,387353734,624609649,1,1,1,0,2,2,2,0,0,0,0,0,0.00600000000000001,0.004,-0.00199999999999978,2.22044604925031e-16,1,-2,-0.00448888888888883,-0.00711111111111092,-1.25834002149416e-05,4.80147862580438e-08,0,0,0,0,667298256856,21192611220
16019011,n5-csma,N5 CSMA,5,34,9,8.15,8.9,0.75,5,2,2641134,0.0999999999999996,0.279590908431873,0,0,352834501,625456994,1,1,1,0,2,2,2,2,0,0,0.0854999999999997,0.157,-0.001,0.024,0.0250000000000004,3.33066907387547e-16,6,3,-0.00613333333333334,0.0140888888888889,-1.40373508056957e-05,-0.000767359586704153,0,0,0,0,666676326393,21197984973
16019012,n5-csma,N5 CSMA,5,35,10,8.118,8.88,0.761999999999999,5,2,2794463,0.0999999999999996,0.247774999678473,0,0,368316642,628192803,1,1,1,0,2,2,2,2,0,0,0.00200000000000067,0.00200000000000067,0.002,0.016,0.0140000000000002,2.22044604925031e-16,4,2,-0.00233333333333343,0.00186666666666648,6.27472838838072e-06,-6.30533265055799e-05,0,0,0,0,666773976451,21203572104
