gate,passed,detail
registry_contract,1,"hash 52831592 over 31 leaves"
pilot_matrix,1,"240 unique pilot runs"
pilot_integrity,1,"finite causal bounded pilot runs"
candidate_accounting,1,"27658 permitted-decision rows"
selection_reproducible,1,"selection recomputes exactly from pre-decision covariates"
selection_support,0,"n5-csma=20, n10-ring2=20, n20-ring2=4, n5-aloha=20"
replay_completeness,1,"64 branch pairs"
shared_predecision_state,1,"target hashes matched inside pair analyzer"
intervention_semantics,1,"only target obligations are excluded from standalone service"
finite_pair_outputs,1,"all causal effects are finite"
causal_protocol,1,"zero divergence and invariant violations in both branches"
airtime_identity,1,"max residual 1.11e-15 s"
lead_contract,1,"entry leads respect censoring and local horizon"
development_claim_boundary,1,"performance is reported but never gates or fits a predictor"
