seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019001,n5-csma,N5 CSMA,5,70,70,28,70,737,70,0,0,2,32,666864329165,21201494833,152862044
16019001,n10-ring2,N10 ring2,10,82,82,34,82,1684,82,0,0,2,32,2585427056988,84898756690,161813320
16019001,n20-ring2,N20 ring2,20,1,1,0,1,1929,1,0,0,2,32,10200041616051,339919577279,187625184
16019001,n5-aloha,N5 ALOHA,5,332,332,110,331,449,332,0,0,2,32,666864329165,21201494833,153304552
16019002,n5-csma,N5 CSMA,5,62,62,25,62,748,62,0,0,2,32,667023125528,21178836516,152862046
16019002,n10-ring2,N10 ring2,10,78,78,28,78,1666,78,0,0,2,32,2586548801643,84945518008,161813322
16019002,n20-ring2,N20 ring2,20,0,0,0,0,1914,0,0,0,1,32,10200004092401,339953014241,187625186
16019002,n5-aloha,N5 ALOHA,5,326,326,100,326,404,326,0,0,2,32,667023125528,21178836516,153304554
16019003,n5-csma,N5 CSMA,5,56,56,20,56,744,56,0,0,2,32,666646591799,21189915343,152862048
16019003,n10-ring2,N10 ring2,10,82,82,30,82,1645,82,0,0,2,32,2586710982391,84928897242,161813324
16019003,n20-ring2,N20 ring2,20,0,0,0,0,1908,0,0,0,1,32,10199592640680,339807119740,187625188
16019003,n5-aloha,N5 ALOHA,5,334,334,116,333,424,334,0,0,2,32,666646591799,21189915343,153304556
16019004,n5-csma,N5 CSMA,5,62,62,25,62,744,62,0,0,2,32,666726676103,21188261430,152862050
16019004,n10-ring2,N10 ring2,10,74,74,30,74,1667,74,0,0,2,32,2585298786921,84892389817,161813326
16019004,n20-ring2,N20 ring2,20,0,0,0,0,1907,0,0,0,1,32,10200173718092,339967749621,187625190
16019004,n5-aloha,N5 ALOHA,5,330,330,110,330,400,330,0,0,2,32,666726676103,21188261430,153304558
16019005,n5-csma,N5 CSMA,5,70,70,22,70,760,70,0,0,2,32,666823558258,21198788005,152862052
16019005,n10-ring2,N10 ring2,10,77,77,30,77,1633,77,0,0,2,32,2584606878530,84918292785,161813328
16019005,n20-ring2,N20 ring2,20,2,2,0,2,1938,2,0,0,2,32,10199540819508,339829579481,187625192
16019005,n5-aloha,N5 ALOHA,5,313,313,98,313,441,313,0,0,2,32,666823558258,21198788005,153304560
16019006,n5-csma,N5 CSMA,5,61,61,20,61,740,61,0,0,2,32,667056448649,21204558394,152862054
16019006,n10-ring2,N10 ring2,10,83,83,32,83,1693,83,0,0,2,32,2585381080501,84920366092,161813330
16019006,n20-ring2,N20 ring2,20,1,1,0,1,1956,1,0,0,2,32,10198306620133,339854074482,187625194
16019006,n5-aloha,N5 ALOHA,5,344,344,108,344,457,344,0,0,2,32,667056448649,21204558394,153304562
16019007,n5-csma,N5 CSMA,5,64,64,26,64,733,64,0,0,2,32,666091942711,21189536048,152862056
16019007,n10-ring2,N10 ring2,10,70,70,27,70,1626,70,0,0,2,32,2584914653572,84888765285,161813332
16019007,n20-ring2,N20 ring2,20,2,2,0,2,1918,2,0,0,2,32,10197981321971,339904701811,187625196
16019007,n5-aloha,N5 ALOHA,5,329,329,117,329,362,329,0,0,2,32,666091942711,21189536048,153304564
16019008,n5-csma,N5 CSMA,5,63,63,29,63,740,63,0,0,2,32,667211050936,21200392219,152862058
16019008,n10-ring2,N10 ring2,10,89,89,29,89,1662,89,0,0,2,32,2586984181687,84905279436,161813334
16019008,n20-ring2,N20 ring2,20,3,3,0,3,1916,3,0,0,2,32,10198563008235,339899577887,187625198
16019008,n5-aloha,N5 ALOHA,5,288,288,105,288,320,288,0,0,2,32,667211050936,21200392219,153304566
16019009,n5-csma,N5 CSMA,5,61,61,20,61,753,61,0,0,2,32,666935544791,21189026181,152862060
16019009,n10-ring2,N10 ring2,10,84,84,31,84,1652,84,0,0,2,32,2586063000402,84940172502,161813336
16019009,n20-ring2,N20 ring2,20,2,2,0,2,2009,2,0,0,2,32,10197947561444,339880474852,187625200
16019009,n5-aloha,N5 ALOHA,5,283,283,92,283,382,283,0,0,2,32,666935544791,21189026181,153304568
16019010,n5-csma,N5 CSMA,5,66,66,27,66,758,66,0,0,2,32,667298256856,21192611220,152862062
16019010,n10-ring2,N10 ring2,10,85,85,31,85,1690,85,0,0,2,32,2587931123285,84911411227,161813338
16019010,n20-ring2,N20 ring2,20,0,0,0,0,1787,0,0,0,1,32,10202042874413,339885265285,187625202
16019010,n5-aloha,N5 ALOHA,5,324,324,94,324,440,324,0,0,2,32,667298256856,21192611220,153304570
16019011,n5-csma,N5 CSMA,5,67,67,27,67,730,67,0,0,2,32,666676326393,21197984973,152862064
16019011,n10-ring2,N10 ring2,10,80,80,34,80,1637,80,0,0,2,32,2585698620737,84927468942,161813340
16019011,n20-ring2,N20 ring2,20,2,2,0,2,1933,2,0,0,2,32,10199404356201,339958876537,187625204
16019011,n5-aloha,N5 ALOHA,5,360,360,123,360,449,360,0,0,2,32,666676326393,21197984973,153304572
16019012,n5-csma,N5 CSMA,5,62,62,24,62,744,62,0,0,2,32,666773976451,21203572104,152862066
16019012,n10-ring2,N10 ring2,10,96,96,38,96,1699,96,0,0,2,32,2585255982226,84899218089,161813342
16019012,n20-ring2,N20 ring2,20,1,1,0,1,1841,1,0,0,2,32,10196940611333,339900350390,187625206
16019012,n5-aloha,N5 ALOHA,5,304,304,104,304,346,304,0,0,2,32,666773976451,21203572104,153304574
16019013,n5-csma,N5 CSMA,5,72,72,24,72,743,72,0,0,2,32,666658895029,21208172082,152862068
16019013,n10-ring2,N10 ring2,10,87,87,33,87,1617,87,0,0,2,32,2586114696405,84913366348,161813344
16019013,n20-ring2,N20 ring2,20,1,1,0,1,1958,1,0,0,2,32,10202027070426,339887055079,187625208
16019013,n5-aloha,N5 ALOHA,5,340,340,119,340,428,340,0,0,2,32,666658895029,21208172082,153304576
16019014,n5-csma,N5 CSMA,5,59,59,26,59,750,59,0,0,2,32,666251768613,21188447081,152862070
16019014,n10-ring2,N10 ring2,10,86,86,38,86,1677,86,0,0,2,32,2585204956251,84909987510,161813346
16019014,n20-ring2,N20 ring2,20,2,2,0,2,1823,2,0,0,2,32,10198476117477,339857965635,187625210
16019014,n5-aloha,N5 ALOHA,5,290,290,115,290,348,290,0,0,2,32,666251768613,21188447081,153304578
