scenario,metric,nDecisions,meanEffect,ciLo,ciHi,crossesZero
n5-csma,meanLeadSeconds,20,0.0239749999999999,0.013480048458201,0.0344699515417988,0
n5-csma,ackAirtimeCost,20,0.002,0.00102772448840334,0.00297227551159666,0
n5-csma,dataAirtimeSaved,20,0.0044,-0.00157887259351021,0.0103788725935102,1
n5-csma,netAirtimeBenefit,20,0.00240000000000012,-0.0039473666368861,0.00874736663688634,1
n5-csma,dataAttemptsSaved,20,1.1,-0.394718148377552,2.59471814837755,1
n5-csma,collisionsSaved,20,0.35,-1.32906015162912,2.02906015162912,1
n5-csma,trueAoIIntegralBenefit,20,-0.00119444444444444,-0.00225150241395741,-0.000137386474931472,0
n5-csma,estimatedAoIIntegralBenefit,20,0.000558888888888888,-0.00127282748597802,0.0023906052637558,1
n5-csma,controlLossIntegralBenefit,20,-4.31160850401136e-06,-1.04741994423923e-05,1.85098243436956e-06,1
n5-csma,minimumSeparationBenefit,20,-5.95226638238355e-05,-0.000152113022180941,3.30676945332701e-05,1
n10-ring2,meanLeadSeconds,20,0.0444166666666668,-0.0143563452123245,0.103189678545658,1
n10-ring2,ackAirtimeCost,20,0.00325,0.00149309952194374,0.00500690047805627,0
n10-ring2,dataAirtimeSaved,20,0.00499999999999947,-0.0155332065937319,0.0255332065937308,1
n10-ring2,netAirtimeBenefit,20,0.00174999999999949,-0.0184177514505735,0.0219177514505724,1
n10-ring2,dataAttemptsSaved,20,1.25,-3.88330164843339,6.38330164843339,1
n10-ring2,collisionsSaved,20,0.8,-4.54611384613775,6.14611384613775,1
n10-ring2,trueAoIIntegralBenefit,20,-0.000360952380952379,-0.00136886521085928,0.000646960448954523,1
n10-ring2,estimatedAoIIntegralBenefit,20,0.000728571428571433,-0.00257312430599401,0.00403026716313688,1
n10-ring2,controlLossIntegralBenefit,20,-1.28119241062003e-05,-2.4381812362947e-05,-1.24203584945352e-06,0
n10-ring2,minimumSeparationBenefit,20,-6.34923621361861e-05,-0.000418681155188547,0.000291696430916174,1
n5-aloha,meanLeadSeconds,20,0.144408333333333,0.0364608283511287,0.252355838315538,0
n5-aloha,ackAirtimeCost,20,0.00435,0.000445292818582388,0.00825470718141761,0
n5-aloha,dataAirtimeSaved,20,0.0435999999999952,-0.00499347212442249,0.092193472124413,1
n5-aloha,netAirtimeBenefit,20,0.0392499999999953,-0.00645902521017905,0.0849590252101697,1
n5-aloha,dataAttemptsSaved,20,10.9,-1.24836803110577,23.0483680311058,1
n5-aloha,collisionsSaved,20,10.9,-3.39745812838302,25.197458128383,1
n5-aloha,trueAoIIntegralBenefit,20,0.00691555555555553,-0.00319595133242263,0.0170270624435337,1
n5-aloha,estimatedAoIIntegralBenefit,20,0.0160644444444444,-0.00561787176796773,0.0377467606568566,1
n5-aloha,controlLossIntegralBenefit,20,4.43575791247959e-05,-1.5579070234069e-05,0.000104294228483661,1
n5-aloha,minimumSeparationBenefit,20,0.000591865260151514,-0.000405276992256893,0.00158900751255992,1
