seed,scenario,scenarioLabel,N,candidateOrdinal,decisionTime,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,physicalAdmitted,eligible,stratum,priority,selectionRank
16020001,n20-ring2,N20 ring2,20,1,0.232,17,1,1704703,0.1,0.332508592705836,0,0,1403467775,12137252744,1,0,,NaN,NaN
16020001,n20-ring2,N20 ring2,20,2,0.319,6,2,2471087,0.1,0.446904482271839,0,0,1343317686,12141117524,1,0,,NaN,NaN
16020001,n20-ring2,N20 ring2,20,3,0.355,3,2,2764477,0.1,0.48388322254014,0,0,1404000437,12148122284,1,0,,NaN,NaN
16020001,n20-ring2,N20 ring2,20,4,0.397,15,2,2518093,0.1,0.523944861861763,0,0,1473287270,12136977233,1,0,,NaN,NaN
16020003,n20-ring2,N20 ring2,20,1,0.498,4,2,2595986,0.1,0.632130250463727,0,0,1431712567,12133998187,1,0,,NaN,NaN
16020004,n20-ring2,N20 ring2,20,1,0.432,4,2,1963993,0.1,0.544262223755851,0,0,1368058844,12141450866,1,0,,NaN,NaN
16020005,n20-ring2,N20 ring2,20,1,0.276,9,2,2192847,0.1,0.371396674968808,0,0,1335975580,12130341786,1,0,,NaN,NaN
16020006,n20-ring2,N20 ring2,20,1,0.416,17,2,2703337,0.1,0.549323866934111,0,0,1434272924,12127805720,1,0,,NaN,NaN
16020006,n20-ring2,N20 ring2,20,2,0.71,15,2,2429207,0.1,0.697061043434437,0,0,1422901061,12139975561,1,0,,NaN,NaN
16020007,n20-ring2,N20 ring2,20,1,0.291,7,1,1704679,0.1,0.394243717608065,0,0,1405691344,12137311374,1,0,,NaN,NaN
16020007,n20-ring2,N20 ring2,20,2,0.61,18,2,2612793,0.1,0.692442457309421,0,0,1509438001,12143966536,1,0,,NaN,NaN
16020008,n20-ring2,N20 ring2,20,1,0.716,7,2,3200287,0.1,0.673741295752185,0,0,1543793152,12142314108,1,0,,NaN,NaN
16020009,n20-ring2,N20 ring2,20,1,0.535,11,2,2381412,0.1,0.668539015879122,0,0,1447526152,12141551243,1,0,,NaN,NaN
16020009,n20-ring2,N20 ring2,20,2,0.615,15,2,2628704,0.1,0.702064886057416,0,0,1542947761,12134839875,1,0,,NaN,NaN
16020012,n20-ring2,N20 ring2,20,1,0.583,14,3,3135354,0.1,0.650384647311959,0,0,1561286836,12141241446,1,0,,NaN,NaN
16020013,n20-ring2,N20 ring2,20,1,0.635,11,2,3200310,0.1,0.707254223408285,0,0,1417099269,12144103577,1,0,,NaN,NaN
16020014,n20-ring2,N20 ring2,20,1,0.238,18,3,2696233,0.1,0.294033706190131,0,0,1353518020,12129428758,1,0,,NaN,NaN
16020014,n20-ring2,N20 ring2,20,2,0.316,6,2,2702434,0.1,0.450006057509737,0,0,1391138968,12140088611,1,0,,NaN,NaN
16020014,n20-ring2,N20 ring2,20,3,0.55,9,2,1872621,0.1,0.62145317929585,0,0,1509781681,12142550804,1,0,,NaN,NaN
16020015,n20-ring2,N20 ring2,20,1,0.255,9,1,1704679,0.1,0.345183905737514,0,0,1417095683,12133123807,1,0,,NaN,NaN
16020015,n20-ring2,N20 ring2,20,2,0.552,15,1,2014812,0.1,0.649174029149825,0,0,1465727004,12146100237,1,0,,NaN,NaN
16020015,n20-ring2,N20 ring2,20,3,0.575,12,2,2381404,0.1,0.664262612551749,0,0,1433988469,12143450426,1,0,,NaN,NaN
16020016,n20-ring2,N20 ring2,20,1,0.598,17,2,2504670,0.1,0.729680952531805,0,0,1515299064,12122270129,1,0,,NaN,NaN
16020017,n20-ring2,N20 ring2,20,1,0.61,17,2,2305173,0.1,0.699881780667133,0,0,1369189955,12132504564,1,0,,NaN,NaN
16020017,n20-ring2,N20 ring2,20,2,0.669,5,2,2644612,0.1,0.708007813652239,0,0,1436968178,12125938730,1,0,,NaN,NaN
