seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16020001,n20-ring2,N20 ring2,20,4,4,0,4,1904,4,0,0,2,32,10200757951155,339917071665,188668063
16020002,n20-ring2,N20 ring2,20,0,0,0,0,1899,0,0,0,1,32,10199982579222,339944332448,188668065
16020003,n20-ring2,N20 ring2,20,1,1,0,1,1872,1,0,0,2,32,10197762952367,339857268368,188668067
16020004,n20-ring2,N20 ring2,20,1,1,0,1,1870,1,0,0,2,32,10202942578283,339875625745,188668069
16020005,n20-ring2,N20 ring2,20,1,1,0,1,1908,1,0,0,2,32,10201754379700,339899216495,188668071
16020006,n20-ring2,N20 ring2,20,2,2,0,2,1904,2,0,0,2,32,10200345012949,339892051782,188668073
16020007,n20-ring2,N20 ring2,20,2,2,0,2,1762,2,0,0,2,32,10198524225491,339902017878,188668075
16020008,n20-ring2,N20 ring2,20,1,1,0,1,1855,1,0,0,2,32,10198956860073,339905485933,188668077
16020009,n20-ring2,N20 ring2,20,2,2,0,2,1920,2,0,0,2,32,10200276548914,339896785534,188668079
16020010,n20-ring2,N20 ring2,20,0,0,0,0,1790,0,0,0,1,32,10198934743284,339904372004,188668081
16020011,n20-ring2,N20 ring2,20,0,0,0,0,1768,0,0,0,1,32,10201833120235,339924733861,188668083
16020012,n20-ring2,N20 ring2,20,1,1,0,1,1921,1,0,0,2,32,10202377427169,339938172565,188668085
16020013,n20-ring2,N20 ring2,20,1,1,0,1,1863,1,0,0,2,32,10199277645254,339942752033,188668087
16020014,n20-ring2,N20 ring2,20,3,3,0,3,1903,3,0,0,2,32,10198570861378,339924239991,188668089
16020015,n20-ring2,N20 ring2,20,3,3,0,3,1929,3,0,0,2,32,10201136026938,339941412485,188668091
16020016,n20-ring2,N20 ring2,20,1,1,0,1,1908,1,0,0,2,32,10199720945936,339882027980,188668093
16020017,n20-ring2,N20 ring2,20,2,2,0,2,1982,2,0,0,2,32,10198087354483,339915404870,188668095
16020018,n20-ring2,N20 ring2,20,2,2,0,2,1868,2,0,0,2,32,10200848653897,339903467578,188668097
16020019,n20-ring2,N20 ring2,20,1,1,0,1,1915,1,0,0,1,32,10200771165935,339893507433,188668099
16020020,n20-ring2,N20 ring2,20,1,1,0,1,1885,1,0,0,1,32,10198827618653,339921475698,188668101
16020021,n20-ring2,N20 ring2,20,2,2,0,2,1816,2,0,0,2,32,10198345502048,339861824970,188668103
16020022,n20-ring2,N20 ring2,20,2,2,0,2,1895,2,0,0,2,32,10199006870885,339871779291,188668105
16020023,n20-ring2,N20 ring2,20,0,0,0,0,1821,0,0,0,1,32,10202419590007,339938857825,188668107
16020024,n20-ring2,N20 ring2,20,1,1,0,1,1879,1,0,0,2,32,10200274242050,339971307038,188668109
16020025,n20-ring2,N20 ring2,20,2,2,0,2,1809,2,0,0,2,32,10200529578036,339926726948,188668111
16020026,n20-ring2,N20 ring2,20,0,0,0,0,1844,0,0,0,1,32,10199877506581,339881317816,188668113
16020027,n20-ring2,N20 ring2,20,1,1,0,1,1767,1,0,0,2,32,10199014025598,339870819371,188668115
16020028,n20-ring2,N20 ring2,20,4,4,0,4,1977,4,0,0,2,32,10201229939162,339911134721,188668117
16020029,n20-ring2,N20 ring2,20,1,1,0,1,1909,1,0,0,2,32,10201839990907,339903025109,188668119
16020030,n20-ring2,N20 ring2,20,0,0,0,0,1859,0,0,0,1,32,10201964760076,339845653484,188668121
16020031,n20-ring2,N20 ring2,20,0,0,0,0,1857,0,0,0,1,32,10200510291804,339929544651,188668123
16020032,n20-ring2,N20 ring2,20,2,2,0,2,1896,2,0,0,2,32,10199589241158,339890128958,188668125
16020033,n20-ring2,N20 ring2,20,2,2,0,2,1967,2,0,0,2,32,10200896925277,339900202443,188668127
16020034,n20-ring2,N20 ring2,20,0,0,0,0,1880,0,0,0,1,32,10198924966606,339883987147,188668129
16020035,n20-ring2,N20 ring2,20,0,0,0,0,1959,0,0,0,1,32,10199567499006,339859225869,188668131
16020036,n20-ring2,N20 ring2,20,2,2,0,2,1957,2,0,0,2,32,10203053326966,339925744638,188668133
16020037,n20-ring2,N20 ring2,20,3,3,0,3,1945,3,0,0,2,32,10203806627450,339953439229,188668135
16020038,n20-ring2,N20 ring2,20,3,3,0,3,1930,3,0,0,2,32,10199001202941,339912945412,188668137
16020039,n20-ring2,N20 ring2,20,1,1,0,1,1900,1,0,0,1,32,10200233623513,339864530308,188668139
16020040,n20-ring2,N20 ring2,20,2,2,0,2,1955,2,0,0,2,32,10200830801501,339860450152,188668141
16020041,n20-ring2,N20 ring2,20,0,0,0,0,1875,0,0,0,1,32,10202017661542,339886582520,188668143
16020042,n20-ring2,N20 ring2,20,1,1,0,1,1863,1,0,0,1,32,10201353702976,339928682410,188668145
16020043,n20-ring2,N20 ring2,20,2,2,0,2,1926,2,0,0,2,32,10199281386941,339924537743,188668147
16020044,n20-ring2,N20 ring2,20,0,0,0,0,1851,0,0,0,1,32,10203325141765,339934316861,188668149
16020045,n20-ring2,N20 ring2,20,0,0,0,0,1856,0,0,0,1,32,10199831795812,339964503550,188668151
16020046,n20-ring2,N20 ring2,20,1,1,0,1,1918,1,0,0,2,32,10199138524621,339959146199,188668153
16020047,n20-ring2,N20 ring2,20,0,0,0,0,1831,0,0,0,1,32,10200928616668,339931433117,188668155
16020048,n20-ring2,N20 ring2,20,4,4,0,4,1946,4,0,0,2,32,10200385199842,339955460767,188668157
16020049,n20-ring2,N20 ring2,20,0,0,0,0,1895,0,0,0,1,32,10200823911381,339916622000,188668159
16020050,n20-ring2,N20 ring2,20,1,1,0,1,1828,1,0,0,2,32,10198610971033,339965610227,188668161
