stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,factorMacAloha,factorAdaptive,primaryFactorialFlag,basePAccess
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-adaptive,1,NaN,mac-aware-broadcast,CSMA adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.054284908077058,0.530423271720747,0,0,9.63739491826495,12.4079872401104,0,1.03665775808453,0.0743615257048092,0.16,0.219999999999999,0.279999999999999,0.136672194582642,0.0623106688778331,704,810,681,61,745,1512,1168,344,954,745,209,0,0,0,115,0.13203214695752,0,0,106,0,2,32,32,0,0,0,0,61,824,0,0.261249999999979,61,0,0,0.23023319109216,0.282082145389395,0,0,0,0,0,0.279833333333334,3.24,0.118,0.210944000000002,0,0,0.671600000000001,56.75,97.3333333333333,62.0833333333333,0.00703903559127445,0.0210000000000004,0.0454281879194632,0.0960000000000001,0.984703746562908,1805,130,0.0958448753462604,0.115384615384615,0.101726378936844,0.104772537910348,2.8602426,0,667495199556,21203657145,105363559,0,137376917,adaptive,0,1,1,0.2
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-piggyback,2,NaN,causal-broadcast,CSMA piggyback-only,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0534215060278167,0.532227228713559,0,0,9.63739491826495,12.4079872401104,0,1.03665774822603,0.0706467661691542,0.140000000000001,0.200000000000001,0.279999999999999,0.139447208402432,0.0688004422332781,705,817,676,0,727,1504,1163,341,931,727,204,0,0,0,117,0.143206854345165,0,2,114,1,1,32,32,0,0,0,0,0,931,1,0.25199999999998,0,0,0,0.223663999466462,0.297432773254027,0,0,0,0,0,0.272333333333334,3.268,0,0.238336000000002,0,0,0.653600000000001,56.3333333333333,96.9166666666667,60.5833333333333,0.00741493268053864,0.0210000000000003,0.0441306740027511,0.0984000000000003,0.988847294051457,1848,0,0.0968614718614719,0,0.101726378936844,0.104772537910348,2.0052185,0,667495199556,21203657145,105363559,0,107729532,piggyback,0,0,1,0.2
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-fixed-hybrid,3,NaN,causal-broadcast,CSMA fixed-deadline hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0585820458881452,0.524759860609433,0,0,9.65672315119263,12.3695467189083,0,1.03661666396911,0.0791487009397456,0.16,0.200000000000001,0.279999999999999,0.117346600331675,0.0381978993919292,608,708,581,505,814,1323,991,332,1027,814,213,0,0,0,166,0.136850783182193,0,1,101,0,2,32,32,0,0,0,0,505,361,0,0.272916666666644,0,0,0,0.247139826410299,0.307084242251435,0,0,0,0,0,0.29025,2.832,0.651,0.0924160000000002,0,0,0.696600000000001,48.4166666666667,82.5833333333333,67.8333333333333,0.00605193734542458,0.0194,0.0326302211302212,0.05135,0.984846318799142,1441,666,0.0971547536433033,0.100600600600601,0.101726378936844,0.104772537910348,1.7483071,0,667495199556,21203657145,105363559,0,137393488,fixed-hybrid,0,0,0,0.2
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-adaptive,4,NaN,mac-aware-broadcast,ALOHA adaptive,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0768710501582877,0.49959580196574,0,0,9.86344198494414,13.7188482289768,0,1.03650542056274,0.0990934217799888,0.24,0.32,0.459999999999999,0.175986733001658,0.0768933112216695,917,2084,431,321,442,3847,742,3100,1115,442,672,3,5,1,1730,0.719334719334719,0,52,1220,14,2,32,32,0,0,0,0,321,711,26,0.476250000000015,321,10,0,0.372079718595217,0.565788361906713,0,0,0,0,0,0.727833333333294,8.33599999999953,0.398,0.182016000000002,0,0,1.74679999999991,35.9166666666667,61.8333333333333,36.8333333333333,0.00883284823284828,0.024,0.0364705882352942,0.0579999999999998,0.988853104788268,4097,404,0.108127898462289,0.0940594059405941,0.101726378936844,0.104772537910348,1.9571238,0,667495199556,21203657145,105363559,0,137379797,adaptive,1,1,1,0.2
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-piggyback,5,NaN,causal-broadcast,ALOHA piggyback-only,piggyback,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0983544679812829,0.458580427644911,0,0,9.76582919948682,12.8071239984959,0,1.03622159670488,0.149872857932559,0.62,0.9,1.12,0.329021558872305,0.179148700939746,1009,2397,430,0,325,4385,753,3632,1334,325,1009,0,0,0,1956,0.816020025031289,0,50,1438,4,1,32,32,0,0,0,0,0,1334,8,0.49125000000002,0,0,0,0.396387171627474,0.57350809873823,0,0,0,0,0,0.798999999999949,9.58799999999939,0,0.341504,0,0,1.91759999999988,35.8333333333333,62.75,27.0833333333333,0.0102060909470172,0.0262000000000009,0.0497015384615386,0.1138,0.976240760295671,4954,0,0.0997174000807428,0,0.101726378936844,0.104772537910348,1.9082497,0,667495199556,21203657145,105363559,0,107732518,piggyback,1,0,1,0.2
holdout,16022001,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-fixed-hybrid,6,NaN,causal-broadcast,ALOHA fixed-deadline hybrid,hybrid,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0687027677288318,0.512709146110746,0,0,9.86344198494414,13.7188482289768,0,1.03635867941115,0.0960751796572691,0.220000000000001,0.34,0.440000000000001,0.190082918739635,0.094007739082366,953,2213,434,339,395,4018,745,3273,1104,395,709,0,0,0,1891,0.740987460815047,0,57,1317,6,2,32,32,0,0,0,0,339,683,23,0.489250000000018,0,0,0,0.396184479041796,0.527283860454409,0,0,0,0,0,0.772583333333289,8.85199999999947,0.419,0.174848000000002,0,0,1.85419999999989,36.1666666666667,62.0833333333333,32.9166666666667,0.0090517241379311,0.025,0.0346886075949368,0.0563000000000002,0.982607334759247,4325,421,0.0978034682080925,0.104513064133017,0.101726378936844,0.104772537910348,1.7347817,0,667495199556,21203657145,105363559,0,137396765,fixed-hybrid,1,0,0,0.2
holdout,16022002,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-adaptive,1,NaN,mac-aware-broadcast,CSMA adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0535333934575318,0.531746390513396,0,0,9.48217176765279,12.3947405852172,0,1.03665853748876,0.0718076285240464,0.159999999999998,0.200000000000001,0.24,0.136417910447761,0.0646102819237148,702,814,675,61,759,1512,1183,329,934,759,175,0,0,0,120,0.137142857142857,0,2,114,0,2,32,32,0,0,0,0,61,812,4,0.261166666666645,61,0,0,0.235844816899175,0.282237379572921,0,0,0,0,0,0.281,3.256,0.116,0.207872000000002,0,0,0.674400000000001,56.25,98.5833333333333,63.25,0.00692914285714294,0.0213000000000003,0.0451370223978921,0.0959999999999997,0.982384458650913,1823,122,0.0850246845858475,0.0819672131147541,0.0955274120979837,0.0964205965672388,2.7752098,0,667168996002,21186151932,105363559,0,137376919,adaptive,0,1,1,0.2
holdout,16022002,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-piggyback,2,NaN,causal-broadcast,CSMA piggyback-only,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0534326923517592,0.53211908102176,0,0,9.48217176765279,12.3947405852172,0,1.03665307390574,0.0716417910447761,0.140000000000001,0.219999999999999,0.299999999999999,0.140154781647319,0.0685129906025429,689,836,656,0,749,1545,1145,400,982,749,233,0,0,0,159,0.190191387559809,0,3,150,0,1,32,32,0,0,0,0,0,982,3,0.251666666666647,0,0,0,0.223661013218177,0.284466496304673,0,0,0,0,0,0.278666666666667,3.344,0,0.251392000000002,0,0,0.668800000000001,54.6666666666667,95.4166666666667,62.4166666666667,0.00729784688995225,0.0239999999999991,0.0474259012016022,0.108,0.987666108191228,1898,0,0.0879873551106428,0,0.0955274120979837,0.0964205965672388,1.9728342,0,667168996002,21186151932,105363559,0,107729534,piggyback,0,0,1,0.2
holdout,16022002,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,csma-fixed-hybrid,3,NaN,causal-broadcast,CSMA fixed-deadline hybrid,hybrid,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0567938464949409,0.52824829690841,0,0,9.48217176765279,12.3957476223978,0,1.03663712526643,0.077446102819237,0.140000000000001,0.200000000000001,0.34,0.114936428966279,0.0374903261470425,589,693,574,536,810,1283,1004,279,1032,810,222,0,0,0,183,0.148901545972335,0,0,104,0,2,32,32,0,0,0,0,536,342,0,0.27008333333331,0,0,0,0.244839832855397,0.319380435191986,0,0,0,0,0,0.288083333333334,2.772,0.685,0.0875520000000002,0,0,0.691400000000001,47.8333333333333,83.6666666666667,67.5,0.0061171684296176,0.0190000000000001,0.0321456790123457,0.0500000000000007,0.990935065716262,1407,690,0.0895522388059701,0.104347826086957,0.0955274120979837,0.0964205965672388,1.7553408,0,667168996002,21186151932,105363559,0,137393490,fixed-hybrid,0,0,0,0.2
holdout,16022002,n5-moderate,N5 Moderate matched,EXP16 matched route-by-MAC factorial,aloha-adaptive,4,NaN,mac-aware-broadcast,ALOHA adaptive,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0813207273227888,0.469853363894258,0,0,9.6687518234567,13.0072461751638,0,1.03630868065814,0.13983416252073,0.42,0.58,0.700000000000001,0.252824765063571,0.112990602542841,954,2232,439,305,391,4107,779,3328,1164,391,773,0,0,0,1896,0.747339377217186,0,33,1311,5,2,32,32,0,0,0,0,305,766,14,0.511750000000025,305,12,0,0.422944527571713,0.540639699661816,0,0,0,0,0,0.776749999999955,8.92799999999946,0.393,0.196096000000002,0,0,1.86419999999989,36.5833333333333,64.9166666666667,32.5833333333333,0.00977769018525827,0.0259999999999998,0.0355728900255756,0.0590000000000006,0.967499184216471,4394,398,0.0946745562130177,0.0979899497487437,0.0955274120979837,0.0964205965672388,1.917278,0,667168996002,21186151932,105363559,0,137379799,adaptive,1,1,1,0.2
