scenario,scenarioLabel,arm,methodLabel,macType,route,coreFlag,channelRegime,contextModifier,n,nEligible,meanRMSE,meanOfferedUtil,meanTrueAoI,meanChannelUtil,meanCollisions,meanDataAttempts,meanAckAttempts,meanStandaloneAcks,safeFailures,divergences
n10-moderate-bg0,N10 Moderate bg0,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,moderate,nominal,100,100,0.432259875177365,1.75540250000003,0.489910258232647,0.841789166666637,5028.95,5263.93,8.2,8.2,100,0
n10-moderate-bg0,N10 Moderate bg0,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,moderate,nominal,100,100,0.430027228035218,1.7561166666667,0.483333096422649,0.84166749999997,5026.42,5268.35,0,0,100,0
n10-moderate-bg0,N10 Moderate bg0,csma-adaptive,CSMA adaptive,csma,adaptive,1,moderate,nominal,100,100,0.0903648250529821,0.637754166666635,0.0811929400615967,0.551647500000034,506.65,1872.89,82.03,82.12,0,0
n10-moderate-bg0,N10 Moderate bg0,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,moderate,nominal,100,100,0.0891121319635464,0.620906666666635,0.0798289504856668,0.538269166666698,470.98,1862.72,0,0,0,0
n10-moderate-bg30,N10 Moderate bg0.30,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,moderate,nominal,100,100,0.829458869502463,1.47788583333327,1.55665392087183,0.850894999999965,4350.78,4432.91,2.81,2.81,87,0
n10-moderate-bg30,N10 Moderate bg0.30,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,moderate,nominal,100,100,0.824261299204252,1.48138999999994,1.51935039090263,0.851864999999964,4359.83,4444.17,0,0,89,0
n10-moderate-bg30,N10 Moderate bg0.30,csma-adaptive,CSMA adaptive,csma,adaptive,1,moderate,nominal,100,100,0.267194258901469,1.02719583333326,0.266252878464819,0.859446666666626,2589.87,3081.48,0.32,0.32,100,0
n10-moderate-bg30,N10 Moderate bg0.30,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,moderate,nominal,100,100,0.267630242480493,1.02715333333326,0.266803506278133,0.859443333333292,2589.37,3081.46,0,0,100,0
n10-stressed-bg0,N10 Stressed bg0,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,stressed,nominal,100,100,0.492722608688927,1.70119333333335,0.598907841743663,0.832904999999975,4846.77,5101.25,8.51,8.53,100,0
n10-stressed-bg0,N10 Stressed bg0,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,stressed,nominal,100,100,0.493908873977563,1.69738000000001,0.602031509121061,0.832047499999976,4830.22,5092.14,0,0,100,0
n10-stressed-bg0,N10 Stressed bg0,csma-adaptive,CSMA adaptive,csma,adaptive,1,stressed,nominal,100,100,0.108968107132603,0.752658333333288,0.0999841269841269,0.629149166666724,706.61,2238.39,40.46,40.5,0,0
n10-stressed-bg0,N10 Stressed bg0,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,stressed,nominal,100,100,0.108374333735089,0.748333333333288,0.0988333570244018,0.624736666666723,698.2,2245,0,0,0,0
n10-stressed-bg30,N10 Stressed bg0.30,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,stressed,nominal,100,100,0.881252226223967,1.43588833333326,1.82687116796967,0.845033333333301,4219.75,4306.76,3.46,3.46,83,0
n10-stressed-bg30,N10 Stressed bg0.30,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,stressed,nominal,100,100,0.879784589050188,1.43604666666659,1.82830054489457,0.845032499999968,4218.28,4308.14,0,0,82,0
n10-stressed-bg30,N10 Stressed bg0.30,csma-adaptive,CSMA adaptive,csma,adaptive,1,stressed,nominal,100,100,0.32845699737699,1.02619416666659,0.343219663586828,0.859251666666626,2587.14,3078.5,0.28,0.28,100,0
n10-stressed-bg30,N10 Stressed bg0.30,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,stressed,nominal,100,100,0.328658513584363,1.02621999999992,0.342951954513149,0.859335833333292,2587.43,3078.66,0,0,100,0
n5-moderate-bg0,N5 Moderate bg0,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,moderate,nominal,100,100,0.0802813273178932,0.767532499999956,0.118166390270868,0.49350250000002,1875.4,2205.56,309.94,310.12,0,0
n5-moderate-bg0,N5 Moderate bg0,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,moderate,nominal,100,100,0.0888206551389198,0.803673333333282,0.133169043670536,0.498844166666688,1959.87,2411.02,0,0,0,0
n5-moderate-bg0,N5 Moderate bg0,csma-adaptive,CSMA adaptive,csma,adaptive,1,moderate,nominal,100,100,0.0540757971993733,0.282300833333334,0.0725059148700939,0.261818333333312,123.56,816.64,62.9,62.94,0,0
n5-moderate-bg0,N5 Moderate bg0,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,moderate,nominal,100,100,0.0537584514283211,0.276613333333334,0.071686124930901,0.25526999999998,124.06,829.84,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30,aloha-adaptive,ALOHA adaptive,aloha,adaptive,1,moderate,nominal,100,100,0.284073486965385,1.11149499999991,0.44816130458817,0.779628333333339,3220.48,3323.81,38.63,38.7,100,0
n5-moderate-bg30,N5 Moderate bg0.30,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,1,moderate,nominal,100,100,0.283635529690786,1.11086666666658,0.448557987838585,0.779835000000006,3202.11,3332.6,0,0,100,0
n5-moderate-bg30,N5 Moderate bg0.30,csma-adaptive,CSMA adaptive,csma,adaptive,1,moderate,nominal,100,100,0.0877339702950087,0.717347499999958,0.126844333886125,0.75196000000002,1674.49,2147.26,10.53,10.53,0,0
n5-moderate-bg30,N5 Moderate bg0.30,csma-piggyback,CSMA piggyback-only,csma,piggyback,1,moderate,nominal,100,100,0.0873256900205799,0.716513333333291,0.127022222222222,0.751290833333354,1671.13,2149.54,0,0,0,0
n5-moderate-hidden,N5 Moderate hidden-terminal,aloha-adaptive,ALOHA adaptive,aloha,adaptive,0,moderate,hidden-terminal,100,100,0.0797828622345331,0.769546666666623,0.117004090657822,0.49466500000002,1886.6,2210.26,314.4,314.57,0,0
n5-moderate-hidden,N5 Moderate hidden-terminal,aloha-piggyback,ALOHA piggyback-only,aloha,piggyback,0,moderate,hidden-terminal,100,100,0.0888206551389198,0.803673333333282,0.133169043670536,0.498844166666688,1959.87,2411.02,0,0,0,0
