cell,metric,testType,formula,estimate,pairedTLo,pairedTHi,bootstrapLo,bootstrapHi,standardizedDz,oneSidedPRaw,holmAdjustedP,nRequested,nPairs,nDropped,complete,rejectAfterHolm
n5-moderate-reverse,RMSE,csma-simple,piggyback(CSMA)-adaptive(CSMA),0.000248829014638051,5.92258128144293e-05,0.000438432216461672,6.10738223531707e-05,0.000432048852846655,0.260402115651327,NaN,NaN,100,100,0,1,0
n5-moderate-reverse,RMSE,aloha-simple,adaptive(ALOHA)-piggyback(ALOHA),-0.00649544463025251,-0.00981814966960709,-0.00317273959089794,-0.00973671729979939,-0.0031777604212016,-0.387887916344857,NaN,NaN,100,100,0,1,0
n5-moderate-reverse,RMSE,interaction,(adaptive-piggyback)_ALOHA-(adaptive-piggyback)_CSMA,-0.00624661561561446,-0.00955915049004886,-0.00293408074118007,-0.0094625455696088,-0.00291646761935009,-0.374173889917552,NaN,NaN,100,100,0,1,0
n5-moderate-reverse,OFFERED_UTIL,csma-simple,piggyback(CSMA)-adaptive(CSMA),-0.0131683333333333,-0.014973593391676,-0.0113630732749907,-0.0149091666666667,-0.0114116666666667,-1.44737208932259,NaN,NaN,100,100,0,1,0
n5-moderate-reverse,OFFERED_UTIL,aloha-simple,adaptive(ALOHA)-piggyback(ALOHA),0.019776666666668,0.00967821924232822,0.0298751140910078,0.010009916666669,0.0298542916666668,0.388586439052955,NaN,NaN,100,100,0,1,0
n5-moderate-reverse,OFFERED_UTIL,interaction,(adaptive-piggyback)_ALOHA-(adaptive-piggyback)_CSMA,0.00660833333333465,-0.00339587656083652,0.0166125432275058,-0.0030092083333311,0.0166983541666668,0.13106849176941,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,RMSE,csma-simple,piggyback(CSMA)-adaptive(CSMA),0.000273502283594682,-0.000408105227711358,0.000955109794900722,-0.000387634586276031,0.000951096373240847,0.0796188214484771,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,RMSE,aloha-simple,adaptive(ALOHA)-piggyback(ALOHA),-0.00903779290438673,-0.0120702949918118,-0.00600529081696162,-0.0120457912213855,-0.00606451091053853,-0.591357940367931,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,RMSE,interaction,(adaptive-piggyback)_ALOHA-(adaptive-piggyback)_CSMA,-0.00876429062079204,-0.0118834863510829,-0.00564509489050117,-0.0118744142179926,-0.00565706066571959,-0.557523654239671,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,OFFERED_UTIL,csma-simple,piggyback(CSMA)-adaptive(CSMA),-0.00626250000000013,-0.0136830970403554,0.00115809704035515,-0.0135092708333326,0.00105845833333231,-0.167454971503415,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,OFFERED_UTIL,aloha-simple,adaptive(ALOHA)-piggyback(ALOHA),-0.0341266666666593,-0.0445450345192446,-0.023708298814074,-0.0443783749999915,-0.0237756041666605,-0.649955074146486,NaN,NaN,100,100,0,1,0
n5-moderate-hidden,OFFERED_UTIL,interaction,(adaptive-piggyback)_ALOHA-(adaptive-piggyback)_CSMA,-0.0403891666666594,-0.0537503653095611,-0.0270279680237578,-0.0533662083333247,-0.0270023124999943,-0.599802991500398,NaN,NaN,100,100,0,1,0
