gate,passed,detail
registry_contract,1,"hash 123727884 over 122 leaves"
matrix_completeness,1,"4000 frozen runs"
unique_seed_context_arms,1,"one row per seed/context/arm"
complete_matched_groups,1,"all four arms occur once per seed/context"
finite_eligible_outputs,1,"all nondivergent outcomes are finite"
causal_conservatism,1,"0 protocol violations"
bounded_memory,1,"max queue=2 max history=32"
physical_accounting,1,"terminal accounting and busy union close"
cross_mac_absolute_trace,1,"one trace/channel/estimator realization per seed/context"
factor_route_semantics,1,"MAC and route factors match their method contracts"
ack_route_actions,1,"standalone/adaptive actions occur only in adaptive arms"
analytical_access_scaling,1,"configured and actual pAccess equal min(0.20,1/N)"
context_semantics,1,"N/channel/background/modifier/core flags match registry"
divergence_accounting,1,"0 divergences retained"
