cell,role,macType,registeredWinner,registeredLoser,winnerFailures,loserFailures,seedsImproved,seedsWorsened,seedsEqual,nPairs,observedGuardPassed
n5-moderate-bg0,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-moderate-bg0,core,aloha,aloha-adaptive,aloha-piggyback,0,0,0,0,100,100,1
n5-moderate-bg30,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-moderate-bg30,core,aloha,aloha-adaptive,aloha-piggyback,100,100,0,0,100,100,1
n5-stressed-bg0,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-stressed-bg0,core,aloha,aloha-adaptive,aloha-piggyback,0,8,8,0,92,100,1
n5-stressed-bg30,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-stressed-bg30,core,aloha,aloha-adaptive,aloha-piggyback,100,100,0,0,100,100,1
n10-moderate-bg0,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n10-moderate-bg0,core,aloha,aloha-adaptive,aloha-piggyback,100,100,0,0,100,100,1
n10-moderate-bg30,core,csma,csma-piggyback,csma-adaptive,100,100,0,0,100,100,1
n10-moderate-bg30,core,aloha,aloha-adaptive,aloha-piggyback,87,89,3,1,96,100,1
n10-stressed-bg0,core,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n10-stressed-bg0,core,aloha,aloha-adaptive,aloha-piggyback,100,100,0,0,100,100,1
n10-stressed-bg30,core,csma,csma-piggyback,csma-adaptive,100,100,0,0,100,100,1
n10-stressed-bg30,core,aloha,aloha-adaptive,aloha-piggyback,83,82,1,2,97,100,0
n5-moderate-reverse,boundary,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-moderate-reverse,boundary,aloha,aloha-adaptive,aloha-piggyback,0,0,0,0,100,100,1
n5-moderate-hidden,boundary,csma,csma-piggyback,csma-adaptive,0,0,0,0,100,100,1
n5-moderate-hidden,boundary,aloha,aloha-adaptive,aloha-piggyback,0,0,0,0,100,100,1
