cell,role,arm,macType,route,failures,n,rate,wilsonLo,wilsonHi,divergences
n5-moderate-bg0,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-bg0,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-bg0,core,aloha-adaptive,aloha,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-bg0,core,aloha-piggyback,aloha,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-bg30,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-bg30,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-bg30,core,aloha-adaptive,aloha,adaptive,100,100,1,0.963006501793014,1,0
n5-moderate-bg30,core,aloha-piggyback,aloha,piggyback,100,100,1,0.963006501793014,1,0
n5-stressed-bg0,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-stressed-bg0,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-stressed-bg0,core,aloha-adaptive,aloha,adaptive,0,100,0,0,0.0369934982069857,0
n5-stressed-bg0,core,aloha-piggyback,aloha,piggyback,8,100,0.08,0.0410934614843806,0.149981077009487,0
n5-stressed-bg30,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-stressed-bg30,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-stressed-bg30,core,aloha-adaptive,aloha,adaptive,100,100,1,0.963006501793014,1,0
n5-stressed-bg30,core,aloha-piggyback,aloha,piggyback,100,100,1,0.963006501793014,1,0
n10-moderate-bg0,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n10-moderate-bg0,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n10-moderate-bg0,core,aloha-adaptive,aloha,adaptive,100,100,1,0.963006501793014,1,0
n10-moderate-bg0,core,aloha-piggyback,aloha,piggyback,100,100,1,0.963006501793014,1,0
n10-moderate-bg30,core,csma-adaptive,csma,adaptive,100,100,1,0.963006501793014,1,0
n10-moderate-bg30,core,csma-piggyback,csma,piggyback,100,100,1,0.963006501793014,1,0
n10-moderate-bg30,core,aloha-adaptive,aloha,adaptive,87,100,0.87,0.790196485599236,0.922428325727595,0
n10-moderate-bg30,core,aloha-piggyback,aloha,piggyback,89,100,0.89,0.813687034969197,0.937458036429354,0
n10-stressed-bg0,core,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n10-stressed-bg0,core,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n10-stressed-bg0,core,aloha-adaptive,aloha,adaptive,100,100,1,0.963006501793014,1,0
n10-stressed-bg0,core,aloha-piggyback,aloha,piggyback,100,100,1,0.963006501793014,1,0
n10-stressed-bg30,core,csma-adaptive,csma,adaptive,100,100,1,0.963006501793014,1,0
n10-stressed-bg30,core,csma-piggyback,csma,piggyback,100,100,1,0.963006501793014,1,0
n10-stressed-bg30,core,aloha-adaptive,aloha,adaptive,83,100,0.83,0.744519952323989,0.891064338859401,0
n10-stressed-bg30,core,aloha-piggyback,aloha,piggyback,82,100,0.82,0.733326416136993,0.882997745010536,0
n5-moderate-reverse,boundary,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-reverse,boundary,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-reverse,boundary,aloha-adaptive,aloha,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-reverse,boundary,aloha-piggyback,aloha,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-hidden,boundary,csma-adaptive,csma,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-hidden,boundary,csma-piggyback,csma,piggyback,0,100,0,0,0.0369934982069857,0
n5-moderate-hidden,boundary,aloha-adaptive,aloha,adaptive,0,100,0,0,0.0369934982069857,0
n5-moderate-hidden,boundary,aloha-piggyback,aloha,piggyback,0,100,0,0,0.0369934982069857,0
