context,role,N,macType,serviceFeasible,serviceRatio,candidateRMSE,candidateOffered,deltaRmseVsPiggy,deltaOfferedVsPiggy,deltaRmseVsAdaptive,deltaOfferedVsAdaptive,candidateFailures,piggyFailures,adaptiveFailures,legacyFailures,failureNonincrease,jointlyWorseBoth,collisionFrameReductionVsLegacy,meanStandaloneAck,valueBlocks,feasibilityBlocks
n5-moderate-bg0,core,5,csma,1,2.94231650403055,0.0543630542304787,0.28075,0.000798837201288226,0.00408333333333338,0.000166523228054154,-0.00225000000000014,0,0,0,0,1,0,0.0550898203592815,60.35,55,0
n5-moderate-bg0,core,5,aloha,1,1.15550179253386,0.0826905411198007,0.3181375,0.00431317511294738,0.00608749999999997,4.17966626535815e-05,-0.00242083333333343,0,0,0,0,1,0,0.78003430911405,156.1,297,0
n5-moderate-bg30,core,5,csma,0,0.706450192617734,0.0867404033741107,0.716349999999958,0,0,-0.00122791948790331,-0.000879166666666542,0,0,0,0,1,0,0,0,0,372
n5-moderate-bg30,core,5,aloha,0,0.27743598038738,0.249482431664676,0.468216666666652,0,0,-0.00221285556125345,0.000679166666666398,20,20,20,20,1,0,0.611616493169527,0,0,518
n5-stressed-bg0,core,5,csma,1,2.31344929995757,0.0626132758015707,0.343341666666666,7.18579664898827e-05,0.00679166666666647,0.000185638117854173,0.00247083333333314,0,0,0,0,1,1,-0.0404411764705884,36.5,170,0
n5-stressed-bg0,core,5,aloha,0,0.908534078293511,0.0965843062317386,0.33755,0,0,-0.00420886477762347,-0.00527083333333372,0,0,0,1,1,0,0.810194654471078,0,0,5749
n5-stressed-bg30,core,5,csma,0,0.555459176919813,0.106775690375211,0.753733333333287,0,0,-0.000422041382771535,-0.00444166666666623,0,0,0,0,1,0,0,0,0,183
n5-stressed-bg30,core,5,aloha,0,0.218139032198272,0.307756835910075,0.466283333333319,0,0,-0.00217560235279796,0.000475000000000003,20,20,20,20,1,0,0.605643232902917,0,0,381
n10-moderate-bg0,core,10,csma,1,1.42117082430056,0.0901738581639123,0.629562499999968,0.000670429460798011,0.00681249999999989,-0.000308693907725685,-0.00987499999999975,0,0,0,0,1,0,-0.00563850892763911,52.2,994,0
n10-moderate-bg0,core,10,aloha,0,0.57357928232612,0.212540412668474,0.452716666666654,0,0,-0.00384289511977542,0.00609999999999861,13,13,15,20,1,0,0.856905041966546,0,0,3481
n10-moderate-bg30,core,10,csma,0,0.341223114914565,0.261665548504295,1.02864999999992,0,0,0.000366238663188134,-4.58333333324124e-05,20,20,20,20,1,0,0,0,0,84
n10-moderate-bg30,core,10,aloha,0,0.137716385686501,0.612730118519323,0.504849999999981,0,0,0.00380956127587395,0.000624999999999876,20,20,20,19,1,0,0.692556928638829,0,0,478
n10-stressed-bg0,core,10,csma,1,1.11742113538583,0.108723238209452,0.748908333333288,0.000296590041542588,-0.0026416666666661,-0.000494267473428942,-0.00412500000000016,0,0,0,0,1,0,0.0139850160542275,3.45,1038,0
n10-stressed-bg0,core,10,aloha,0,0.450987032615222,0.26437871520965,0.45603333333332,0,0,-0.00425318385067608,0.00657499999999861,20,20,20,20,1,0,0.850661042234683,0,0,2506
n10-stressed-bg30,core,10,csma,0,0.268292814606137,0.322035786450984,1.02769999999992,0,0,0.000888524315330708,-0.000483333333332947,20,20,20,20,1,0,0,0,0,53
n10-stressed-bg30,core,10,aloha,0,0.108281986530915,0.723014919113449,0.494166666666649,0,0,-0.00197500205336032,0.00141249999999976,20,20,20,16,1,0,0.690214264749046,0,0,549
n5-moderate-reverse,boundary,5,csma,1,2.94231650403055,0.0534536430650469,0.288858333333334,-0.000110573964143601,0.0121916666666667,1.80054941691168e-05,-8.75000000001291e-05,0,0,0,0,1,0,-0.00718562874251502,61.9,51,0
n5-moderate-reverse,boundary,5,aloha,1,1.15550179253386,0.0813814135953606,0.325425,0.00300404758850731,0.0133749999999999,0.000224894374485446,0.000862500000000044,0,0,0,0,1,1,0.794792434291329,152.35,234,0
n5-moderate-hidden,boundary,5,csma,1,2.94231650403055,0.0601235768787853,0.503720833333316,0.000276009934824441,0.00858749999999953,0.000323691528812654,-0.00278749999999972,0,0,0,0,1,0,-0.017001901907671,43.4,118,0
n5-moderate-hidden,boundary,5,aloha,1,1.15550179253386,0.0827750474156378,0.3197625,0.00439768140878451,0.00771250000000001,0.000126302958490712,-0.000795833333333384,0,0,0,0,1,0,0.777084764390713,155.6,196,0
