gate,passed,detail
registry_recorded,1,development hash 63351141 over 102 leaves
matrix_completeness,1,400 amendment runs
unique_rows,1,one row per seed/context/MAC
exact_reference_trace,1,candidate matches canonical EXP18A exogenous realizations
finite_outputs,1,all development outcomes and certificate ratios are finite
causal_conservatism,1,0 protocol violations
bounded_memory,1,max queue=2 max history=32
physical_accounting,1,terminal recipient and busy-union accounting close
candidate_semantics,1,one enabled service-certificate/value candidate
access_geometry,1,CSMA 1/N and ALOHA 1/[N(2L-1)] are exact
decision_accounting,1,every context decision has exactly one outcome
static_certificate,1,certificate is seed-independent within declared context/MAC
infeasible_abstention,1,certificate-infeasible trajectories emit no standalone ACK
calibration_boundary,1,reverse boundary retains declared nominal mismatch
