context,role,N,macType,serviceFeasible,serviceRatio,candidateRMSE,candidateOffered,deltaRmseVsPiggy,deltaOfferedVsPiggy,deltaRmseVsAdaptive,deltaOfferedVsAdaptive,candidateFailures,piggyFailures,adaptiveFailures,legacyFailures,failureNonincrease,jointlyWorseBoth,collisionFrameReductionVsLegacy,meanStandaloneAck,valueBlocks,feasibilityBlocks,maxPiggyAliasDifference
n5-moderate-bg0,core,5,csma,1,2.94231650403055,0.0542373264040631,0.283425,0.000673109374872548,0.00675833333333331,4.07954016384757e-05,0.000424999999999787,0,0,0,0,1,1,-0.0359281437125748,52.65,364,0,63
n5-moderate-bg0,core,5,aloha,1,1.15550179253386,0.0810693284786245,0.313345833333334,0.00269196247177116,0.00129583333333327,-0.00157941597852264,-0.00721250000000012,0,0,0,0,1,0,0.790465386530906,118.7,2696,0,134
n5-moderate-bg30,core,5,csma,0,0.706450192617734,0.0867404033741107,0.716349999999958,0,0,-0.00122791948790331,-0.000879166666666542,0,0,0,0,1,0,0,0,0,372,0
n5-moderate-bg30,core,5,aloha,0,0.27743598038738,0.249482431664676,0.468216666666652,0,0,-0.00221285556125345,0.000679166666666398,20,20,20,20,1,0,0.611616493169527,0,0,518,0
n5-stressed-bg0,core,5,csma,1,2.31344929995757,0.0626831726912442,0.339225,0.000141754856163426,0.00267499999999976,0.000255535007527716,-0.00164583333333357,0,0,0,0,1,0,-0.0159313725490197,19.2,616,0,65
n5-stressed-bg0,core,5,aloha,0,0.908534078293511,0.0965843062317386,0.33755,0,0,-0.00420886477762347,-0.00527083333333372,0,0,0,1,1,0,0.810194654471078,0,0,5749,0
n5-stressed-bg30,core,5,csma,0,0.555459176919813,0.106775690375211,0.753733333333287,0,0,-0.000422041382771535,-0.00444166666666623,0,0,0,0,1,0,0,0,0,183,0
n5-stressed-bg30,core,5,aloha,0,0.218139032198272,0.307756835910075,0.466283333333319,0,0,-0.00217560235279796,0.000475000000000003,20,20,20,20,1,0,0.605643232902917,0,0,381,0
n10-moderate-bg0,core,10,csma,1,1.42117082430056,0.0896102199859551,0.621833333333302,0.000106791282840801,-0.000916666666666233,-0.000872332085682895,-0.0176041666666659,0,0,0,0,1,0,0.0222407852145767,19.1,1977,0,105
n10-moderate-bg0,core,10,aloha,0,0.57357928232612,0.212540412668474,0.452716666666654,0,0,-0.00384289511977542,0.00609999999999861,13,13,15,20,1,0,0.856905041966546,0,0,3481,0
n10-moderate-bg30,core,10,csma,0,0.341223114914565,0.261665548504295,1.02864999999992,0,0,0.000366238663188134,-4.58333333324124e-05,20,20,20,20,1,0,0,0,0,84,0
n10-moderate-bg30,core,10,aloha,0,0.137716385686501,0.612730118519323,0.504849999999981,0,0,0.00380956127587395,0.000624999999999876,20,20,20,19,1,0,0.692556928638829,0,0,478,0
n10-stressed-bg0,core,10,csma,1,1.11742113538583,0.108312941904555,0.750829166666621,-0.000113706263355093,-0.000720833333333171,-0.000904563778326622,-0.00220416666666723,0,0,0,0,1,0,0.0024259721726722,0.2,1150,0,40
n10-stressed-bg0,core,10,aloha,0,0.450987032615222,0.26437871520965,0.45603333333332,0,0,-0.00425318385067608,0.00657499999999861,20,20,20,20,1,0,0.850661042234683,0,0,2506,0
n10-stressed-bg30,core,10,csma,0,0.268292814606137,0.322035786450984,1.02769999999992,0,0,0.000888524315330708,-0.000483333333332947,20,20,20,20,1,0,0,0,0,53,0
n10-stressed-bg30,core,10,aloha,0,0.108281986530915,0.723014919113449,0.494166666666649,0,0,-0.00197500205336032,0.00141249999999976,20,20,20,16,1,0,0.690214264749046,0,0,549,0
n5-moderate-reverse,boundary,5,csma,1,2.94231650403055,0.0534891400585807,0.285583333333334,-7.50769706098151e-05,0.00891666666666685,5.35024877029028e-05,-0.00336249999999993,0,0,0,0,1,0,0.0395209580838324,52.55,358,0,61
n5-moderate-reverse,boundary,5,aloha,1,1.15550179253386,0.0812845405477897,0.320754166666667,0.00290717454093641,0.00870416666666662,0.000128021326914543,-0.00380833333333325,0,0,0,0,1,0,0.805379513633014,112.5,2630,0,127
n5-moderate-hidden,boundary,5,csma,1,2.94231650403055,0.0600920182567518,0.505087499999982,0.000244451312790959,0.00995416666666571,0.000292132906779173,-0.00142083333333354,0,0,0,0,1,0,-0.0229957927496975,34.35,416,0,255
n5-moderate-hidden,boundary,5,aloha,1,1.15550179253386,0.0819140218040757,0.316833333333334,0.00353665579722237,0.00478333333333331,-0.000734722653071423,-0.00372500000000009,0,0,0,0,1,0,0.783239455969227,129.6,1938,0,149
