seed,context,macType,serviceFeasible,referenceArm,maxAliasDifference
16024001,n5-moderate-bg0,csma,1,frame-piggyback,0
16024001,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024001,n5-moderate-bg30,csma,0,frame-piggyback,0
16024001,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024001,n5-stressed-bg0,csma,1,frame-piggyback,0
16024001,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024001,n5-stressed-bg30,csma,0,frame-piggyback,0
16024001,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024001,n10-moderate-bg0,csma,1,frame-piggyback,0
16024001,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024001,n10-moderate-bg30,csma,0,frame-piggyback,0
16024001,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024001,n10-stressed-bg0,csma,1,frame-piggyback,0
16024001,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024001,n10-stressed-bg30,csma,0,frame-piggyback,0
16024001,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024001,n5-moderate-reverse,csma,1,frame-piggyback,0
16024001,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024001,n5-moderate-hidden,csma,1,frame-piggyback,0
16024001,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024002,n5-moderate-bg0,csma,1,frame-piggyback,0
16024002,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024002,n5-moderate-bg30,csma,0,frame-piggyback,0
16024002,n5-moderate-bg30,aloha,0,frame-piggyback,0
16024002,n5-stressed-bg0,csma,1,frame-piggyback,0
16024002,n5-stressed-bg0,aloha,0,frame-piggyback,0
16024002,n5-stressed-bg30,csma,0,frame-piggyback,0
16024002,n5-stressed-bg30,aloha,0,frame-piggyback,0
16024002,n10-moderate-bg0,csma,1,frame-piggyback,0
16024002,n10-moderate-bg0,aloha,0,frame-piggyback,0
16024002,n10-moderate-bg30,csma,0,frame-piggyback,0
16024002,n10-moderate-bg30,aloha,0,frame-piggyback,0
16024002,n10-stressed-bg0,csma,1,frame-piggyback,0
16024002,n10-stressed-bg0,aloha,0,frame-piggyback,0
16024002,n10-stressed-bg30,csma,0,frame-piggyback,0
16024002,n10-stressed-bg30,aloha,0,frame-piggyback,0
16024002,n5-moderate-reverse,csma,1,frame-piggyback,0
16024002,n5-moderate-reverse,aloha,1,frame-adaptive,0
16024002,n5-moderate-hidden,csma,1,frame-piggyback,0
16024002,n5-moderate-hidden,aloha,1,frame-adaptive,0
16024003,n5-moderate-bg0,csma,1,frame-piggyback,0
16024003,n5-moderate-bg0,aloha,1,frame-adaptive,0
16024003,n5-moderate-bg30,csma,0,frame-piggyback,0
