context,role,N,macType,deltaRmseVsLegacy,deltaOfferedVsLegacy,offeredReductionVsLegacy,collisionReductionVsLegacy,deltaRmseVsPiggy,deltaOfferedVsPiggy,deltaRmseVsAdaptive,deltaOfferedVsAdaptive,candidateFailures,piggyFailures,adaptiveFailures,failureNonincrease,jointlyWorseBoth
n5-moderate-bg0,core,5,csma,0.000798837201288226,0.00408333333333338,-0.0147590361445785,0.100793382901855,0.000798837201288226,0.00408333333333338,0.000166523228054154,-0.00225000000000014,0,0,0,1,0
n5-moderate-bg0,core,5,aloha,0.00730183543324192,-0.429954166666625,0.57473460248853,0.488084137330307,0.00431317511294738,0.00608749999999997,4.17966626535815e-05,-0.00242083333333343,0,0,0,1,0
n5-moderate-bg30,core,5,csma,-8.61019082776388e-05,-0.000600000000000045,0.000837579395546981,0.000253293006568378,-8.61019082776388e-05,-0.000600000000000045,-0.00131402139618095,-0.00147916666666659,0,0,0,1,0
n5-moderate-bg30,core,5,aloha,-0.0113408060581897,-0.636483333333263,0.576226815090306,0.0773911143560805,0.00352042679968889,-0.000129166666666347,0.00130757123843545,0.00055000000000005,20,20,20,1,0
n5-stressed-bg0,core,5,csma,7.18579664898827e-05,0.00679166666666647,-0.0201802604863066,-0.000187773809073942,7.18579664898827e-05,0.00679166666666647,0.000185638117854173,0.00247083333333314,0,0,0,1,1
n5-stressed-bg0,core,5,aloha,-0.00613176489816791,-0.53301666666661,0.610706118805144,0.490495606513371,0.00379750557705351,0.00222083333333395,-0.000411359200569963,-0.00304999999999978,0,0,0,1,0
n5-stressed-bg30,core,5,csma,0,8.33333333338793e-06,-1.10560764196733e-05,-6.15321161143998e-06,0,8.33333333338793e-06,-0.000422041382771535,-0.00443333333333285,0,0,0,1,0
n5-stressed-bg30,core,5,aloha,-0.0424789045261306,-0.618783333333265,0.570254661628709,0.0749453038748736,0.000238811560367147,3.33333333331631e-05,-0.00193679079243081,0.000508333333333166,20,20,20,1,0
n10-moderate-bg0,core,10,csma,0.000670429460798011,0.00681249999999989,-0.0109393817743882,0.019076155115904,0.000670429460798011,0.00681249999999989,-0.000308693907725685,-0.00987499999999975,0,0,0,1,0
n10-moderate-bg0,core,10,aloha,-0.216472084699418,-1.30407500000004,0.744698114329914,0.453373838046193,0.0045951684673895,-0.00564583333333196,0.000752273347614074,0.000454166666666644,14,13,15,0,0
n10-moderate-bg30,core,10,csma,-0.000366238663188134,5.41666666664664e-05,-5.26580145496237e-05,-5.24162608471764e-05,-0.000366238663188134,5.41666666664664e-05,0,8.33333333405406e-06,20,20,20,1,0
n10-moderate-bg30,core,10,aloha,-0.199407501050678,-0.989545833333296,0.662363234240038,0.0907217204229588,0.000556350952031548,-0.000433333333333619,0.0043659122279055,0.000191666666666257,20,20,20,1,0
n10-stressed-bg0,core,10,csma,0.000296590041542588,-0.0026416666666661,0.00351495797573849,0.0112676807674301,0.000296590041542588,-0.0026416666666661,-0.000494267473428942,-0.00412500000000016,0,0,0,1,0
n10-stressed-bg0,core,10,aloha,-0.231841058533234,-1.25266666666669,0.734807804644374,0.448600261261028,0.0049252752246019,-0.00394583333333226,0.000672091373925821,0.00262916666666635,20,20,20,1,0
n10-stressed-bg30,core,10,csma,0,0,0,0,0,0,0.000888524315330708,-0.000483333333332947,20,20,20,1,0
n10-stressed-bg30,core,10,aloha,-0.155154712918822,-0.953841666666612,0.65873422383876,0.091887224842895,7.71234160557022e-06,-1.66666666667203e-05,-0.00196728971175475,0.00139583333333304,20,20,20,1,0
n5-moderate-reverse,boundary,5,csma,-0.000110573964143601,0.0121916666666667,-0.0440662650602409,0.0664390597185192,-0.000110573964143601,0.0121916666666667,1.80054941691168e-05,-8.75000000001291e-05,0,0,0,1,0
n5-moderate-reverse,boundary,5,aloha,-0.00151861008382839,-0.49674999999995,0.604190105512792,0.49164693442489,0.00300404758850731,0.0133749999999999,0.000224894374485446,0.000862500000000044,0,0,0,1,1
n5-moderate-hidden,boundary,5,csma,0.000276009934824441,0.00858749999999953,-0.0173438131143123,0.0164752059107046,0.000276009934824441,0.00858749999999953,0.000323691528812654,-0.00278749999999972,0,0,0,1,0
n5-moderate-hidden,boundary,5,aloha,0.00396578426806021,-0.430608333333291,0.573860702208328,0.481116669579758,0.00439768140878451,0.00771250000000001,0.000126302958490712,-0.000795833333333384,0,0,0,1,0
