context,role,N,macType,arm,meanRMSE,meanOffered,meanTrueAoI,meanCollisionRate,failureCount,meanPAccess,meanStandaloneAck,contextEvaluated,contextPermitted,contextBlockedFeasibility,contextBlockedValue
n5-moderate-bg0,core,5,csma,legacy-selector,0.0535642170291905,0.276666666666667,0.0716014372581536,0.150190827842071,0,0.2,0,0,0,0,0
n5-moderate-bg0,core,5,csma,frame-piggyback,0.0535642170291905,0.276666666666667,0.0716014372581536,0.150190827842071,0,0.2,0,0,0,0,0
n5-moderate-bg0,core,5,csma,frame-adaptive,0.0541965310024246,0.283,0.0724245439469319,0.138957415951845,0,0.2,63.8,0,0,0,0
n5-moderate-bg0,core,5,csma,context-aware,0.0543630542304787,0.28075,0.0729485903814261,0.135052586223039,0,0.2,60.35,1262,1207,0,55
n5-moderate-bg0,core,5,aloha,legacy-selector,0.0753887056865588,0.748091666666625,0.108321171918187,0.732583234962579,0,0.2,321.9,0,0,0,0
n5-moderate-bg0,core,5,aloha,frame-piggyback,0.0783773660068533,0.31205,0.111921503593145,0.390880431460136,0,0.0285714285714286,0,0,0,0,0
n5-moderate-bg0,core,5,aloha,frame-adaptive,0.0826487444571471,0.320558333333334,0.1207954671089,0.381955114870081,0,0.0285714285714286,160.1,0,0,0,0
n5-moderate-bg0,core,5,aloha,context-aware,0.0826905411198007,0.3181375,0.119878385848535,0.375020978703223,0,0.0285714285714286,156.1,3756,3459,0,297
n5-moderate-bg30,core,5,csma,legacy-selector,0.0867404033741107,0.716349999999958,0.125804311774461,0.778176047934094,0,0.2,0,0,0,0,0
n5-moderate-bg30,core,5,csma,frame-piggyback,0.0867404033741107,0.716349999999958,0.125804311774461,0.778176047934094,0,0.2,0,0,0,0,0
n5-moderate-bg30,core,5,csma,frame-adaptive,0.087968322862014,0.717229166666625,0.131187949143173,0.776517513261076,0,0.2,10.5,0,0,0,0
n5-moderate-bg30,core,5,csma,context-aware,0.0866543014658331,0.715749999999958,0.126313432835821,0.777978941383273,0,0.2,0.7,371,14,0,357
n5-moderate-bg30,core,5,aloha,legacy-selector,0.264343664522555,1.10457083333325,0.44588170259812,0.957051459518174,20,0.2,39,0,0,0,0
n5-moderate-bg30,core,5,aloha,frame-piggyback,0.249482431664676,0.468216666666652,0.397741293532338,0.884385307956058,20,0.0285714285714286,0,0,0,0,0
n5-moderate-bg30,core,5,aloha,frame-adaptive,0.25169528722593,0.467537499999986,0.394865118850193,0.88157226515551,20,0.0285714285714286,12.05,0,0,0,0
n5-moderate-bg30,core,5,aloha,context-aware,0.253002858464365,0.468087499999986,0.401274737423991,0.882984180569949,20,0.0285714285714286,6.95,366,140,0,226
n5-stressed-bg0,core,5,csma,legacy-selector,0.0625414178350808,0.33655,0.0866556108347152,0.161450191250659,0,0.2,0,0,0,0,0
n5-stressed-bg0,core,5,csma,frame-piggyback,0.0625414178350808,0.33655,0.0866556108347152,0.161450191250659,0,0.2,0,0,0,0,0
n5-stressed-bg0,core,5,csma,frame-adaptive,0.0624276376837165,0.340870833333333,0.0860143725815367,0.156871888977067,0,0.2,41.2,0,0,0,0
n5-stressed-bg0,core,5,csma,context-aware,0.0626132758015707,0.343341666666666,0.0866987285793255,0.161480507368046,0,0.2,36.5,900,730,0,170
n5-stressed-bg0,core,5,aloha,legacy-selector,0.10651357670696,0.872787499999944,0.164584300718629,0.783391469322795,1,0.2,227.15,0,0,0,0
n5-stressed-bg0,core,5,aloha,frame-piggyback,0.0965843062317386,0.33755,0.141375898286346,0.407326031555606,0,0.0285714285714286,0,0,0,0,0
n5-stressed-bg0,core,5,aloha,frame-adaptive,0.100793171009362,0.342820833333333,0.149189607517966,0.405655680801168,0,0.0285714285714286,115.9,0,0,0,0
n5-stressed-bg0,core,5,aloha,context-aware,0.100381811808792,0.339770833333333,0.146636815920398,0.39914139543991,0,0.0285714285714286,113.4,2811,2445,0,366
n5-stressed-bg30,core,5,csma,legacy-selector,0.106775690375211,0.753733333333287,0.157584300718629,0.78211532390269,0,0.2,0,0,0,0,0
n5-stressed-bg30,core,5,csma,frame-piggyback,0.106775690375211,0.753733333333287,0.157584300718629,0.78211532390269,0,0.2,0,0,0,0,0
n5-stressed-bg30,core,5,csma,frame-adaptive,0.107197731757983,0.758174999999954,0.160960199004975,0.784044656561232,0,0.2,4.75,0,0,0,0
n5-stressed-bg30,core,5,csma,context-aware,0.106775690375211,0.753741666666621,0.157584300718629,0.782120136423783,0,0.2,0.05,183,1,0,182
n5-stressed-bg30,core,5,aloha,legacy-selector,0.350474551996573,1.08509999999992,0.597876174682145,0.955708669122533,20,0.2,36.2,0,0,0,0
n5-stressed-bg30,core,5,aloha,frame-piggyback,0.307756835910075,0.466283333333319,0.513270867882808,0.884144705351105,20,0.0285714285714286,0,0,0,0,0
n5-stressed-bg30,core,5,aloha,frame-adaptive,0.309932438262873,0.465808333333319,0.510851299060254,0.882345361841946,20,0.0285714285714286,9.95,0,0,0,0
n5-stressed-bg30,core,5,aloha,context-aware,0.307995647470442,0.466316666666652,0.514592592592592,0.884082792499294,20,0.0285714285714286,1.25,350,25,0,325
n10-moderate-bg0,core,10,csma,legacy-selector,0.0895034287031143,0.622749999999968,0.0798467187870172,0.255932215427839,0,0.1,0,0,0,0,0
n10-moderate-bg0,core,10,csma,frame-piggyback,0.0895034287031143,0.622749999999968,0.0798467187870172,0.255932215427839,0,0.1,0,0,0,0,0
n10-moderate-bg0,core,10,csma,frame-adaptive,0.090482552071638,0.639437499999968,0.08127789623312,0.260189173097961,0,0.1,81.5,0,0,0,0
n10-moderate-bg0,core,10,csma,context-aware,0.0901738581639123,0.629562499999968,0.0808694622127457,0.251050012787181,0,0.1,52.2,2038,1044,0,994
n10-moderate-bg0,core,10,aloha,legacy-selector,0.433607665835282,1.75114583333336,0.493043117744611,0.953550394621082,20,0.1,9.35,0,0,0,0
n10-moderate-bg0,core,10,aloha,frame-piggyback,0.212540412668474,0.452716666666654,0.203319118692253,0.528099173997644,13,0.0142857142857143,0,0,0,0,0
n10-moderate-bg0,core,10,aloha,frame-adaptive,0.21638330778825,0.446616666666655,0.20768253968254,0.518890450465399,15,0.0142857142857143,78.65,0,0,0,0
n10-moderate-bg0,core,10,aloha,context-aware,0.217135581135864,0.447070833333322,0.208831082681829,0.52123559244126,14,0.0142857142857143,75.15,1762,1609,0,153
n10-moderate-bg30,core,10,csma,legacy-selector,0.261665548504295,1.02864999999992,0.259044776119403,0.836961750899977,20,0.1,0,0,0,0,0
n10-moderate-bg30,core,10,csma,frame-piggyback,0.261665548504295,1.02864999999992,0.259044776119403,0.836961750899977,20,0.1,0,0,0,0,0
n10-moderate-bg30,core,10,csma,frame-adaptive,0.261299309841106,1.02869583333326,0.258423833214878,0.836981578086676,20,0.1,0.3,0,0,0,0
n10-moderate-bg30,core,10,csma,context-aware,0.261299309841106,1.02870416666659,0.258423833214878,0.837005621305431,20,0.1,0.05,85,1,0,84
n10-moderate-bg30,core,10,aloha,legacy-selector,0.812693970522033,1.49396249999994,1.4949798625918,0.980926335035485,19,0.1,2.2,0,0,0,0
n10-moderate-bg30,core,10,aloha,frame-piggyback,0.612730118519323,0.504849999999981,0.782213456526889,0.89277243560552,20,0.0142857142857143,0,0,0,0,0
n10-moderate-bg30,core,10,aloha,frame-adaptive,0.608920557243449,0.504224999999982,0.784646766169154,0.889921901793524,20,0.0142857142857143,11.75,0,0,0,0
n10-moderate-bg30,core,10,aloha,context-aware,0.613286469471354,0.504416666666648,0.780881070836294,0.891935010312878,20,0.0142857142857143,4.1,368,83,0,285
n10-stressed-bg0,core,10,csma,legacy-selector,0.10842664816791,0.751549999999954,0.0981968727789623,0.310542285246358,0,0.1,0,0,0,0,0
