stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,route,accessDesign,ackDesign,coreFlag,channelRegime,contextModifier,basePAccess,dataFrameSlots,calibratedAckSuccessMean,calibrationSource,CONTEXT_ACK_EVALUATED,CONTEXT_ACK_PERMITTED,CONTEXT_ACK_BLOCKED_FEASIBILITY,CONTEXT_ACK_BLOCKED_VALUE
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,legacy-selector,1,0,causal-broadcast,Legacy MAC-only selector,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0533092812299427,0.532849411599625,0,0,9.63996476999559,12.2759361050405,0,1.03668339314652,0.0711995577667219,0.140000000000001,0.199999999999999,0.279999999999999,0.139900497512438,0.0687009397457159,711,821,674,0,741,1504,1179,325,931,741,190,0,0,0,117,0.142509135200974,0,3,113,0,1,32,32,0,0,0,0,0,931,3,0.253333333333313,0,0,0,0.224522188895052,0.294565363851473,0,0,0,0,0,0.273666666666667,3.284,0,0.238336000000002,0,0,0.6568,56.1666666666667,98.25,61.75,0.00700974421437276,0.0219999999999998,0.0450809716599191,0.097,0.990031600740983,1852,0,0.0950323974082073,0,0.09568071988002,0.0983436093984336,5.7125219,0,666551617013,21191278076,105363559,0,135381502,piggyback,legacy-n,mac-selector,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,frame-piggyback,2,0,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0533092812299427,0.532849411599625,0,0,9.63996476999559,12.2759361050405,0,1.03668339314652,0.0711995577667219,0.140000000000001,0.199999999999999,0.279999999999999,0.139900497512438,0.0687009397457159,711,821,674,0,741,1504,1179,325,931,741,190,0,0,0,117,0.142509135200974,0,3,113,0,1,32,32,0,0,0,0,0,931,3,0.253333333333313,0,0,0,0.224522188895052,0.294565363851473,0,0,0,0,0,0.273666666666667,3.284,0,0.238336000000002,0,0,0.6568,56.1666666666667,98.25,61.75,0.00700974421437276,0.0219999999999998,0.0450809716599191,0.097,0.990031600740983,1852,0,0.0950323974082073,0,0.09568071988002,0.0983436093984336,4.4423219,0,666551617013,21191278076,105363559,0,135380815,piggyback,frame-aware,piggyback,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,frame-adaptive,3,0,mac-aware-broadcast,Frame-aware legacy adaptive,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0541101152607754,0.530807615376667,0,0,9.63996476999559,12.2759361050405,0,1.03667631983747,0.0724378109452736,0.140000000000001,0.2184,0.32,0.139955776672194,0.067517965726921,702,806,659,60,752,1489,1161,328,944,752,192,0,0,0,116,0.133949191685912,0,4,108,0,2,32,32,0,0,0,0,60,810,3,0.259166666666645,60,0,0,0.232190009839504,0.289880173879279,0,0,0,0,0,0.278333333333334,3.224,0.116,0.207360000000002,0,0,0.668000000000001,54.9166666666667,96.75,62.6666666666667,0.00702655889145502,0.0210000000000008,0.0462380319148937,0.107450000000001,0.984217384899546,1783,134,0.0858104318564218,0.119402985074627,0.09568071988002,0.0983436093984336,4.51688390000001,0,666551617013,21191278076,105363559,0,135386119,adaptive,frame-aware,legacy-adaptive,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,context-aware,4,0,context-aware-broadcast,Context-aware feasibility/value,adaptive,5,ring2,6dof,csma,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0541101152607754,0.530807615376667,0,0,9.63996476999559,12.2759361050405,0,1.03667631983747,0.0724378109452736,0.140000000000001,0.2184,0.32,0.139889441680486,0.0674516307352129,702,806,659,60,749,1489,1161,328,941,749,192,0,0,0,116,0.133949191685912,0,4,108,0,2,32,32,0,0,0,0,60,807,3,0.259166666666645,60,4,0,0.232198124666316,0.289880173922531,0,0,0,0,0,0.278333333333334,3.224,0.116,0.206592000000002,0,0,0.668000000000001,54.9166666666667,96.75,62.4166666666667,0.00702309468822176,0.0210000000000008,0.0459132176234981,0.1056,0.984217384899546,1781,134,0.085906793935991,0.119402985074627,0.09568071988002,0.0983436093984336,4.0608652,0,666551617013,21191278076,105363559,0,163662868,context-aware,frame-aware,feasibility-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,64,60,0,4
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,legacy-selector,1,0,mac-aware-broadcast,Legacy MAC-only selector,adaptive,5,ring2,6dof,aloha,0.2,0.2,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0684778634878411,0.513461993581311,0,0,9.95836863739159,13.5361923338996,0,1.03662298964542,0.0959314538419014,0.220000000000001,0.32,0.4,0.156893311221669,0.0609618573797678,954,2161,410,316,409,3955,724,3231,1021,409,612,0,0,0,1824,0.736374646750101,0,59,1268,4,2,32,32,0,0,0,0,316,625,15,0.47908333333335,316,19,0,0.342415141373225,0.449119258426795,0,0,0,0,0,0.753166666666624,8.64399999999949,0.394,0.160000000000002,0,0,1.8075999999999,34.1666666666667,60.3333333333333,34.0833333333333,0.00904683084376267,0.024,0.0332885085574574,0.0540000000000013,0.96548159209695,4247,396,0.0915940663998116,0.0909090909090909,0.09568071988002,0.0983436093984336,7.0211111,0,666551617013,21191278076,105363559,0,135380228,adaptive,legacy-n,mac-selector,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,frame-piggyback,2,0,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0754325462026422,0.504400678900428,0,0,9.73738013114394,12.4115343772944,0,1.03644015858942,0.107805417357656,0.24,0.319999999999999,0.4,0.193753454947485,0.0859480375898287,951,967,563,0,564,1776,979,797,995,564,431,0,0,0,378,0.390899689762151,0,333,349,13,1,32,32,0,0,0,0,0,995,404,0.279833333333308,0,0,0,0.273441107137111,0.358891912785479,0,0,0,0,0,0.322333333333334,3.868,0,0.254720000000003,0,0,0.773600000000001,46.9166666666667,81.5833333333333,47,0.0248500517063083,0.0637,0.0716755319148937,0.1507,0.983657889428523,2120,0,0.10377358490566,0,0.09568071988002,0.0983436093984336,4.5244134,0,666551617013,21191278076,105363559,0,135407686,piggyback,frame-aware,piggyback,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,frame-adaptive,3,0,mac-aware-broadcast,Frame-aware legacy adaptive,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0811194112540143,0.49278742348352,0,0,9.73738013114394,12.5101297569829,0,1.03642206332542,0.12098396904367,0.280000000000001,0.360000000000001,0.459999999999999,0.209695964621338,0.0887119955776673,942,943,519,169,558,1749,919,830,1005,558,447,0,0,0,434,0.390287769784173,0,371,374,11,2,32,32,0,0,0,0,169,772,448,0.28866666666664,193,0,0,0.291336006579551,0.362521242925973,0,0,0,0,0,0.333583333333334,3.772,0.231,0.197632000000002,0,0,0.800600000000001,43.25,76.5833333333333,46.5,0.0274271582733814,0.0680000000000005,0.0696792114695342,0.140000000000001,0.980439332447631,2008,233,0.100597609561753,0.128755364806867,0.09568071988002,0.0983436093984336,4.4748859,0,666551617013,21191278076,105363559,0,135412990,adaptive,frame-aware,legacy-adaptive,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg0,N5 Moderate bg0,EXP18A context-aware,context-aware,4,0,context-aware-broadcast,Context-aware feasibility/value,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0800733710113682,0.496319700505838,0,0,9.73738013114394,12.5101297569829,0,1.03641598179546,0.118264234383637,0.260000000000002,0.359999999999999,0.459999999999999,0.204521835268104,0.0862576008844666,951,942,528,161,575,1734,929,805,1032,575,457,0,0,0,427,0.387126019945603,0,377,370,8,2,32,32,0,0,0,0,161,825,459,0.288749999999973,169,16,0,0.288268066053868,0.383129108953156,0,0,0,0,0,0.331166666666667,3.768,0.206,0.211200000000002,0,0,0.794800000000001,44,77.4166666666667,47.9166666666667,0.027345421577516,0.071,0.0723617391304349,0.141,0.980080857795746,2031,207,0.103397341211226,0.144927536231884,0.09568071988002,0.0983436093984336,4.1995419,0,666551617013,21191278076,105363559,0,163689739,context-aware,frame-aware,feasibility-value,1,moderate,nominal,0.2,4,0.903,declared-stationary-profile,185,169,0,16
development,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A context-aware,legacy-selector,1,0.3,causal-broadcast,Legacy MAC-only selector,piggyback,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0800013318694023,0.496153431989371,0,0,9.85265545509934,12.396340118501,0,1.03649173874964,0.108645660585959,0.259999999999999,0.32,0.4,0.259082365948037,0.150436705362079,1041,2133,455,0,360,3889,808,3081,1588,360,1228,0,0,0,1660,0.778246601031411,0,212,1304,24,1,32,32,0,0,0,0,0,1588,193,0.744583333333358,0,0,0,0.689235805155965,0.750537112726795,0,0,0,0,0,0.710999999999959,8.5319999999995,0,0.406528,3.64399999999965,1435,1.7063999999999,37.9166666666667,67.3333333333333,30,0.0187257383966246,0.0474000000000005,0.0591527777777779,0.13,0.983935742971888,4447,0,0.0919721160332809,0,0.09568071988002,0.0983436093984336,8.51824479999999,0,666551617013,21191278076,105363559,0,135598729,piggyback,legacy-n,mac-selector,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
development,16024001,n5-moderate-bg30,N5 Moderate bg0.30,EXP18A context-aware,frame-piggyback,2,0.3,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,csma,0.2,0.2,0.3,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0800013318694023,0.496153431989371,0,0,9.85265545509934,12.396340118501,0,1.03649173874964,0.108645660585959,0.259999999999999,0.32,0.4,0.259082365948037,0.150436705362079,1041,2133,455,0,360,3889,808,3081,1588,360,1228,0,0,0,1660,0.778246601031411,0,212,1304,24,1,32,32,0,0,0,0,0,1588,193,0.744583333333358,0,0,0,0.689235805155965,0.750537112726795,0,0,0,0,0,0.710999999999959,8.5319999999995,0,0.406528,3.64399999999965,1435,1.7063999999999,37.9166666666667,67.3333333333333,30,0.0187257383966246,0.0474000000000005,0.0591527777777779,0.13,0.983935742971888,4447,0,0.0919721160332809,0,0.09568071988002,0.0983436093984336,6.0122679,0,666551617013,21191278076,105363559,0,135598042,piggyback,frame-aware,piggyback,1,moderate,nominal,0.2,4,NaN,,0,0,0,0
