scenario,scenarioLabel,originalMacType,arm,methodLabel,armKind,schedulerMode,n,nEligible,meanRMSE,safeFailures,divergences,meanOfferedUtil,meanTrueAoI,meanNodeGoodputHz,minNodeGoodputHz,meanMaxStarvationSec,meanMaxVirtualDeficit,meanCollisions,meanEndogenousCollisions,priorityDiffersFifo,fifoComparableDecisions,priorityDiffersFifoFraction
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.207974359428861,17,0,0.455044444444431,0.204433862433863,5.26,4.38611111111111,1.0952,180,717.7,717.7,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0794311956023863,0,0,0.465433333333319,0.0697398720682302,11.3527777777778,9.42222222222222,0.267233333333333,16.4666666666667,0,0,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.207974359428861,17,0,0.455044444444431,0.204433862433863,5.26,4.38611111111111,1.0952,180,717.7,717.7,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0785846664865235,0,0,0.465011111111097,0.0685229408512989,11.3422222222222,8.99722222222222,0.2792,15.3,0,0,11522,26538,0.434169869620921
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0790136585932597,0,0,0.456688888888876,0.0691526494511568,11.1327777777778,9.19166666666667,0.254766666666667,15.3666666666667,0,0,13854,25775,0.537497575169738
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.0897905378757598,0,0,0.399999999999993,0.0796620074232016,9.75583333333333,8.95,0.31,13.4333333333333,0,0,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.0782852041368575,0,0,0.499999999999982,0.0674936428966279,12.1905555555556,11.2083333333333,0.256,16.4333333333333,0,0,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.127453206604338,0,0,0.25,0.116747058358999,6.09166666666667,5.56111111111111,0.453333333333333,9.1,0,0,0,0,0
n10-moderate-bg0,N10 Moderate bg0 ALOHA,aloha,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.101806685911397,0,0,0.333333333333334,0.091903340440654,8.12027777777778,7.41944444444445,0.34,11.9333333333333,0,0,0,0,0
n10-stressed-bg0,N10 Stressed bg0 ALOHA,aloha,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.260913249957041,30,0,0.457699999999987,0.265395403932718,4.75972222222222,3.45555555555556,1.2261,184.066666666667,725.233333333333,725.233333333333,0,0,0
