gate,passed,detail
registry_recorded,1,"development hash 76356276 over 93 leaves"
matrix_completeness,1,"1620/1620 rows"
unique_rows,1,"one row per seed/context/arm"
exact_development_seeds,1,"all and only 30 declared development seeds are present"
complete_paired_groups,1,"all nine arms occur once in each seed/context group"
paired_absolute_trace,1,"channel, state and estimator traces match within each group"
finite_eligible_outputs,1,"all nondivergent control/service outcomes are finite"
causal_conservatism,1,"0 protocol violations"
bounded_memory,1,"max queue=2 max history=32"
physical_accounting,1,"recipient outcomes, in-flight work and busy union close"
virtual_service_accounting,1,"Z terminal equals admitted semantic demand minus successful service"
no_scheduled_standalone_ack,1,"all scheduling/frontier arms emit zero standalone ACK"
decision_log_contract,1,"every scheduled transmission records eligible set and selection"
present_past_oracle_only,1,"urgency reads receiver truth; neither oracle reads future uniforms"
collision_free_scheduled_access,1,"scheduled arms have no endogenous collision; background remains counted"
arm_semantics,1,"baseline, oracle, collision-free and periodic contracts match registry"
context_access_contract,1,"all contexts retain their declared original ALOHA/CSMA label"
unsafe_runs_retained,1,"124 observed safety failures retained"
