scenario,component,armA,armB,failuresA,failuresB,aOnlyFailures,bOnlyFailures,bothFail,neitherFail
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,0,0,0,0,30
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,0,0,0,0,30
n5-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,0,0,0,0,30
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-moderate-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-moderate-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-moderate-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-moderate-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,0,0,0,0,30
n5-stressed-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-stressed-bg30,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n5-stressed-bg30,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg30,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n5-stressed-bg30,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
n10-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,17,0,17,0,13
n10-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n10-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n10-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n10-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n10-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
n10-stressed-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,0,30,0,30,0,0
n10-stressed-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n10-stressed-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,0,0,0,0,0,30
n10-stressed-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n10-stressed-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,0,0,0,0,0,30
n10-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,0,0,0,0,0,30
