scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,RMSE,lower,0.0527024456935836,0.0779983374506306,-0.025295891757047,-0.0266426742819808,-0.0239491092321133,30,1,1
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,OFFERED_UTIL,lower,0.232322222222222,0.311977777777778,-0.0796555555555555,-0.0827665837001675,-0.0765445274109436,30,1,1
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_TRUE_AOI,lower,0.0696355260733369,0.111432835820895,-0.0417973097475585,-0.0445315835858066,-0.0390630359093104,30,1,1
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.1361111111111,9.16944444444445,1.96666666666666,1.878094315578,2.05523901775532,30,1,1
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MIN_NODE_GOODPUT_HZ,higher,9.53055555555556,7.75555555555556,1.775,1.57817223899675,1.97182776100324,30,1,1
n5-moderate-bg0,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MAX_STARVATION_SEC,lower,0.269366666666667,0.494333333333333,-0.224966666666667,-0.257667189234038,-0.192266144099295,30,1,1
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0521905127296376,0.0527024456935836,-0.000511932963945987,-0.000721410195381039,-0.000302455732510934,30,1,1
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.233111111111111,0.232322222222222,0.000788888888888835,-0.000783996307309424,0.00236177408508709,30,1,0
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.0689489589091578,0.0696355260733369,-0.000686567164179121,-0.0011913910563129,-0.000181743272045343,30,1,1
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.2261111111111,11.1361111111111,0.0900000000000069,0.023199080861379,0.156800919138635,30,1,1
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,9.13055555555555,9.53055555555556,-0.399999999999998,-0.529568323856882,-0.270431676143115,30,1,0
n5-moderate-bg0,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.274633333333333,0.269366666666667,0.00526666666666654,-0.0145513974580302,0.0250847307913633,30,1,0
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0529343924544492,0.0527024456935836,0.000231946760865646,-3.55534456510752e-05,0.000499446967382368,30,1,0
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,OFFERED_UTIL,lower,0.228222222222222,0.232322222222222,-0.00410000000000023,-0.00516227998054199,-0.00303772001945848,30,1,1
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_TRUE_AOI,lower,0.0701179288741477,0.0696355260733369,0.000482402800810737,-8.0350285463567e-05,0.00104515588708504,30,1,0
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MEAN_NODE_GOODPUT_HZ,higher,10.9383333333333,11.1361111111111,-0.197777777777763,-0.244542400582847,-0.151013154972679,30,1,0
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MIN_NODE_GOODPUT_HZ,higher,9.26944444444444,9.53055555555556,-0.26111111111111,-0.40352830752408,-0.11869391469814,30,1,0
n5-moderate-bg0,urgency-priority,oracle-urgency-maxweight-piggyback,collision-free-tdma-piggyback,MAX_STARVATION_SEC,lower,0.259066666666667,0.269366666666667,-0.0102999999999998,-0.0278863915436214,0.00728639154362185,30,1,0
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0529343924544492,0.0521905127296376,0.000743879724811633,0.000456920269201547,0.00103083918042172,30,1,0
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.228222222222222,0.233111111111111,-0.00488888888888907,-0.00578604865176598,-0.00399172912601216,30,1,1
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0701179288741477,0.0689489589091578,0.00116896996498986,0.000587344681540075,0.00175059524843964,30,1,0
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,10.9383333333333,11.2261111111111,-0.28777777777777,-0.3402029442283,-0.23535261132724,30,1,0
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,9.26944444444444,9.13055555555555,0.138888888888889,-0.00895770392141237,0.286735481699189,30,1,0
n5-moderate-bg0,urgency-vs-deficit,oracle-urgency-maxweight-piggyback,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.259066666666667,0.274633333333333,-0.0155666666666663,-0.0316635594294073,0.000530226096074584,30,1,0
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,RMSE,lower,0.0467371308453776,0.0521905127296376,-0.00545338188425999,-0.0057423372502799,-0.00516442651824008,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,OFFERED_UTIL,lower,0.25,0.233111111111111,0.0168888888888886,0.0157234059718796,0.0180543718058976,30,1,0
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_TRUE_AOI,lower,0.0590882623917449,0.0689489589091578,-0.00986069651741294,-0.0104885097863387,-0.00923288324848715,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,11.9816666666667,11.2261111111111,0.755555555555547,0.702638472434354,0.808472638676739,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,11.1444444444445,9.13055555555555,2.0138888888889,1.88543775871051,2.14234001906729,30,1,1
n5-moderate-bg0,periodic-frontier-vs-deficit,periodic-tdma-p12p5,oracle-deficit-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.266666666666667,0.274633333333333,-0.00796666666666675,-0.0300181299816879,0.0140847966483544,30,1,0
n5-moderate-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,RMSE,lower,0.0467371308453776,0.0529343924544492,-0.00619726160907162,-0.00646156373895508,-0.00593295947918816,30,1,1
