stage,seed,scenario,scenarioLabel,family,arm,pointIndex,parameterValue,method,methodLabel,feedbackMode,N,topology,plant,macType,pAccess,configuredPAccess,backgroundLoad,carrierSenseDensity,interferenceDensity,stationaryMeanDataLoss,stationaryMeanAckLoss,meanBadDurationDataSec,meanBadDurationAckSec,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLL_PEAK_DEG,PITCH_PEAK_DEG,SATURATION,CONTROL_EFFORT,MEAN_TRUE_AOI,P95_TRUE_AOI,P99_TRUE_AOI,MAX_TRUE_AOI,MEAN_EST_AOI,MEAN_AOI_GAP,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_ACTIVE_FRAMES,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,COLLISION_RATE,QUEUE_DROPS,SUPERSEDED,RETRIES,OBSOLETE_RETRY_DROPS,MAX_QUEUE,MAX_HISTORY,historySize,STALE_DATA_DISCARDED,STALE_ACK_DISCARDED,EXPIRED_HISTORY_ACK,ACK_BEFORE_ACCEPT,ACK_STANDALONE,ACK_ENTRIES_PIGGYBACKED,ACK_ENTRIES_TRANSFERRED,CHANNEL_UTIL,ADAPTIVE_ACK_PERMITTED,ADAPTIVE_ACK_DEFERRED,ADAPTIVE_ACK_FORCED,MEAN_LOCAL_BUSY,MAX_LOCAL_BUSY,LOAD_GUARD_BLOCKED,LOAD_GUARD_BLOCKED_BUSY,LOAD_GUARD_BLOCKED_QUEUE,LOAD_GUARD_BRANCH3,LOAD_GUARD_BRANCH4,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,BACKGROUND_BUSY_TIME,BACKGROUND_COLLISION_FRAMES,ENERGY_PROXY_J,DATA_GOODPUT_HZ,RECIPIENT_GOODPUT_HZ,ACK_GOODPUT_HZ,MEAN_ACCESS_DELAY,P95_ACCESS_DELAY,MEAN_CONFIRM_DELAY,P95_CONFIRM_DELAY,JAIN_FRAME_GOODPUT,DATA_CHANNEL_ATTEMPTS,ACK_CHANNEL_ATTEMPTS,DATA_BAD_ATTEMPT_FRACTION,ACK_BAD_ATTEMPT_FRACTION,TRACE_DATA_BAD_FRACTION,TRACE_ACK_BAD_FRACTION,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CHANNEL_MODEL_SIGNATURE,ESTIMATOR_HASH_EXACT,CONFIG_HASH,originalMacType,armKind,route,accessDesign,ackDesign,schedulerMode,oracleFlag,PERIODIC_RATE_HZ,TARGET_RATE_HZ,MEAN_NODE_GOODPUT_HZ,MIN_NODE_GOODPUT_HZ,MEAN_GOODPUT_MARGIN_HZ,MIN_GOODPUT_MARGIN_HZ,SERVICE_ADMISSIONS,SERVICE_COMPLETIONS,SERVICE_REPLACEMENTS,VIRTUAL_DEFICIT_MAX,VIRTUAL_DEFICIT_TERMINAL,MAX_STARVATION_SEC,SERVICE_DECISIONS,FIFO_COMPARABLE_DECISIONS,PRIORITY_DIFFERS_FIFO,PRIORITY_DIFFERS_FIFO_FRACTION,RECEIVER_TRUTH_READS,FUTURE_RANDOM_READS,SERVICE_DECISION_LOG_VALID,ENDOGENOUS_COLLISION_FRAMES
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0769661740552372,0.501110458790412,0,0,9.69654148499404,12.7095943439086,0,1.03656307459417,0.112139303482587,0.24,0.34,0.46,0.209054726368159,0.0969154228855722,974,939,539,0,526,1711,921,790,923,526,397,0,0,0,374,0.398296059637913,0,378,344,16,1,32,32,0,0,0,0,0,923,411,0.271166666666642,0,0,0,0.257846405956348,0.334119459411274,0,0,0,0,0,0.313,3.756,0,0.236288000000002,0,0,0.751200000000001,44.9166666666667,76.75,43.8333333333333,0.0248455804046859,0.0603000000000001,0.0734106463878328,0.15275,0.993387016806004,2022,0,0.0929772502472799,0,0.100426595567405,0.103329445092485,3.2206484,0,667064681583,21207242010,105363559,0,141126247,aloha,baseline,piggyback,frame-aware,piggyback,native,0,NaN,8.33333333333333,8.98333333333333,8,0.649999999999999,-0.333333333333334,974,539,378,107,435,0.454,0,0,0,0,0,0,1,374
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,capacity-gated-selector,2,NaN,context-aware-broadcast,Capacity-gated fixed feedback route,adaptive,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0815065509775596,0.494764136126486,0,0,9.68652505629422,12.6678674654633,0,1.03655485338654,0.112824765063571,0.24,0.32,0.44,0.199502487562189,0.0866777224986181,944,890,511,170,574,1641,884,757,962,574,388,0,0,0,390,0.367924528301887,0,381,329,18,2,32,32,0,0,0,0,170,739,422,0.276166666666641,191,0,0,0.258569630312347,0.315479970479779,0,0,0,0,0,0.31525,3.56,0.223,0.189184000000001,0,0,0.756600000000001,42.5833333333333,73.6666666666667,47.8333333333333,0.0273132075471699,0.0699999999999985,0.0720644599303137,0.1487,0.990088535840901,1908,223,0.0974842767295598,0.0807174887892377,0.100426595567405,0.103329445092485,2.9721251,0,667064681583,21207242010,105363559,0,196776895,aloha,negative-control,capacity-gated-selector,frame-aware,capacity-gated-mac,native,0,NaN,8.33333333333333,8.51666666666667,7.41666666666667,0.183333333333332,-0.916666666666667,944,511,381,98,433,0.454,0,0,0,0,0,0,1,390
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,collision-free-tdma-piggyback,3,NaN,causal-broadcast,Collision-free TDMA piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0535196538642248,0.53073156225521,0,0,9.59261714702289,12.2733695398429,0,1.03669675380267,0.0698728579325594,0.140000000000001,0.219999999999999,0.32,0.140265339966832,0.0703924820342731,696,696,666,0,749,1287,1151,136,838,749,89,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,838,0,0.231999999999984,0,0,0,0.20862083212014,0.248886719450958,0,0,0,0,0,0.232,2.784,0,0.214528000000002,0,0,0.5568,55.5,95.9166666666667,62.4166666666667,0.00335919540229895,0.00999999999999979,0.0433110814419227,0.104,0.986710564367228,1595,0,0.107210031347962,0,0.100426595567405,0.103329445092485,2.047806,0,667064681583,21207242010,105363559,0,137586227,aloha,scheduled-causal,piggyback,collision-free-scheduled,piggyback,round-robin,0,NaN,8.33333333333333,11.1,9.5,2.76666666666667,1.16666666666667,696,666,0,16,30,0.279999999999999,696,0,0,0,0,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,oracle-deficit-maxweight-piggyback,4,NaN,causal-broadcast,Oracle deficit max-weight piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0521172792372728,0.532606856363354,0,0,9.5926053527615,12.3699536408808,0,1.03668880478811,0.0695301271420674,0.159999999999998,0.200000000000001,0.26,0.141194029850746,0.071663902708679,703,703,681,0,728,1310,1166,144,812,728,84,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,812,0,0.234333333333317,0,0,0,0.207615013905436,0.254700247180772,0,0,0,0,0,0.234333333333334,2.812,0,0.207872000000002,0,0,0.5624,56.75,97.1666666666667,60.6666666666667,0.00250355618776682,0.0080000000000009,0.0437912087912089,0.103999999999999,0.987261173615472,1613,0,0.108493490390577,0,0.100426595567405,0.103329445092485,1.919573,0,667064681583,21207242010,105363559,0,137612594,aloha,oracle,piggyback,collision-free-scheduled,piggyback,deficit-maxweight,1,NaN,8.33333333333333,11.35,9.5,3.01666666666667,1.16666666666667,703,681,0,8,22,0.22,703,306,198,0.647058823529412,0,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,oracle-urgency-maxweight-piggyback,5,NaN,causal-broadcast,Oracle urgency max-weight piggyback,piggyback,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0538626675439749,0.52983107506261,0,0,9.59878793210845,12.4058583790848,0,1.03668364021115,0.0701271420674405,0.16,0.199999999999999,0.279999999999999,0.137678275290215,0.0675511332227751,688,688,655,0,765,1268,1132,136,861,765,96,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,861,0,0.229333333333317,0,0,0,0.203820094574747,0.247608551216804,0,0,0,0,0,0.229333333333334,2.752,0,0.220416000000002,0,0,0.5504,54.5833333333333,94.3333333333333,63.75,0.00215697674418616,0.00800000000000001,0.0422169934640524,0.088000000000001,0.98410386393091,1580,0,0.101898734177215,0,0.100426595567405,0.103329445092485,1.5496199,0,667064681583,21207242010,105363559,0,137613218,aloha,oracle,piggyback,collision-free-scheduled,piggyback,urgency-maxweight,1,NaN,8.33333333333333,10.9166666666667,8.91666666666667,2.58333333333333,0.583333333333332,688,655,0,16,33,0.272,688,281,148,0.526690391459075,1059,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,periodic-tdma-p6p25,6,6.25,periodic,Periodic TDMA 6.25 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0746545040090281,0.503193138263573,0,0,9.57731825852149,13.0362127816007,0,1.03656385045488,0.108745163073521,0.26,0.360000000000001,0.48,NaN,NaN,375,375,361,0,0,675,603,72,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.124999999999993,0,0,0,0.124840320672559,0.162645274846126,0,0,0,0,0,0.125,1.5,0,0,0,0,0.3,30.0833333333333,50.25,0,0.00800000000000011,0.016,NaN,NaN,0.997443649305423,675,0,0.102222222222222,0,0.100426595567405,0.103329445092485,1.1016253,0,667064681583,21207242010,105363559,0,136968405,aloha,periodic-frontier,none,collision-free-scheduled,none,round-robin,0,6.25,8.33333333333333,6.01666666666667,5.5,-2.31666666666667,-2.83333333333333,375,361,0,10,14,0.48,375,0,0,0,0,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,periodic-tdma-p8p333,7,8.33333333333333,periodic,Periodic TDMA 8.333 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.061693437341401,0.520215802160819,0,0,9.72916024182561,12.53219992773,0,1.03659017098982,0.0839800995024874,0.2,0.24,0.359999999999999,NaN,NaN,500,500,481,0,0,900,810,90,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.166666666666654,0,0,0,0.166369583834491,0.201679706394814,0,0,0,0,0,0.166666666666667,2,0,0,0,0,0.4,40.0833333333333,67.5,0,0.00800000000000013,0.016,NaN,NaN,0.998256855003991,900,0,0.0955555555555556,0,0.100426595567405,0.103329445092485,1.0985613,0,667064681583,21207242010,105363559,0,137709757,aloha,periodic-frontier,none,collision-free-scheduled,none,round-robin,0,8.33333333333333,8.33333333333333,8.01666666666667,7.5,-0.316666666666666,-0.833333333333334,500,481,0,11,19,0.36,500,0,0,0,0,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,periodic-tdma-p10,8,10,periodic,Periodic TDMA 10 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0530708951870251,0.531905198156702,0,0,9.76760826309325,12.5503518623501,0,1.0366588949678,0.0690436705362077,0.16,0.200000000000001,0.299999999999999,NaN,NaN,600,600,581,0,0,1080,985,95,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.199999999999984,0,0,0,0.19984747759072,0.233206941122285,0,0,0,0,0,0.2,2.4,0,0,0,0,0.48,48.4166666666667,82.0833333333333,0,0.00800000000000012,0.016,NaN,NaN,0.998627320464463,1080,0,0.0972222222222222,0,0.100426595567405,0.103329445092485,1.0373347,0,667064681583,21207242010,105363559,0,137550780,aloha,periodic-frontier,none,collision-free-scheduled,none,round-robin,0,10,8.33333333333333,9.68333333333333,9.16666666666667,1.35,0.833333333333332,600,581,0,11,19,0.300000000000001,600,0,0,0,0,0,1,0
development-only,16026001,n5-moderate-bg0,N5 Moderate bg0 ALOHA,EXP19A oracle service diagnostic,periodic-tdma-p12p5,9,12.5,periodic,Periodic TDMA 12.5 Hz,none,5,ring2,6dof,tdma,1,1,0,1,1,0.097,0.097,0.0277777777777778,0.0277777777777778,0.0473164653109777,0.538804401233002,0,0,9.61788895119264,12.3729051666049,0,1.0366778784753,0.0584632393587616,0.139999999999999,0.16,0.24,NaN,NaN,750,750,719,0,0,1350,1206,144,0,0,0,0,0,0,0,0,0,0,0,0,1,32,32,0,0,0,0,0,0,0,0.249999999999977,0,0,0,0.2498549540291,0.280749984560226,0,0,0,0,0,0.25,3,0,0,0,0,0.600000000000001,59.9166666666667,100.5,0,0.00800000000000014,0.016,NaN,NaN,0.997560905012302,1350,0,0.1,0,0.100426595567405,0.103329445092485,1.0323535,0,667064681583,21207242010,105363559,0,137400051,aloha,periodic-frontier,none,collision-free-scheduled,none,round-robin,0,12.5,8.33333333333333,11.9833333333333,10.9166666666667,3.65,2.58333333333333,750,719,0,20,31,0.24,750,0,0,0,0,0,1,0
development-only,16026001,n5-stressed-bg0,N5 Stressed bg0 ALOHA,EXP19A oracle service diagnostic,frame-piggyback,1,NaN,causal-broadcast,Frame-aware piggyback,piggyback,5,ring2,6dof,aloha,0.0285714285714286,0.0285714285714286,0,1,1,0.29,0.29,0.0476190476190476,0.0476190476190476,0.0974272197247636,0.476377757351923,0,0,9.69654148499404,12.7129398353051,0,1.03653851178452,0.140552791597568,0.34,0.518400000000001,0.780000000000001,0.320530679933665,0.179977888336097,1071,1004,489,0,345,1834,726,1108,827,345,482,0,0,0,417,0.415338645418327,0,450,385,21,1,32,32,0,0,0,0,0,827,422,0.289666666666639,0,0,0,0.273415070239598,0.361779149407309,0,0,0,0,0,0.334666666666667,4.016,0,0.211712000000002,0,0,0.8032,40.75,60.5,28.75,0.0236045816733069,0.0568499999999997,0.0758115942028986,0.1598,0.972530757498729,2106,0,0.309591642924976,0,0.297137143809365,0.305109148475254,3.2989596,0,667064681583,21797079590,110997405,0,139400083,aloha,baseline,piggyback,frame-aware,piggyback,native,0,NaN,8.33333333333333,8.15,6.41666666666667,-0.183333333333334,-1.91666666666667,1071,489,450,131,582,0.595000000000001,0,0,0,0,0,0,1,417
