cell,N,rho,epsilon,nPairs,publicMean,publicMedian,publicP90,publicP95,publicMax,publicTailGt100,privateMean,privateMedian,privateP90,privateP95,privateMax,privateTailGt100,privateWorseFraction,pairedRelativeMean,pairedRelativeMedian,pairedRelativeP90,pairedRelativeP95,registeredGapCell
n5-rho20-eps05,5,0.2,0.05,30,246.938492666667,0.08103,0.097144,0.099908,7405.81312,1,3.25305933333333,3.170895,3.8055,3.8979775,4.31171,0,0.966666666666667,38.3154688110887,38.5600992578544,47.5602152412104,48.3323270542476,0
n5-rho20-eps20,5,0.2,0.2,30,1480.19785333333,0.21108,6188.700244,9321.376683,10913.3,8,148.128627666667,7.624555,9.030184,745.999851000001,2885.72542,2,0.733333333333333,26.3911595798395,35.3778546803566,40.4621381895458,41.7873678031935,0
n5-rho50-eps05,5,0.5,0.05,30,247.938632,0.726655,0.80409,0.808424,7417.0214,1,6.35130066666667,6.36328,6.592357,6.650211,6.72129,0,0.966666666666667,7.4501871218975,7.62259776417747,8.61337190879113,8.6987665407984,1
n5-rho50-eps20,5,0.5,0.2,30,1486.864154,1.609225,6192.828138,9338.2781015,10919.7,8,372.828939333333,8.56703,9.505016,380.259242,10259.1,2,0.766666666666667,3.32140375858788,4.24056768179839,4.98792386366248,5.25595847406309,1
n10-rho20-eps05,10,0.2,0.05,30,132.019823166667,0.05396,0.070501,926.924920750001,2273.79976,2,91.1777901666667,12.521375,15.799623,16.32086425,2363.000445,1,0.966666666666667,219.75666645308,216.94583004135,287.702925449338,311.106221317548,0
n10-rho20-eps20,10,0.2,0.2,30,199.6474715,0.1586025,775.136050000001,1570.26699275,2171.963315,4,57.7449461666667,24.52607,32.30262,40.435328,998.36221,1,0.866666666666667,137.3470444113,155.402105328567,183.887684799155,211.717297559592,0
n10-rho50-eps05,10,0.5,0.05,30,145.265017833333,0.9800625,1.0943975,928.471982500001,2643.201685,2,107.515945833333,19.390285,20.0638185,20.49313575,2663.807275,1,0.966666666666667,17.5127297335617,18.8761925700566,20.6797972103838,21.5939791137748,1
n10-rho50-eps20,10,0.5,0.2,30,169.478888,2.46795,117.493801000001,1276.71365875,2518.978815,3,55.1766478333333,22.7179775,24.52262,24.9050105,992.65276,1,0.866666666666667,7.20896663024895,8.27208492693064,9.08543907034833,9.41678175294103,1
n20-rho20-eps05,20,0.2,0.05,30,80.7573978333333,0.03764625,0.04448125,0.048746875,2421.6445525,1,39.65161475,37.5364325,49.60359675,51.33875675,60.1276725,0,0.966666666666667,1051.96515921363,1051.08990135278,1354.87260952861,1506.56073833361,0
n20-rho20-eps20,20,0.2,0.2,30,665.48127825,0.1194325,1512.331714,5722.708382625,7050.78795,5,70.4058103333333,70.4682375,86.7613125,94.647338125,111.85312,2,0.833333333333333,500.593702282561,557.322409524277,715.077356137643,747.151108110727,0
n20-rho50-eps05,20,0.5,0.05,30,82.9275070833333,1.43073375,1.534803,1.5989775,2446.9094925,1,49.69405075,49.37137,52.9770135,53.998147875,56.6267775,0,0.966666666666667,33.1150194770106,33.9816298771572,37.2662083478776,38.3430256336039,1
n20-rho50-eps20,20,0.5,0.2,30,636.27018425,4.2676975,669.845973250006,5855.516564,7256.2492525,4,55.2719309166667,54.50383,57.48935675,57.803620125,79.0800875,0,0.866666666666667,9.76728044448209,11.4524349989992,13.0425436943861,13.1162563984576,1
