gate,passed,detail
registry_recorded,1,"hash 202523373 over 165 leaves"
formation_matrix_complete_unique,1,"2520/2520 unique rows"
native_matrix_complete_unique,1,"1800/1800 unique rows"
exact_formation_seeds,1,"all and only 30 declared formation seeds"
exact_native_seeds,1,"all and only 30 declared native seeds"
paired_formation_absolute_traces,1,"channel, state and estimator hashes match within every group"
paired_native_absolute_draws,1,"all native arms share the same seed/cell draw tensor"
private_feedback_causality,1,"0 formation protocol violations"
no_future_information_reads,1,"formation random draws and native feedback are present/past only"
bounded_memory,1,"formation queue/history 1/32; native feedback queue 5"
physical_and_feedback_accounting,1,"recipient, terminal, charged-utilization and native counts close"
named_mechanisms_activated,1,"public/private feedback, age gain, Z-MAC and DTSA paths exercised"
finite_outputs_and_failures_retained,1,"451 unsafe and 0 diverged formation runs retained"
