seed,cell,arm,N,rho,lambda,epsilon,slots,burnIn,MEAN_AOII,MEAN_MAX_AOII,ATTEMPTS,ATTEMPT_RATE,SUCCESSES,SUCCESS_RATE,COLLISIONS,COLLISION_SLOT_RATE,ERASURES,FEEDBACK_GENERATED,FEEDBACK_DELIVERED,FEEDBACK_DROPPED,FEEDBACK_EVENT_RATE,PHASE_DIVERGENCE_FRACTION,MAX_FEEDBACK_QUEUE,FUTURE_FEEDBACK_READS,DRAW_HASH_EXACT
16027101,n5-rho20-eps05,delta-public,5,0.2,0.04,0.05,20000,1000,10572.9,10598.5,103,0.0049047619047619,87,0.00414285714285714,7,0.000333333333333333,2,96,480,0,0.00457142857142857,0,0,0,231198562134
16027101,n5-rho20-eps05,delta-private-delayed,5,0.2,0.04,0.05,20000,1000,9609.74121,9625.4633,958,0.0456190476190476,438,0.0208571428571429,229,0.0109047619047619,23,3450,3103,347,0.164285714285714,0.96947619047619,4,0,231198562134
16027101,n5-rho20-eps05,zero-wait,5,0.2,0.04,0.05,20000,1000,1.15907,4.67155,4361,0.207666666666667,3466,0.165047619047619,347,0.0165238095238095,182,0,0,0,0,0,0,0,231198562134
16027101,n5-rho20-eps05,max-age-first,5,0.2,0.04,0.05,20000,1000,0.00776,0.0362,4404,0.209714285714286,4179,0.199,0,0,225,0,0,0,0,0,0,0,231198562134
16027101,n5-rho20-eps05,round-robin,5,0.2,0.04,0.05,20000,1000,0.20154,0.9144,4049,0.192809523809524,3851,0.183380952380952,0,0,198,0,0,0,0,0,0,0,231198562134
16027101,n5-rho20-eps20,delta-public,5,0.2,0.04,0.2,20000,1000,10854.7,10865.5,49,0.00233333333333333,39,0.00185714285714286,0,0,10,49,245,0,0.00233333333333333,0,0,0,231198562134
16027101,n5-rho20-eps20,delta-private-delayed,5,0.2,0.04,0.2,20000,1000,10563.5,10607.5,299,0.0142380952380952,117,0.00557142857142857,66,0.00314285714285714,23,1030,933,97,0.049047619047619,0.991476190476191,4,0,231198562134
16027101,n5-rho20-eps20,zero-wait,5,0.2,0.04,0.2,20000,1000,1.79389,6.8715,5165,0.245952380952381,3299,0.157095238095238,494,0.0235238095238095,851,0,0,0,0,0,0,0,231198562134
16027101,n5-rho20-eps20,max-age-first,5,0.2,0.04,0.2,20000,1000,0.02377,0.1079,5185,0.246904761904762,4138,0.197047619047619,0,0,1047,0,0,0,0,0,0,0,231198562134
16027101,n5-rho20-eps20,round-robin,5,0.2,0.04,0.2,20000,1000,0.44231,1.948,4682,0.222952380952381,3711,0.176714285714286,0,0,971,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps05,delta-public,5,0.5,0.1,0.05,20000,1000,10821.9,10836.5,93,0.00442857142857143,71,0.00338095238095238,10,0.000476190476190476,2,83,415,0,0.00395238095238095,0,0,0,231198562134
16027101,n5-rho50-eps05,delta-private-delayed,5,0.5,0.1,0.05,20000,1000,8501.73387,8512.7189,3559,0.16947619047619,896,0.0426666666666667,1108,0.0527619047619048,52,10280,9255,1025,0.48952380952381,0.963619047619048,4,0,231198562134
16027101,n5-rho50-eps05,zero-wait,5,0.5,0.1,0.05,20000,1000,3.38427,10.9736,9708,0.462285714285714,6139,0.292333333333333,1524,0.0725714285714286,338,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps05,max-age-first,5,0.5,0.1,0.05,20000,1000,0.04937,0.2072,10527,0.501285714285714,9984,0.475428571428571,0,0,543,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps05,round-robin,5,0.5,0.1,0.05,20000,1000,0.47812,1.9006,8770,0.417619047619048,8319,0.396142857142857,0,0,451,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps20,delta-public,5,0.5,0.1,0.2,20000,1000,10857.7,10865.5,71,0.00338095238095238,50,0.00238095238095238,5,0.000238095238095238,11,66,330,0,0.00314285714285714,0,0,0,231198562134
16027101,n5-rho50-eps20,delta-private-delayed,5,0.5,0.1,0.2,20000,1000,10521.7,10541.5,600,0.0285714285714286,152,0.00723809523809524,171,0.00814285714285714,27,1750,1582,168,0.0833333333333333,0.0146190476190476,4,0,231198562134
16027101,n5-rho50-eps20,zero-wait,5,0.5,0.1,0.2,20000,1000,4.83519,14.9464,10885,0.518333333333333,5481,0.261,1876,0.0893333333333333,1411,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps20,max-age-first,5,0.5,0.1,0.2,20000,1000,0.13058,0.4943,12102,0.576285714285714,9591,0.456714285714286,0,0,2511,0,0,0,0,0,0,0,231198562134
16027101,n5-rho50-eps20,round-robin,5,0.5,0.1,0.2,20000,1000,0.93417,3.55065,9697,0.461761904761905,7738,0.36847619047619,0,0,1959,0,0,0,0,0,0,0,231198562134
16027101,n10-rho20-eps05,delta-public,10,0.2,0.02,0.05,20000,1000,10836.1,10928.5,49,0.00233333333333333,47,0.00223809523809524,0,0,2,49,490,0,0.00233333333333333,0,0,0,451366153873
16027101,n10-rho20-eps05,delta-private-delayed,10,0.2,0.02,0.05,20000,1000,9384.714825,9477.40615,1782,0.0848571428571429,554,0.0263809523809524,492,0.0234285714285714,31,10770,9673,1097,0.512857142857143,0.053,5,0,451366153873
16027101,n10-rho20-eps05,zero-wait,10,0.2,0.02,0.05,20000,1000,2.292905,15.003,4321,0.205761904761905,3415,0.162619047619048,353,0.0168095238095238,179,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps05,max-age-first,10,0.2,0.02,0.05,20000,1000,0.00436,0.0397,4490,0.213809523809524,4247,0.202238095238095,0,0,243,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps05,round-robin,10,0.2,0.02,0.05,20000,1000,0.423865,3.34155,4059,0.193285714285714,3841,0.182904761904762,0,0,218,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,delta-public,10,0.2,0.02,0.2,20000,1000,10781.2,10856.5,70,0.00333333333333333,50,0.00238095238095238,5,0.000238095238095238,10,65,650,0,0.0030952380952381,0,0,0,451366153873
16027101,n10-rho20-eps20,delta-private-delayed,10,0.2,0.02,0.2,20000,1000,10760.6,10825.5,140,0.00666666666666667,66,0.00314285714285714,26,0.00123809523809524,15,1070,951,119,0.050952380952381,0.996476190476191,4,0,451366153873
16027101,n10-rho20-eps20,zero-wait,10,0.2,0.02,0.2,20000,1000,3.504725,21.0747,5101,0.242904761904762,3260,0.155238095238095,497,0.0236666666666667,817,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,max-age-first,10,0.2,0.02,0.2,20000,1000,0.013585,0.1183,5292,0.252,4211,0.20052380952381,0,0,1081,0,0,0,0,0,0,0,451366153873
16027101,n10-rho20-eps20,round-robin,10,0.2,0.02,0.2,20000,1000,0.90253,6.81405,4674,0.222571428571429,3693,0.175857142857143,0,0,981,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,delta-public,10,0.5,0.05,0.05,20000,1000,10898.8,10934.5,49,0.00233333333333333,47,0.00223809523809524,0,0,2,49,490,0,0.00233333333333333,0,0,0,451366153873
16027101,n10-rho50-eps05,delta-private-delayed,10,0.5,0.05,0.05,20000,1000,5064.327865,5104.94245,10916,0.519809523809524,2132,0.10152380952381,3450,0.164285714285714,123,57050,51372,5678,2.71666666666667,0.945857142857143,5,0,451366153873
16027101,n10-rho50-eps05,zero-wait,10,0.5,0.05,0.05,20000,1000,7.006855,31.85605,9640,0.459047619047619,5857,0.278904761904762,1616,0.076952380952381,343,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,max-age-first,10,0.5,0.05,0.05,20000,1000,0.035625,0.27035,10778,0.513238095238095,10204,0.485904761904762,0,0,574,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps05,round-robin,10,0.5,0.05,0.05,20000,1000,0.95631,5.8264,8658,0.412285714285714,8203,0.390619047619048,0,0,455,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,delta-public,10,0.5,0.05,0.2,20000,1000,10872.7,10900.5,58,0.00276190476190476,46,0.00219047619047619,2,9.52380952380952e-05,8,56,560,0,0.00266666666666667,0,0,0,451366153873
16027101,n10-rho50-eps20,delta-private-delayed,10,0.5,0.05,0.2,20000,1000,10143,10195.5,1122,0.0534285714285714,278,0.0132380952380952,315,0.015,65,6580,5909,671,0.313333333333333,0.993095238095238,4,0,451366153873
16027101,n10-rho50-eps20,zero-wait,10,0.5,0.05,0.2,20000,1000,10.11403,42.992,10715,0.510238095238095,5233,0.249190476190476,1926,0.0917142857142857,1358,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,max-age-first,10,0.5,0.05,0.2,20000,1000,0.093935,0.6343,12507,0.595571428571429,9934,0.473047619047619,0,0,2573,0,0,0,0,0,0,0,451366153873
16027101,n10-rho50-eps20,round-robin,10,0.5,0.05,0.2,20000,1000,1.884765,11.01605,9526,0.453619047619048,7588,0.361333333333333,0,0,1938,0,0,0,0,0,0,0,451366153873
16027101,n20-rho20-eps05,delta-public,20,0.2,0.01,0.05,20000,1000,10812.6,10937.5,34,0.00161904761904762,33,0.00157142857142857,0,0,1,34,680,0,0.00161904761904762,0,0,0,891787387622
16027101,n20-rho20-eps05,delta-private-delayed,20,0.2,0.01,0.05,20000,1000,17.624995,87.81845,26680,1.27047619047619,6956,0.331238095238095,8035,0.382619047619048,398,307780,277356,30424,14.6561904761905,0.82647619047619,5,0,891787387622
16027101,n20-rho20-eps05,zero-wait,20,0.2,0.01,0.05,20000,1000,4.9830175,48.05565,4350,0.207142857142857,3386,0.161238095238095,379,0.018047619047619,173,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps05,max-age-first,20,0.2,0.01,0.05,20000,1000,0.0023375,0.0416,4436,0.211238095238095,4211,0.20052380952381,0,0,225,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps05,round-robin,20,0.2,0.01,0.05,20000,1000,0.8277825,10.5144,4022,0.19152380952381,3819,0.181857142857143,0,0,203,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps20,delta-public,20,0.2,0.01,0.2,20000,1000,10530.9,10638.5,197,0.00938095238095238,87,0.00414285714285714,43,0.00204761904761905,21,151,3020,0,0.00719047619047619,0,0,0,891787387622
16027101,n20-rho20-eps20,delta-private-delayed,20,0.2,0.01,0.2,20000,1000,10286.4,10356.5,859,0.0409047619047619,232,0.011047619047619,237,0.0112857142857143,62,10620,9596,1024,0.505714285714286,0.990619047619048,5,0,891787387622
16027101,n20-rho20-eps20,zero-wait,20,0.2,0.01,0.2,20000,1000,7.522185,66.45805,5113,0.24347619047619,3244,0.15447619047619,519,0.0247142857142857,779,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps20,max-age-first,20,0.2,0.01,0.2,20000,1000,0.0075675,0.12985,5337,0.254142857142857,4200,0.2,0,0,1137,0,0,0,0,0,0,0,891787387622
16027101,n20-rho20-eps20,round-robin,20,0.2,0.01,0.2,20000,1000,1.8487225,22.20665,4651,0.22147619047619,3655,0.174047619047619,0,0,996,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,delta-public,20,0.5,0.025,0.05,20000,1000,10739.8,10778.5,152,0.00723809523809524,79,0.00376190476190476,26,0.00123809523809524,4,109,2180,0,0.00519047619047619,0,0,0,891787387622
16027101,n20-rho50-eps05,delta-private-delayed,20,0.5,0.025,0.05,20000,1000,10859.75,10914.5,59,0.00280952380952381,41,0.00195238095238095,6,0.000285714285714286,2,980,882,98,0.0466666666666667,0.994809523809524,3,0,891787387622
16027101,n20-rho50-eps05,zero-wait,20,0.5,0.025,0.05,20000,1000,14.9245025,92.4093,9634,0.458761904761905,5804,0.276380952380952,1630,0.0776190476190476,305,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,max-age-first,20,0.5,0.025,0.05,20000,1000,0.02176,0.30725,10969,0.522333333333333,10379,0.494238095238095,0,0,590,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps05,round-robin,20,0.5,0.025,0.05,20000,1000,1.9051,15.9263,8602,0.409619047619048,8148,0.388,0,0,454,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps20,delta-public,20,0.5,0.025,0.2,20000,1000,10852.2,10905.5,62,0.00295238095238095,41,0.00195238095238095,6,0.000285714285714286,8,55,1100,0,0.00261904761904762,0,0,0,891787387622
16027101,n20-rho50-eps20,delta-private-delayed,20,0.5,0.025,0.2,20000,1000,8714.3628525,8874.806,3622,0.17247619047619,646,0.0307619047619048,1088,0.0518095238095238,174,38160,34417,3743,1.81714285714286,0.980809523809524,5,0,891787387622
16027101,n20-rho50-eps20,zero-wait,20,0.5,0.025,0.2,20000,1000,21.0592225,121.24575,10764,0.512571428571429,5219,0.24852380952381,1951,0.0929047619047619,1283,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps20,max-age-first,20,0.5,0.025,0.2,20000,1000,0.0625675,0.75915,12866,0.612666666666667,10192,0.485333333333333,0,0,2674,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps20,round-robin,20,0.5,0.025,0.2,20000,1000,3.789375,30.44825,9527,0.453666666666667,7563,0.360142857142857,0,0,1964,0,0,0,0,0,0,0,891787387622
16027102,n5-rho20-eps05,delta-public,5,0.2,0.04,0.05,20000,1000,10852.1,10865.5,47,0.00223809523809524,45,0.00214285714285714,0,0,2,47,235,0,0.00223809523809524,0,0,0,231246652487
16027102,n5-rho20-eps05,delta-private-delayed,5,0.2,0.04,0.05,20000,1000,10501.5,10515.5,631,0.030047619047619,139,0.00661904761904762,188,0.00895238095238095,5,1660,1499,161,0.079047619047619,0.989190476190476,4,0,231246652487
16027102,n5-rho20-eps05,zero-wait,5,0.2,0.04,0.05,20000,1000,1.02135,4.10895,4263,0.203,3444,0.164,323,0.0153809523809524,161,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps05,max-age-first,5,0.2,0.04,0.05,20000,1000,0.00698,0.0326,4335,0.206428571428571,4118,0.196095238095238,0,0,217,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps05,round-robin,5,0.2,0.04,0.05,20000,1000,0.20257,0.9177,3990,0.19,3782,0.180095238095238,0,0,208,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,delta-public,5,0.2,0.04,0.2,20000,1000,10875.9,10895.5,43,0.00204761904761905,32,0.00152380952380952,0,0,11,43,215,0,0.00204761904761905,0,0,0,231246652487
16027102,n5-rho20-eps20,delta-private-delayed,5,0.2,0.04,0.2,20000,1000,8369.8,10495.5,449,0.0213809523809524,152,0.00723809523809524,113,0.00538095238095238,52,1585,1437,148,0.0754761904761905,0.992,4,0,231246652487
16027102,n5-rho20-eps20,zero-wait,5,0.2,0.04,0.2,20000,1000,1.53734,5.91365,5054,0.240666666666667,3291,0.156714285714286,461,0.021952380952381,827,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,max-age-first,5,0.2,0.04,0.2,20000,1000,0.02291,0.1035,5120,0.243809523809524,4072,0.193904761904762,0,0,1048,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,round-robin,5,0.2,0.04,0.2,20000,1000,0.43024,1.89185,4604,0.219238095238095,3645,0.173571428571429,0,0,959,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,delta-public,5,0.5,0.1,0.05,20000,1000,10863.3,10870.5,59,0.00280952380952381,53,0.00252380952380952,2,9.52380952380952e-05,2,57,285,0,0.00271428571428571,0,0,0,231246652487
16027102,n5-rho50-eps05,delta-private-delayed,5,0.5,0.1,0.05,20000,1000,6038.20759,6049.0184,7964,0.379238095238095,1817,0.0865238095238095,2515,0.119761904761905,100,22160,19948,2212,1.0552380952381,0.928285714285714,5,0,231246652487
16027102,n5-rho50-eps05,zero-wait,5,0.5,0.1,0.05,20000,1000,3.22281,10.5137,9900,0.471428571428571,6228,0.296571428571429,1582,0.0753333333333333,312,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,max-age-first,5,0.5,0.1,0.05,20000,1000,0.04918,0.2044,10561,0.502904761904762,10023,0.477285714285714,0,0,538,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,round-robin,5,0.5,0.1,0.05,20000,1000,0.47027,1.87655,8879,0.422809523809524,8438,0.401809523809524,0,0,441,0,0,0,0,0,0,0,231246652487
