gate,passed,detail
registry_recorded,1,"hash 126003573 over 141 leaves"
matrix_complete_unique,1,"1680/1680 unique rows"
exact_seeds,1,"all and only 30 declared seeds"
exact_cell_arm_coverage,1,"8 cells and 7 arms only"
paired_absolute_traces,1,"channel, estimator, proposal, control-loss and clock hashes pair"
causality_and_no_future_reads,1,"0 protocol violations; 0 future reads"
bounded_data_memory,1,"max queue/history 1/32"
data_ack_terminal_accounting,1,"DATA and ACK recipient attempts close including terminal frames"
control_recipient_accounting,1,"control success plus loss equals attempts"
named_mechanisms_activated,1,"reservation, local TDMA, ideal TDMA, and Z-MAC paths exercised"
control_airtime_positive_and_charged,1,"distributed control blocks DATA and increases charged utilization"
local_schedule_information_only,1,"local/static and reservation arms do not read receiver truth"
clock_impairment_contract,1,"zero in nominal and bounded nonzero in clock cells"
failures_retained_finite_cost,1,"345 unsafe and 0 diverged runs retained"
frozen_source_snapshot_recorded,1,"plan, registry, mechanism, runner, analyzer and tests copied"
